source,country,station,bhi_id,lat,lon,year,date,variable,qflag,value,unit,vflag,detli,lmqnt,sub_id,bio_id,samp_id,num_indiv_subsamp
ICES,Estonia,,27,57.25,23.5,1986,1986-05-05,PCB,,346,mg/kg,A,5,NA,1,2207927,1056871,20
ICES,Estonia,,28,57.75,23.5,1986,1986-05-05,PCB,,420,mg/kg,A,5,NA,1,2207926,1056874,20
ICES,Estonia,,28,57.75,23.5,1986,1986-05-05,PCB,,274,mg/kg,A,5,NA,1,2207925,1056873,18
ICES,Estonia,,31,59.25,22.5,1986,1986-05-05,PCB,,436.6,mg/kg,A,5,NA,1,2207922,1056876,20
ICES,Estonia,,34,59.25,23.5,1986,1986-05-05,PCB,,463,mg/kg,A,5,NA,1,2207920,1056877,20
ICES,Estonia,,33,59.75,27.5,1986,1986-05-05,PCB,,3075,mg/kg,A,5,NA,1,2207919,1056879,13
ICES,Estonia,,33,59.75,27.5,1986,1986-05-05,PCB,,1205,mg/kg,A,5,NA,1,2207918,1056878,20
ICES,Estonia,,28,57.75,23.5,1986,1986-10-22,PCB,,571,mg/kg,A,5,NA,1,2207929,1056883,18
ICES,Estonia,,31,59.25,21.5,1986,1986-10-22,PCB,,176.5,mg/kg,A,5,NA,1,2207923,1056886,10
ICES,Estonia,,31,59.25,22.5,1986,1986-10-22,PCB,,386,mg/kg,A,5,NA,1,2207924,1056888,20
ICES,Estonia,,34,59.25,23.5,1986,1986-10-22,PCB,,421,mg/kg,A,5,NA,1,2207921,1056891,20
ICES,Finland,,33,60.25,27.5,1979,1979-09-19,PCB,,52,mg/kg,A,NA,NA,1,2164627,303925,20
ICES,Finland,,32,59.75,23.5,1979,1979-09-21,PCB,,46,mg/kg,A,NA,NA,1,2164626,303926,20
ICES,Finland,,32,59.75,23.5,1979,1979-09-21,PCB,,52,mg/kg,A,NA,NA,1,2164626,303926,20
ICES,Finland,,42,64.25,23.5,1979,1979-09-25,PCB,,37,mg/kg,A,NA,NA,1,2164625,303930,20
ICES,Finland,,32,59.75,23.5,1980,1980-08-15,PCB,,89,mg/kg,A,NA,NA,1,2164530,303914,14
ICES,Finland,,33,60.25,27.5,1980,1980-08-15,PCB,,56,mg/kg,A,NA,NA,1,2164532,303916,7
ICES,Finland,,33,60.25,27.5,1980,1980-08-15,PCB,,86,mg/kg,A,NA,NA,2,2164533,303916,7
ICES,Finland,,38,61.25,20.5,1980,1980-08-15,PCB,,83,mg/kg,A,NA,NA,1,2164527,303918,13
ICES,Finland,,32,59.75,23.5,1981,1981-09-15,PCB,,26,mg/kg,A,NA,NA,2,2164498,303908,20
ICES,Finland,,32,59.75,23.5,1981,1981-09-15,PCB,,32,mg/kg,A,NA,NA,1,2164497,303908,20
ICES,Finland,,33,60.25,27.5,1981,1981-09-15,PCB,,22,mg/kg,A,NA,NA,1,2164499,303910,20
ICES,Finland,,33,60.25,27.5,1981,1981-09-15,PCB,,29,mg/kg,A,NA,NA,2,2164500,303910,20
ICES,Finland,,38,61.25,20.5,1981,1981-09-15,PCB,,35,mg/kg,A,NA,NA,1,2164495,303911,13
ICES,Finland,,42,64.25,23.5,1981,1981-09-15,PCB,,21,mg/kg,A,NA,NA,1,2164493,303912,20
ICES,Finland,,42,64.25,23.5,1981,1981-09-15,PCB,,23,mg/kg,A,NA,NA,2,2164494,303912,20
ICES,Finland,,32,59.75,23.5,1982,1982-09-15,PCB,,61,mg/kg,A,NA,NA,2,2164441,303900,20
ICES,Finland,,32,59.75,23.5,1982,1982-09-15,PCB,,89,mg/kg,A,NA,NA,1,2164440,303900,20
ICES,Finland,,33,60.25,27.5,1982,1982-09-15,PCB,,62,mg/kg,A,NA,NA,2,2164443,303902,20
ICES,Finland,,33,60.25,27.5,1982,1982-09-15,PCB,,75,mg/kg,A,NA,NA,1,2164442,303902,20
ICES,Finland,,38,61.25,20.5,1982,1982-09-15,PCB,,46,mg/kg,A,NA,NA,1,2164438,303903,20
ICES,Finland,,38,61.25,20.5,1982,1982-09-15,PCB,,72,mg/kg,A,NA,NA,2,2164439,303903,20
ICES,Finland,,42,64.25,23.5,1982,1982-09-15,PCB,,40,mg/kg,A,NA,NA,1,2164436,303905,20
ICES,Finland,,42,64.25,23.5,1982,1982-09-15,PCB,,443,mg/kg,A,NA,NA,2,2164437,303905,20
ICES,Finland,,32,59.75,23.5,1983,1983-10-04,PCB,,22.4,mg/kg,A,NA,NA,1,2164398,303895,20
ICES,Finland,,32,59.75,23.5,1983,1983-10-04,PCB,,26.4,mg/kg,A,NA,NA,1,2164398,303895,20
ICES,Finland,,33,60.25,27.5,1983,1983-09-06,PCB,,16.3,mg/kg,A,NA,NA,1,2164399,303892,20
ICES,Finland,,33,60.25,27.5,1983,1983-09-06,PCB,,24.1,mg/kg,A,NA,NA,1,2164399,303892,20
ICES,Finland,,38,61.25,20.5,1983,1983-09-14,PCB,,7.4,mg/kg,A,NA,NA,2,2164397,303893,3
ICES,Finland,,38,61.25,20.5,1983,1983-09-14,PCB,,12.5,mg/kg,A,NA,NA,2,2164397,303893,3
ICES,Finland,,38,61.25,20.5,1983,1983-09-14,PCB,,11.1,mg/kg,A,NA,NA,1,2164396,303893,20
ICES,Finland,,38,61.25,20.5,1983,1983-09-14,PCB,,12.5,mg/kg,A,NA,NA,1,2164396,303893,20
ICES,Finland,,42,64.25,23.5,1983,1983-10-21,PCB,,13.3,mg/kg,A,NA,NA,1,2164394,303897,10
ICES,Finland,,42,64.25,23.5,1983,1983-10-21,PCB,,14,mg/kg,A,NA,NA,1,2164394,303897,10
ICES,Finland,,32,59.75,23.5,1984,1984-09-06,PCB,,34.7,mg/kg,A,NA,NA,1,2164369,303882,20
ICES,Finland,,38,61.25,21.5,1984,1984-10-15,PCB,,33.3,mg/kg,A,NA,NA,1,2164368,303886,20
ICES,Finland,,38,61.25,21.5,1984,1984-10-15,PCB,,36.6,mg/kg,A,NA,NA,1,2164368,303886,20
ICES,Finland,,32,60.25,26.5,1984,1984-09-17,PCB,,51.5,mg/kg,A,NA,NA,1,2164370,303884,16
ICES,Finland,,32,60.25,26.5,1984,1984-09-17,PCB,,63.6,mg/kg,A,NA,NA,1,2164370,303884,16
ICES,Finland,,42,64.25,23.5,1984,1984-09-19,PCB,,38,mg/kg,A,NA,NA,1,2164367,303885,20
ICES,Finland,,42,64.25,23.5,1984,1984-09-19,PCB,,40.5,mg/kg,A,NA,NA,1,2164367,303885,20
ICES,Finland,,NA,61.75,21.5,1985,1985-09-06,PCB,,20.6,mg/kg,A,0.416,NA,1,2164322,303875,30
ICES,Finland,,NA,61.75,21.5,1985,1985-09-06,PCB,,22,mg/kg,A,0.416,NA,1,2164322,303875,30
ICES,Finland,,42,64.25,23.5,1985,1985-09-19,PCB,,25,mg/kg,A,0.416,NA,1,2164321,303876,30
ICES,Finland,,42,64.25,23.5,1985,1985-09-19,PCB,,27,mg/kg,A,0.416,NA,1,2164321,303876,30
ICES,Finland,,36,59.75,20.5,1985,1985-09-23,PCB,,34.7,mg/kg,A,0.416,NA,1,2164323,303877,30
ICES,Finland,,36,59.75,20.5,1985,1985-09-23,PCB,,35,mg/kg,A,0.416,NA,1,2164323,303877,30
ICES,Finland,,32,59.75,23.5,1985,1985-09-24,PCB,,27,mg/kg,A,0.416,NA,1,2164324,303878,30
ICES,Finland,,32,59.75,23.5,1985,1985-09-24,PCB,,28,mg/kg,A,0.416,NA,1,2164324,303878,30
ICES,Finland,,32,60.25,26.5,1985,1985-09-24,PCB,,37,mg/kg,A,0.416,NA,1,2164325,303879,20
ICES,Finland,,32,60.25,26.5,1985,1985-09-24,PCB,,38,mg/kg,A,0.416,NA,1,2164325,303879,20
ICES,Finland,,36,59.75,20.5,1986,1986-10-06,PCB,,21.36,mg/kg,A,0.416,NA,1,2164301,303862,38
ICES,Finland,,36,59.75,20.5,1986,1986-10-06,PCB,,21.64,mg/kg,A,0.416,NA,1,2164301,303862,38
ICES,Finland,,42,64.25,23.5,1986,1986-08-15,PCB,,18.56,mg/kg,A,0.416,NA,1,2164299,303859,28
ICES,Finland,,32,59.75,23.5,1986,1986-09-15,PCB,,19.57,mg/kg,A,0.416,NA,1,2164302,303860,30
ICES,Finland,,NA,61.75,21.5,1986,1986-10-15,PCB,,13.51,mg/kg,A,0.416,NA,1,2164300,303869,38
ICES,Finland,,NA,61.75,21.5,1986,1986-10-15,PCB,,16.16,mg/kg,A,0.416,NA,1,2164300,303869,38
ICES,Finland,,32,60.25,26.5,1986,1986-09-19,PCB,,26.53,mg/kg,A,0.416,NA,1,2164303,303861,15
ICES,Finland,,32,59.75,23.5,1987,1987-12-09,PCB,,28.4,mg/kg,A,0.416,NA,1,2165110,303978,21
ICES,Finland,,42,64.25,23.5,1987,1987-08-15,PCB,,16.7,mg/kg,A,0.416,NA,1,2165107,303973,36
ICES,Finland,,42,64.25,23.5,1987,1987-08-15,PCB,,17.42,mg/kg,A,0.416,NA,1,2165107,303973,36
ICES,Finland,,36,59.75,20.5,1987,1987-10-15,PCB,,27.98,mg/kg,A,0.416,NA,1,2165109,303975,24
ICES,Finland,,36,59.75,20.5,1987,1987-10-15,PCB,,29.18,mg/kg,A,0.416,NA,1,2165109,303975,24
ICES,Finland,,32,60.25,26.5,1987,1987-10-15,PCB,,30.12,mg/kg,A,0.416,NA,1,2165111,303976,17
ICES,Finland,,32,60.25,26.5,1987,1987-10-15,PCB,,31.59,mg/kg,A,0.416,NA,1,2165111,303976,17
ICES,Finland,,NA,61.75,21.5,1987,1987-11-15,PCB,,20.53,mg/kg,A,0.416,NA,1,2165108,303977,39
ICES,Finland,,NA,61.75,21.5,1987,1987-11-15,PCB,,20.63,mg/kg,A,0.416,NA,1,2165108,303977,39
ICES,Finland,,38,61.75,20.5,1990,1990-10-01,CB101,,0.00178,mg/kg,A,1.36,NA,1,2165086,303958,20
