"BHI_ID","NUTS_ID","PopTot","PopUrb","PopRur","PopTot_density_in_buffer_per_km2","PopUrb_density_in_buffer_per_km2","PopRur_density_in_buffer_per_km2","CNTR_CODE","rgn_nam","Subbasin","HELCOM_ID","NUTS3_area_in_BHI_buffer_km2"
1,"SE22",116851,90965,25886,10.041965094636,7.81736874167586,2.22459635296016,"SE","Sweden","Kattegat","SEA-001",11636.26829
1,"SE23",702394,657250,45142,2.41742910734111,2.26205702326607,0.155365200675963,"SE","Sweden","Kattegat","SEA-001",290554.1254
2,"DK01",266145,205041,61102,18.306970161337,14.1038887405388,4.20294384939792,"DK","Denmark","Kattegat","SEA-001",14537.90538
2,"DK02",355373,275556,79811,10.9597261451641,8.49816473861781,2.46137636616088,"DK","Denmark","Kattegat","SEA-001",32425.354
2,"DK04",175718,119983,55739,4.30068091760859,2.93657222673506,1.36420659048353,"DK","Denmark","Kattegat","SEA-001",40858.18115
2,"DK05",270701,225142,45557,2.55459254803846,2.12465441742171,0.429919256711235,"DK","Denmark","Kattegat","SEA-001",105966.40948
3,"DK02",413955,355931,58027,2.12740869359131,1.82921018883368,0.298213922438484,"DK","Denmark","Great Belt","SEA-002",194581.79392
3,"DK03",962944,856951,105995,1.4831407324663,1.31988873062995,0.163255082266223,"DK","Denmark","Great Belt","SEA-002",649260.03239
3,"DK04",605097,555111,49991,5.76169885702548,5.28573503789024,0.476011428847872,"DK","Denmark","Great Belt","SEA-002",105020.58768
4,"DEF0",226701,150569,76131,16.1972449636695,10.7577954086429,5.43937810741515,"DE","Germany","Great Belt","SEA-002",13996.26915
4,"DK03",37272,35397,1875,6037.63315449809,5733.90482855143,303.72832594666,"DK","Germany","Great Belt","SEA-002",6.17328
5,"SE22",661537,640342,21194,17.7053802375179,17.1381171303384,0.567236343173481,"SE","Sweden","The Sound","SEA-003",37363.6144
6,"DK01",1245898,1107191,138706,106.157170686877,94.338592701789,11.8184927797411,"DK","Denmark","The Sound","SEA-003",11736.35273
7,"DK02",14518,12313,2206,11.2606192689067,9.55035163645465,1.71104326403143,"DK","Denmark","Kiel Bay","SEA-004",1289.2719
8,"DEF0",596172,418076,178094,5.43650404167342,3.81244316024009,1.6240426433945,"DE","Germany","Kiel Bay","SEA-004",109660.9136
9,"DK02",24841,20222,4620,14.3905981410031,11.7147729804502,2.67640446887944,"DK","Denmark","Bay of Mecklenburg","SEA-005",1726.19649
10,"DE80",804478,737263,67220,3.5395639127799,3.24382955037657,0.295756361537624,"DE","Germany","Bay of Mecklenburg","SEA-005",227281.6708
10,"DEF0",424183,342999,81187,12.4029343335102,10.0291479702385,2.37387408202283,"DE","Germany","Bay of Mecklenburg","SEA-005",34200.21332
11,"SE22",436947,385288,51662,7.47680161097398,6.59284063991501,0.884012305442394,"SE","Sweden","Arkona Basin","SEA-006",58440.36297
12,"DK01",1136201,959365,176837,201.201158169655,169.886621387793,31.3147138642259,"DK","Denmark","Arkona Basin","SEA-006",5647.08976
12,"DK02",499769,406648,93126,6.48730979493683,5.27854179329145,1.20883290472856,"DK","Denmark","Arkona Basin","SEA-006",77037.94266
13,"DE80",339571,255586,83989,2.22053382631333,1.67133635832306,0.549223624921534,"DE","Germany","Arkona Basin","SEA-006",152923.13766
14,"SE21",4530,466,4063,10.1379322753897,1.04288663141978,9.09280768982529,"SE","Sweden","Bornholm Basin","SEA-007",446.83668
14,"SE22",322081,253843,68239,1.12590841891124,0.887366751785064,0.238545162856809,"SE","Sweden","Bornholm Basin","SEA-007",286063.23089
15,"DK01",44406,38169,6239,5.90744071664868,5.07771708133503,0.829989700292103,"DK","Denmark","Bornholm Basin","SEA-007",7516.96075
16,"DE80",198312,142912,55395,3.05209877292323,2.19947123641537,0.852550584564132,"DE","Germany","Bornholm Basin","SEA-007",64975.6167
16,"PL42",12724,3911,8813,1299.72277211541,399.498252258988,900.224519856422,"PL","Germany","Bornholm Basin","SEA-007",9.78978
17,"DE80",7496,508,6988,205.432674757542,13.9220649382112,191.510609819331,"DE","Poland","Bornholm Basin","SEA-007",36.48884
17,"PL42",1049948,814868,235083,2.21073024951373,1.7157548154392,0.494981750759501,"PL","Poland","Bornholm Basin","SEA-007",474932.66093
17,"PL63",331286,190379,140907,3.28858140127002,1.88983790015994,1.39874350111008,"PL","Poland","Bornholm Basin","SEA-007",100738.26966
18,"PL62",293319,198957,94364,7.33379284624373,4.97447974154458,2.35936311027565,"PL","Poland","Gdansk Basin","SEA-008",39995.5393
18,"PL63",1166217,987326,178892,12.7129546963017,10.7628603497298,1.95010524759184,"PL","Poland","Gdansk Basin","SEA-008",91734.53598
19,"PL62",16907,6954,9955,320.423891223793,131.79320633881,188.66858917211,"PL","Russia","Gdansk Basin","SEA-008",52.76448
20,"SE21",23346,17718,5628,0.779060489189954,0.591253051806203,0.187807437383751,"SE","Sweden","Eastern Gotland Basin","SEA-009",29966.86435
22,"LT00",1887,0,1887,300.634247450504,0,300.634247450504,"LT","Russia","Eastern Gotland Basin","SEA-009",6.27673
23,"LT00",307109,249810,57299,7.57292560740725,6.16000360128295,1.4129220061243,"LT","Lithuania","Eastern Gotland Basin","SEA-009",40553.54772
23,"LV00",4655,1356,3299,397.038629171891,115.657224738364,281.381404433527,"LV","Lithuania","Eastern Gotland Basin","SEA-009",11.7243
24,"LT00",9362,1356,8006,106.196465048409,15.3815858369625,90.8148792114464,"LT","Latvia","Eastern Gotland Basin","SEA-009",88.15736
