"year","basin","variable","tonnes"
1995,"Bothnian Bay","total normalized phosphorus input",3125
1996,"Bothnian Bay","total normalized phosphorus input",2325
1997,"Bothnian Bay","total normalized phosphorus input",3431
1998,"Bothnian Bay","total normalized phosphorus input",2838
1999,"Bothnian Bay","total normalized phosphorus input",2621
2000,"Bothnian Bay","total normalized phosphorus input",2791
2001,"Bothnian Bay","total normalized phosphorus input",2628
2002,"Bothnian Bay","total normalized phosphorus input",2318
2003,"Bothnian Bay","total normalized phosphorus input",2478
2004,"Bothnian Bay","total normalized phosphorus input",2537
2005,"Bothnian Bay","total normalized phosphorus input",2487
2006,"Bothnian Bay","total normalized phosphorus input",2830
2007,"Bothnian Bay","total normalized phosphorus input",2292
2008,"Bothnian Bay","total normalized phosphorus input",2477
2009,"Bothnian Bay","total normalized phosphorus input",2384
2010,"Bothnian Bay","total normalized phosphorus input",2993
2011,"Bothnian Bay","total normalized phosphorus input",2688
2012,"Bothnian Bay","total normalized phosphorus input",2791
1995,"Bothnian Sea","total normalized phosphorus input",3030
1996,"Bothnian Sea","total normalized phosphorus input",3374
1997,"Bothnian Sea","total normalized phosphorus input",3044
1998,"Bothnian Sea","total normalized phosphorus input",2633
1999,"Bothnian Sea","total normalized phosphorus input",3341
2000,"Bothnian Sea","total normalized phosphorus input",3090
2001,"Bothnian Sea","total normalized phosphorus input",2633
2002,"Bothnian Sea","total normalized phosphorus input",2311
2003,"Bothnian Sea","total normalized phosphorus input",2720
2004,"Bothnian Sea","total normalized phosphorus input",2490
2005,"Bothnian Sea","total normalized phosphorus input",2625
2006,"Bothnian Sea","total normalized phosphorus input",2928
2007,"Bothnian Sea","total normalized phosphorus input",2264
2008,"Bothnian Sea","total normalized phosphorus input",2652
2009,"Bothnian Sea","total normalized phosphorus input",2413
2010,"Bothnian Sea","total normalized phosphorus input",2477
2011,"Bothnian Sea","total normalized phosphorus input",2713
2012,"Bothnian Sea","total normalized phosphorus input",2392
1995,"Gulf of Finland","total normalized phosphorus input",7457
1996,"Gulf of Finland","total normalized phosphorus input",7410
1997,"Gulf of Finland","total normalized phosphorus input",7175
1998,"Gulf of Finland","total normalized phosphorus input",7495
1999,"Gulf of Finland","total normalized phosphorus input",7997
2000,"Gulf of Finland","total normalized phosphorus input",7403
2001,"Gulf of Finland","total normalized phosphorus input",7424
2002,"Gulf of Finland","total normalized phosphorus input",7615
2003,"Gulf of Finland","total normalized phosphorus input",7726
2004,"Gulf of Finland","total normalized phosphorus input",8093
2005,"Gulf of Finland","total normalized phosphorus input",8163
2006,"Gulf of Finland","total normalized phosphorus input",6940
2007,"Gulf of Finland","total normalized phosphorus input",6716
2008,"Gulf of Finland","total normalized phosphorus input",6135
2009,"Gulf of Finland","total normalized phosphorus input",7393
2010,"Gulf of Finland","total normalized phosphorus input",6429
2011,"Gulf of Finland","total normalized phosphorus input",7708
2012,"Gulf of Finland","total normalized phosphorus input",5298
1995,"Gulf of Riga","total normalized phosphorus input",2195
1996,"Gulf of Riga","total normalized phosphorus input",1921
1997,"Gulf of Riga","total normalized phosphorus input",1851
1998,"Gulf of Riga","total normalized phosphorus input",2514
1999,"Gulf of Riga","total normalized phosphorus input",2598
2000,"Gulf of Riga","total normalized phosphorus input",2409
2001,"Gulf of Riga","total normalized phosphorus input",2804
2002,"Gulf of Riga","total normalized phosphorus input",1946
2003,"Gulf of Riga","total normalized phosphorus input",2387
2004,"Gulf of Riga","total normalized phosphorus input",2951
2005,"Gulf of Riga","total normalized phosphorus input",2670
2006,"Gulf of Riga","total normalized phosphorus input",3252
2007,"Gulf of Riga","total normalized phosphorus input",3848
2008,"Gulf of Riga","total normalized phosphorus input",3388
2009,"Gulf of Riga","total normalized phosphorus input",2435
2010,"Gulf of Riga","total normalized phosphorus input",2407
2011,"Gulf of Riga","total normalized phosphorus input",1958
2012,"Gulf of Riga","total normalized phosphorus input",2657
1995,"Baltic Proper","total normalized phosphorus input",20302
1996,"Baltic Proper","total normalized phosphorus input",19792
1997,"Baltic Proper","total normalized phosphorus input",20223
1998,"Baltic Proper","total normalized phosphorus input",19152
1999,"Baltic Proper","total normalized phosphorus input",18344
2000,"Baltic Proper","total normalized phosphorus input",16987
2001,"Baltic Proper","total normalized phosphorus input",18132
2002,"Baltic Proper","total normalized phosphorus input",17157
2003,"Baltic Proper","total normalized phosphorus input",17749
2004,"Baltic Proper","total normalized phosphorus input",19330
2005,"Baltic Proper","total normalized phosphorus input",16176
2006,"Baltic Proper","total normalized phosphorus input",17779
2007,"Baltic Proper","total normalized phosphorus input",16102
2008,"Baltic Proper","total normalized phosphorus input",15798
2009,"Baltic Proper","total normalized phosphorus input",16843
2010,"Baltic Proper","total normalized phosphorus input",14914
2011,"Baltic Proper","total normalized phosphorus input",15271
2012,"Baltic Proper","total normalized phosphorus input",13768
1995,"Danish Straits","total normalized phosphorus input",2170
1996,"Danish Straits","total normalized phosphorus input",2081
1997,"Danish Straits","total normalized phosphorus input",1885
1998,"Danish Straits","total normalized phosphorus input",1741
1999,"Danish Straits","total normalized phosphorus input",1632
2000,"Danish Straits","total normalized phosphorus input",1515
2001,"Danish Straits","total normalized phosphorus input",1530
2002,"Danish Straits","total normalized phosphorus input",1629
2003,"Danish Straits","total normalized phosphorus input",1405
2004,"Danish Straits","total normalized phosphorus input",1446
2005,"Danish Straits","total normalized phosphorus input",1348
2006,"Danish Straits","total normalized phosphorus input",1438
2007,"Danish Straits","total normalized phosphorus input",1464
2008,"Danish Straits","total normalized phosphorus input",1488
2009,"Danish Straits","total normalized phosphorus input",1549
2010,"Danish Straits","total normalized phosphorus input",1493
2011,"Danish Straits","total normalized phosphorus input",1520
2012,"Danish Straits","total normalized phosphorus input",1529
1995,"Kattegat","total normalized phosphorus input",1849
1996,"Kattegat","total normalized phosphorus input",1769
1997,"Kattegat","total normalized phosphorus input",1759
1998,"Kattegat","total normalized phosphorus input",1964
1999,"Kattegat","total normalized phosphorus input",1716
2000,"Kattegat","total normalized phosphorus input",1686
2001,"Kattegat","total normalized phosphorus input",1646
