gis_name,species_name,iucn
Alburnus_a,Alburnus alburnus,LC
Alosa_fall,Alosa fallax,LC
Amblyraja,Amblyraja radiata,LC
A_marinus,Ammodytes marinus,LC
A_tobianus,Ammodytes tobianus,LC
Anarhichas,Anarhichas lupus,EN
Anguilla_a,Anguilla anguilla,CR
Aspius_asp,Aspius aspius,NT
Clupea_har,Clupea harengus,LC
Cobitis_ta,Cobitis taenia,LC
C_albula,Coregonus albula,LC
C_maraena,Coregonus maraena,EN
Cottus_gob,Cottus gobio,LC
Cyclopteru,Cyclopterus lumpus,NT
Enchelyopu,Enchelyopus cimbrius,NT
Entelurus,Entelurus aequoreus,LC
Gadus_morh,Gadus morhua,VU
Galeorhinu,Galeorhinus galeus,VU
L_bergylta,Labrus bergylta,LC
L_mixtus,Labrus mixtus,LC
Lamna_nasu,Lamna nasus,CR
Lampeta_fl,Lampetra fluviatilis,NT
L_liparis,Liparis liparis,LC
L_montagui,Liparis montagui,LC
Lota_lota,Lota lota,NT
Lumpenus_l,Lumpenus lampretaeformis,LC
Melanogram,Melanogrammus aeglefinus,NT
Merlangius,Merlangius merlangus,VU
Merluccius,Merluccius merluccius,NT
Molva_molv,Molva molva,EN
Myoxocepha,Myoxocephalus scorpius,LC
N_lumbrici,Nerophis lumbriciformis,LC
Pelecus_cu,Pelecus cultratus,LC
Petromyzon,Petromyzon marinus,VU
Phoxinus_p,Phoxinus phoxinus,LC
Raja_clava,Raja clavata,VU
S_salar,Salmo salar,VU
S_trutta,Salmo trutta,VU
Scophthalm,Scophthalmus maximus,NT
Scyliorhin,Scyliorhinus canicula,LC
Spinachia_,Spinachia spinachia,LC
Squalus_ac,Squalus acanthias,CR
Symphodus_,Symphodus melops,LC
S_acus,Syngnathus acus,LC
S_typhle,Syngnathus typhle,LC
Taurulus_b,Taurulus bubalis,LC
Thymallus_,Thymallus thymallus,CR
Trachinus_,Trachinus draco,LC
Triglopsis,Triglopsis quadricornis,LC
Zoarces_vi,Zoarces viviparus,NT
