gis_name,speices_name,IUCN
Halichoeru,Halichoerus grypus,LC
Phoca_vitu,Phoca vitulina vitulina,VU
Phoca_vitu,Phoca vitulina vitulina,LC
Pusa_hispi,Pusa hispida botnica,VU
Phocoena_p,Phocoena phocoena,VU
Phocoena_p,Phocoena phocoena,CR
Lutra_lutr,Lutra lutra,NT
