species_name_IUCN,gis_name,IUCN,species_name
Abra prismatica (VU),Abra_prism,VU,Abra prismatica
Agrypnetes crassicornis (DD),Agrypnetes,DD,Agrypnetes crassicornis
Alderia modesta (NT),Alderia_mo,NT,Alderia modesta
Amauropsis islandica (NT),Amauropsis,NT,Amauropsis islandica
Amphipholis squamata (DD),Amphipholi,DD,Amphipholis squamata
Atelecyclus rotundatus (VU),Atelecyclu,VU,Atelecyclus rotundatus
Boreotrophon truncatus (NT),Boreotroph,NT,Boreotrophon truncatus
Clelandella miliaris (VU),Clelandell,VU,Clelandella miliaris
Cliona celata (VU),Cliona_cel,VU,Cliona celata
Corophium multisetosum (NT),Corophium_,NT,Corophium multisetosum
Corystes cassivelaunus (NT),Corystes_c,NT,Corystes cassivelaunus
Cryptonatica affinis (DD),Cryptonica,DD,Cryptonatica affinis
Deshayesorchestia deshayesii (VU),Deshayesor,VU,Deshayesorchestia deshayesii
Ekmania barthii (DD),Ekmania_ba,DD,Ekmania barthii
Epitonium clathratulum (DD),E_clathrat,DD,Epitonium clathratulum
Epitonium clathrus (VU),E_clathrus,VU,Epitonium clathrus
Epitonium turtonis (DD),E_turtonis,DD,Epitonium turtonis
Eurydice pulchra (DD),Eurydice_p,DD,Eurydice pulchra
Euspira pallida (VU),Euspira_pa,VU,Euspira pallida
Gammarellus angulosus (DD),G_angulosu,DD,Gammarellus angulosus
Gammarellus inaequicauda (DD),G_inaequic,DD,Gammarellus inaequicauda
Haploops tenuis (EN),H_tenuis,EN,Haploops tenuis
Haploops tubicola (VU),H_tubicola,VU,Haploops tubicola
Hippasteria phrygiana (VU),Hippasteri,VU,Hippasteria phrygiana
Hippolyte varians (VU),Hippolyte_,VU,Hippolyte varians
Inachus dorsettensis (NT),I_dorsette,NT,Inachus dorsettensis
Inachus phalangium (DD),I_phalangi,DD,Inachus phalangium
Lekanesphaera rugicauda (DD),Lekansepha,DD,Lekanesphaera rugicauda
Limnoria lignorum (DD),Limnoria_l,DD,Limnoria lignorum
Macoma calcarea (VU),Macoma_cal,VU,Macoma calcarea
Macroplea mutica (LC),M_mutica,LC,Macroplea mutica
Macroplea pubipennis (DD),M_pubipenn,DD,Macroplea pubipennis
Modiolus modiolus (VU),Modiolus_m,VU,Modiolus modiolus
Monoporeia affinis (LC),Monoporeia,LC,Monoporeia affinis
Mya truncata (NT),Mya_trucat,NT,Mya truncata
Myosotella myosotis (DD),Myosotella,DD,Myosotella myosotis
Nucula nucleus (VU),Nucula_nuc,VU,Nucula nucleus
Orchestia gammarellus (DD),Orcherstia,DD,Orchestia gammarellus
Palaemonetes varians (DD),Palaemonet,DD,Palaemonetes varians
Parvicardium hauniense (VU),Parvicardi,VU,Parvicardium hauniense
Pelonaia corrugata (VU),Pelanoia_c,VU,Pelonaia corrugata
Pleurogonium rubicundum (DD),Pleurogoni,DD,Pleurogonium rubicundum 
Pontoporeia femorata (LC),Pontoporei,LC,Pontoporeia femorata
Roxania utriculus (DD),Roxania_ut,DD,Roxania utriculus
Sabella pavonina (NT),Sabella_pa,NT,Sabella pavonina
Saduria entomon (LC),Saduria_en,LC,Saduria entomon
Scrobicularia plana (VU),Scrobicula,VU,Scrobicularia plana
Skeneopsis planorbis (DD),Skeneopsis,DD,Skeneopsis planorbis
Solaster endeca (VU),Solaster_e,VU,Solaster endeca
Stomphia coccinea (VU),Stomphia_c,VU,Stomphia coccinea
Talitrus saltator (DD),Talitrus_s,DD,Talitrus saltator
Thia scutellata (DD),Thia_scute,DD,Thia scutellata
Upogebia stellata (DD),Upogebia_s,DD,Upogebia stellata
Vitreolina philippi (DD),Vitreolina,DD,Vitreolina philippi
