"basin","winter_din","winter_dip","summer_chl","summer_secchi","oxy_debt","BHI_ID","label"
"Kattegat",5,0.49,1.5,7.6,NA,1,"Swe - Kattegat"
"Kattegat",5,0.49,1.5,7.6,NA,2,"Den - Kattegat"
"The_Sound",3.3,0.42,1.2,8.2,NA,5,"Swe - The Sound"
"The_Sound",3.3,0.42,1.2,8.2,NA,6,"Den - The Sound"
"Great_Belt",5,0.59,1.7,8.5,NA,3,"Den - Great Belt"
"Great_Belt",5,0.59,1.7,8.5,NA,4,"Ger - Great Belt"
"Little_Belt",7.1,0.71,2.8,7.3,NA,NA,NA
"Kiel_Bay",5.5,0.57,2,7.4,NA,7,"Den - Kiel Bay"
"Kiel_Bay",5.5,0.57,2,7.4,NA,8,"Ger - Kiel Bay"
"Bay_of_Mecklenburg",4.3,0.49,1.8,7.1,NA,9,"Den - Bay of Mecklenburg"
"Bay_of_Mecklenburg",4.3,0.49,1.8,7.1,NA,10,"Ger - Bay of Mecklenburg"
"Gdansk_Basin",4.2,0.36,2.2,6.5,8.66,18,"Pol - Gdansk Basin"
"Gdansk_Basin",4.2,0.36,2.2,6.5,8.66,19,"Rus - Gdansk Basin"
"Arkona_Basin",2.9,0.36,1.8,7.2,NA,11,"Swe - Arkona Basin"
"Arkona_Basin",2.9,0.36,1.8,7.2,NA,12,"Den - Arkona Basin"
"Arkona_Basin",2.9,0.36,1.8,7.2,NA,13,"Ger - Arkona Basin"
"Bornholm_Basin",2.5,0.3,1.8,7.1,6.37,14,"Swe - Bornholm Basin"
"Bornholm_Basin",2.5,0.3,1.8,7.1,6.37,15,"Den - Bornholm Basin"
"Bornholm_Basin",2.5,0.3,1.8,7.1,6.37,16,"Ger - Bornholm Basin"
"Bornholm_Basin",2.5,0.3,1.8,7.1,6.37,17,"Pol - Bornholm Basin"
"Eastern_Gotland_Basin",2.6,0.29,1.9,7.6,8.66,20,"Swe - Eastern Gotland Basin"
"Eastern_Gotland_Basin",2.6,0.29,1.9,7.6,8.66,21,"Pol - Eastern Gotland Basin"
"Eastern_Gotland_Basin",2.6,0.29,1.9,7.6,8.66,22,"Rus - Eastern Gotland Basin"
"Eastern_Gotland_Basin",2.6,0.29,1.9,7.6,8.66,23,"Lit - Eastern Gotland Basin"
"Eastern_Gotland_Basin",2.6,0.29,1.9,7.6,8.66,24,"Lat - Eastern Gotland Basin"
"Eastern_Gotland_Basin",2.6,0.29,1.9,7.6,8.66,25,"Est - Eastern Gotland Basin"
"Western_Gotland_Basin",2,0.33,1.2,8.4,8.66,26,"Swe - Western Gotland Basin"
"Northern_Baltic_Proper",2.9,0.25,1.7,7.1,8.66,29,"Swe - Northern Baltic Proper"
"Northern_Baltic_Proper",2.9,0.25,1.7,7.1,8.66,30,"Fin - Northern Baltic Proper"
"Northern_Baltic_Proper",2.9,0.25,1.7,7.1,8.66,31,"Est - Northern Baltic Proper"
"Gulf_of_Riga",5.2,0.41,2.7,5,NA,27,"Lat - Gulf of Riga"
"Gulf_of_Riga",5.2,0.41,2.7,5,NA,28,"Est - Gulf of Riga"
"Gulf_of_Finland",3.8,0.59,2,5.5,8.66,32,"Fin - Gulf of Finland"
"Gulf_of_Finland",3.8,0.59,2,5.5,8.66,33,"Rus - Gulf of Finland"
"Gulf_of_Finland",3.8,0.59,2,5.5,8.66,34,"Est - Gulf of Finland"
"Aland_Sea",2.7,0.21,1.5,6.9,NA,35,"Swe - Aland Sea"
"Aland_Sea",2.7,0.21,1.5,6.9,NA,36,"Fin - Aland Sea"
"Bothnian_Sea",2.8,0.19,1.5,6.8,NA,37,"Swe - Bothnian Sea"
"Bothnian_Sea",2.8,0.19,1.5,6.8,NA,38,"Fin - Bothnian Sea"
"The_Quark",3.7,0.1,2,6,NA,39,"Swe - The Quark"
"The_Quark",3.7,0.1,2,6,NA,40,"Fin - The Quark"
"Bothnian_Bay",5.2,0.07,2,5.8,NA,41,"Swe - Bothnian Bay"
"Bothnian_Bay",5.2,0.07,2,5.8,NA,42,"Fin - Bothnian Bay"
