rgn_id,type,label,country_id,basin_id
1,eez,Swe - Bothnian Bay,Swe ,BB
2,eez,Swe - Bothnian Sea,Swe ,BS
3,eez,Swe - Baltic Proper,Swe ,BP
4,eez,Swe - Kattegat,Swe ,KT
5,eez,Swe - The Sound,Swe ,SO
6,eez,Fin - Bothnian Bay,Fin ,BB
7,eez,Fin - Bothnian Sea,Fin ,BS
8,eez,Fin - Archipelago Sea,Fin ,AS
9,eez,Fin - Gulf of Finland,Fin ,GF
10,eez,Fin - Baltic Proper,Fin ,BP
11,eez,Den - Baltic Proper,Den ,BP
12,eez,Den - Kattegat,Den ,KT
13,eez,Den - The Sound,Den ,SO
14,eez,Den - Western Baltic,Den ,WB
15,eez,Ger - Baltic Proper,Ger ,BP
16,eez,Ger - Western Baltic,Ger ,WB
17,eez,Pol - Baltic Proper,Pol ,BP
18,eez,Rus - Gulf of Finland,Rus ,GF
19,eez,Rus - Baltic Proper,Rus ,BP
20,eez,Lit - Baltic Proper,Lit ,BP
21,eez,Lat - Baltic Proper,Lat ,BP
22,eez,Lat - Gulf of Riga,Lat ,GR
23,eez,Est - Gulf of Finland,Est ,GF
24,eez,Est - Baltic Proper,Est ,BP
25,eez,Est - Gulf of Riga,Est ,GR
