"rgn_id","species_name","IUCN"
14,"Enchelyopus cimbrius","NT"
15,"Enchelyopus cimbrius","NT"
16,"Enchelyopus cimbrius","NT"
17,"Enchelyopus cimbrius","NT"
11,"Enchelyopus cimbrius","NT"
12,"Enchelyopus cimbrius","NT"
13,"Enchelyopus cimbrius","NT"
26,"Enchelyopus cimbrius","NT"
20,"Enchelyopus cimbrius","NT"
21,"Enchelyopus cimbrius","NT"
22,"Enchelyopus cimbrius","NT"
23,"Enchelyopus cimbrius","NT"
24,"Enchelyopus cimbrius","NT"
25,"Enchelyopus cimbrius","NT"
18,"Entelurus aequoreus","LC"
19,"Entelurus aequoreus","LC"
1,"Entelurus aequoreus","LC"
2,"Entelurus aequoreus","LC"
5,"Entelurus aequoreus","LC"
6,"Entelurus aequoreus","LC"
3,"Entelurus aequoreus","LC"
4,"Entelurus aequoreus","LC"
18,"Gadus morhua","VU"
19,"Gadus morhua","VU"
1,"Gadus morhua","VU"
2,"Gadus morhua","VU"
5,"Gadus morhua","VU"
6,"Gadus morhua","VU"
32,"Gadus morhua","VU"
33,"Gadus morhua","VU"
34,"Gadus morhua","VU"
27,"Gadus morhua","VU"
28,"Gadus morhua","VU"
9,"Gadus morhua","VU"
10,"Gadus morhua","VU"
7,"Gadus morhua","VU"
8,"Gadus morhua","VU"
3,"Gadus morhua","VU"
3,"Gadus morhua","VU"
4,"Gadus morhua","VU"
41,"Gadus morhua","VU"
42,"Gadus morhua","VU"
39,"Gadus morhua","VU"
40,"Gadus morhua","VU"
37,"Gadus morhua","VU"
38,"Gadus morhua","VU"
35,"Gadus morhua","VU"
36,"Gadus morhua","VU"
29,"Gadus morhua","VU"
30,"Gadus morhua","VU"
31,"Gadus morhua","VU"
14,"Gadus morhua","VU"
15,"Gadus morhua","VU"
16,"Gadus morhua","VU"
17,"Gadus morhua","VU"
11,"Gadus morhua","VU"
12,"Gadus morhua","VU"
13,"Gadus morhua","VU"
36,"Gadus morhua","VU"
26,"Gadus morhua","VU"
20,"Gadus morhua","VU"
21,"Gadus morhua","VU"
22,"Gadus morhua","VU"
23,"Gadus morhua","VU"
24,"Gadus morhua","VU"
25,"Gadus morhua","VU"
1,"Galeorhinus galeus","VU"
2,"Galeorhinus galeus","VU"
1,"Labrus bergylta","LC"
2,"Labrus bergylta","LC"
5,"Labrus bergylta","LC"
6,"Labrus bergylta","LC"
1,"Labrus mixtus","LC"
2,"Labrus mixtus","LC"
5,"Labrus mixtus","LC"
6,"Labrus mixtus","LC"
1,"Lamna nasus","CR"
2,"Lamna nasus","CR"
18,"Lampetra fluviatilis","NT"
19,"Lampetra fluviatilis","NT"
20,"Lampetra fluviatilis","NT"
21,"Lampetra fluviatilis","NT"
