"basin_loading","basin_abb","data_type","substance","unit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Archipelago Sea","ARC",NA,"PCB 153","kg/year",1.6,1.7,1.7,1.6,1.5,1.5,1.4,1.2,1.2,1.3,1.2,1,0.8,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4
"Bothnian Bay","BOB",NA,"PCB 153","kg/year",3,3.1,3.2,3,2.9,3,2.6,2.4,2.3,2.4,2.2,1.9,1.7,1.7,1.4,1.5,1.4,1.2,1.1,1.1,1.1,1.1,1,1
"Bothnian Sea","BOS",NA,"PCB 153","kg/year",3.6,3.9,4,3.8,3.6,3.7,3.2,3.1,3,3.1,2.8,2.5,2.1,2,1.8,1.8,1.8,1.5,1.4,1.3,1.2,1.3,1.2,1.2
"Baltic Proper","BAP",NA,"PCB 153","kg/year",21.1,19.8,20.1,19,18.8,18.1,15.6,15.9,15.7,15.7,14.4,12.4,10.7,9.6,8.8,8.1,8.7,7.5,7.2,6.5,6.2,6.7,6.4,5.8
"Gulf of Finland","GUF",NA,"PCB 153","kg/year",5.7,5.8,5.8,5.4,5.4,5.4,5,4.5,4.5,4.5,4.1,3.8,3.1,3,2.9,2.8,2.8,2.5,2.4,2.2,2.3,2.2,2.1,2
"Gulf of Riga","GUR",NA,"PCB 153","kg/year",3.9,4.1,4.1,3.8,3.7,3.8,3.3,3.2,3.2,3.3,3,2.7,2.2,2.1,2,1.9,1.9,1.8,1.7,1.5,1.6,1.5,1.5,1.3
"Kattegat","KAT",NA,"PCB 153","kg/year",3.3,3.1,3.1,3,3,3,2.5,2.6,2.4,2.5,2.4,1.9,1.6,1.5,1.3,1.2,1.3,1,1,1,0.9,1,0.9,0.8
"The Sound","SOU",NA,"PCB 153","kg/year",1.4,1.3,1.3,1.2,1.2,1.1,1,1,1,1,0.9,0.7,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.3
"Western Baltic","WEB",NA,"PCB 153","kg/year",7.1,6.6,7,6.5,6.8,6.2,5.4,5.6,5.6,5.4,5.2,4.2,3.7,3.2,2.9,2.7,3,2.4,2.4,2.2,1.9,2.1,2.1,1.9
