"holas_basin","basin_loading"
"Kattegat","Kattegat"
"Great Belt","Western Baltic"
"The Sound","The Sound"
"Kiel Bay","Western Baltic"
"Bay of Mecklenburg","Western Baltic"
"Arkona Basin","Baltic Proper"
"Bornholm Basin","Baltic Proper"
"Gdansk Basin","Baltic Proper"
"Eastern Gotland Basin","Baltic Proper"
"Western Gotland Basin","Baltic Proper"
"Gulf of Riga","Gulf of Riga"
"Northern Baltic Proper","Baltic Proper"
"Gulf of Finland","Gulf of Finland"
"Aland Sea","Archipelago Sea"
"Bothnian Sea","Bothnian Sea"
"The Quark","Bothnian Sea"
"Bothnian Bay","Bothnian Bay"
