fishstock_ID,Description,ICES_catcharea_ID,ICES_area,rgn_id,label,prop_area
cod-2532,Cod (Gadus morhua) in Subdivisions 25–32 (Eastern Baltic Sea),25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,20,Lit - Baltic Proper,
cod-2532,Cod (Gadus morhua) in Subdivisions 25–32 (Eastern Baltic Sea),25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,21,Lat - Baltic Proper,
cod-2532,Cod (Gadus morhua) in Subdivisions 25–32 (Eastern Baltic Sea),25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,22,Lat - Gulf of Riga,
cod-2532,Cod (Gadus morhua) in Subdivisions 25–32 (Eastern Baltic Sea),25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,23,Est - Gulf of Finland,
cod-2532,Cod (Gadus morhua) in Subdivisions 25–32 (Eastern Baltic Sea),25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,24,Est - Baltic Proper,
cod-2532,Cod (Gadus morhua) in Subdivisions 25–32 (Eastern Baltic Sea),25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,25,Est - Gulf of Riga,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,3,Swe - Baltic Proper,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,5,Swe - The Sound,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,11,Den - Baltic Proper,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,13,Den - The Sound,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,14,Den - Western Baltic,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,15,Ger - Baltic Proper,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,16,Ger - Western Baltic,
cod-2224,Cod (Gadus morhua) in Subdivisions 22–24 (Western Baltic Sea),22 ~ 23 ~ 24,,17,Pol - Baltic Proper,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,3,Swe - Baltic Proper,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,4,Swe - Kattegat,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,5,Swe - The Sound,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,11,Den - Baltic Proper,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,12,Den - Kattegat,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,13,Den - The Sound,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,14,Den - Western Baltic,
