"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_surface"
"Arkona Basin","Arkona Basin","AR",1970,7.86818906684932
"Bay of Mecklenburg","Arkona Basin","AR",1970,7.86818906684932
"Arkona Basin","Arkona Basin","AR",1971,8.20885151794521
"Bay of Mecklenburg","Arkona Basin","AR",1971,8.20885151794521
"Arkona Basin","Arkona Basin","AR",1972,8.29064781775956
"Bay of Mecklenburg","Arkona Basin","AR",1972,8.29064781775956
"Arkona Basin","Arkona Basin","AR",1973,8.40101022013699
"Bay of Mecklenburg","Arkona Basin","AR",1973,8.40101022013699
"Arkona Basin","Arkona Basin","AR",1974,8.39220489958904
"Bay of Mecklenburg","Arkona Basin","AR",1974,8.39220489958904
"Arkona Basin","Arkona Basin","AR",1975,8.43003465575342
"Bay of Mecklenburg","Arkona Basin","AR",1975,8.43003465575342
"Arkona Basin","Arkona Basin","AR",1976,8.59866207199454
"Bay of Mecklenburg","Arkona Basin","AR",1976,8.59866207199454
"Arkona Basin","Arkona Basin","AR",1977,8.40784927109589
"Bay of Mecklenburg","Arkona Basin","AR",1977,8.40784927109589
"Arkona Basin","Arkona Basin","AR",1978,8.53948700808219
"Bay of Mecklenburg","Arkona Basin","AR",1978,8.53948700808219
"Arkona Basin","Arkona Basin","AR",1979,8.39642381712329
"Bay of Mecklenburg","Arkona Basin","AR",1979,8.39642381712329
"Arkona Basin","Arkona Basin","AR",1980,8.35118609398907
"Bay of Mecklenburg","Arkona Basin","AR",1980,8.35118609398907
"Arkona Basin","Arkona Basin","AR",1981,8.36971935328767
"Bay of Mecklenburg","Arkona Basin","AR",1981,8.36971935328767
"Arkona Basin","Arkona Basin","AR",1982,8.16535643506849
"Bay of Mecklenburg","Arkona Basin","AR",1982,8.16535643506849
"Arkona Basin","Arkona Basin","AR",1983,8.41022322465753
"Bay of Mecklenburg","Arkona Basin","AR",1983,8.41022322465753
"Arkona Basin","Arkona Basin","AR",1984,8.45345047172131
"Bay of Mecklenburg","Arkona Basin","AR",1984,8.45345047172131
"Arkona Basin","Arkona Basin","AR",1985,8.14125227369863
"Bay of Mecklenburg","Arkona Basin","AR",1985,8.14125227369863
"Arkona Basin","Arkona Basin","AR",1986,8.06022536273973
"Bay of Mecklenburg","Arkona Basin","AR",1986,8.06022536273973
"Arkona Basin","Arkona Basin","AR",1987,7.90962483547945
"Bay of Mecklenburg","Arkona Basin","AR",1987,7.90962483547945
"Arkona Basin","Arkona Basin","AR",1988,7.82409953401639
"Bay of Mecklenburg","Arkona Basin","AR",1988,7.82409953401639
"Arkona Basin","Arkona Basin","AR",1989,7.88909923575342
"Bay of Mecklenburg","Arkona Basin","AR",1989,7.88909923575342
"Arkona Basin","Arkona Basin","AR",1990,8.18729107383562
"Bay of Mecklenburg","Arkona Basin","AR",1990,8.18729107383562
"Arkona Basin","Arkona Basin","AR",1991,8.03097751273973
"Bay of Mecklenburg","Arkona Basin","AR",1991,8.03097751273973
"Arkona Basin","Arkona Basin","AR",1992,8.09824074030055
"Bay of Mecklenburg","Arkona Basin","AR",1992,8.09824074030055
"Arkona Basin","Arkona Basin","AR",1993,8.16705531315069
"Bay of Mecklenburg","Arkona Basin","AR",1993,8.16705531315069
"Arkona Basin","Arkona Basin","AR",1994,8.06881995657534
"Bay of Mecklenburg","Arkona Basin","AR",1994,8.06881995657534
"Arkona Basin","Arkona Basin","AR",1995,8.06782824191781
"Bay of Mecklenburg","Arkona Basin","AR",1995,8.06782824191781
"Arkona Basin","Arkona Basin","AR",1996,7.7403682602459
"Bay of Mecklenburg","Arkona Basin","AR",1996,7.7403682602459
"Arkona Basin","Arkona Basin","AR",1997,7.89809673287671
"Bay of Mecklenburg","Arkona Basin","AR",1997,7.89809673287671
"Arkona Basin","Arkona Basin","AR",1998,7.82657163890411
"Bay of Mecklenburg","Arkona Basin","AR",1998,7.82657163890411
"Arkona Basin","Arkona Basin","AR",1999,7.67460548054795
"Bay of Mecklenburg","Arkona Basin","AR",1999,7.67460548054795
"Arkona Basin","Arkona Basin","AR",2000,7.81367088005465
"Bay of Mecklenburg","Arkona Basin","AR",2000,7.81367088005465
