"value","location","variable","data_descrip","unit","bhi_goal"
1,"Kattegat","Cod","species presence/absence","presence","ICO"
1,"Great Belt","Cod","species presence/absence","presence","ICO"
1,"Kiel Bay","Cod","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Cod","species presence/absence","presence","ICO"
1,"The Sound","Cod","species presence/absence","presence","ICO"
1,"Arkona Basin","Cod","species presence/absence","presence","ICO"
1,"Bornholm Basin","Cod","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Cod","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Cod","species presence/absence","presence","ICO"
1,"Gdansk Basin","Cod","species presence/absence","presence","ICO"
0,"Gdansk Basin","Cod","species presence/absence","presence","ICO"
1,"Gulf of Riga","Cod","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Cod","species presence/absence","presence","ICO"
1,"Gulf of Finland","Cod","species presence/absence","presence","ICO"
1,"Aland Sea","Cod","species presence/absence","presence","ICO"
1,"Bothnian Sea","Cod","species presence/absence","presence","ICO"
1,"The Quark","Cod","species presence/absence","presence","ICO"
1,"Bothnian Bay","Cod","species presence/absence","presence","ICO"
1,"Kattegat","Flounder","species presence/absence","presence","ICO"
1,"Great Belt","Flounder","species presence/absence","presence","ICO"
1,"Kiel Bay","Flounder","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Flounder","species presence/absence","presence","ICO"
1,"The Sound","Flounder","species presence/absence","presence","ICO"
1,"Arkona Basin","Flounder","species presence/absence","presence","ICO"
1,"Bornholm Basin","Flounder","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Flounder","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Flounder","species presence/absence","presence","ICO"
1,"Gdansk Basin","Flounder","species presence/absence","presence","ICO"
1,"Gulf of Riga","Flounder","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Flounder","species presence/absence","presence","ICO"
1,"Gulf of Finland","Flounder","species presence/absence","presence","ICO"
1,"Aland Sea","Flounder","species presence/absence","presence","ICO"
1,"Bothnian Sea","Flounder","species presence/absence","presence","ICO"
1,"The Quark","Flounder","species presence/absence","presence","ICO"
1,"Bothnian Bay","Flounder","species presence/absence","presence","ICO"
1,"Kattegat","Herring","species presence/absence","presence","ICO"
1,"Great Belt","Herring","species presence/absence","presence","ICO"
1,"Kiel Bay","Herring","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Herring","species presence/absence","presence","ICO"
1,"The Sound","Herring","species presence/absence","presence","ICO"
1,"Arkona Basin","Herring","species presence/absence","presence","ICO"
1,"Bornholm Basin","Herring","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Herring","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Herring","species presence/absence","presence","ICO"
1,"Gdansk Basin","Herring","species presence/absence","presence","ICO"
0,"Gdansk Basin","Herring","species presence/absence","presence","ICO"
1,"Gulf of Riga","Herring","species presence/absence","presence","ICO"
