"","region_id","score","dimension","goal"
"1",1,0.09,"status","MAR"
"2",2,9.66,"status","MAR"
"3",3,22.91,"status","MAR"
"4",5,0.69,"status","MAR"
"5",6,0.21,"status","MAR"
"6",7,100,"status","MAR"
"7",9,25.91,"status","MAR"
"8",11,0.5,"status","MAR"
"9",12,15.53,"status","MAR"
"10",14,0.36,"status","MAR"
"11",15,0.31,"status","MAR"
"12",26,0.08,"status","MAR"
"13",29,0.47,"status","MAR"
"14",32,1.2,"status","MAR"
"15",35,0.77,"status","MAR"
"16",36,81.18,"status","MAR"
"17",37,1.1,"status","MAR"
"18",38,100,"status","MAR"
"19",39,44.15,"status","MAR"
"20",40,NA,"status","MAR"
"21",41,18.93,"status","MAR"
"22",42,NA,"status","MAR"
"23",1,0,"trend","MAR"
"24",2,-0.02,"trend","MAR"
"25",3,0.07,"trend","MAR"
"26",5,-0.01,"trend","MAR"
"27",6,-0.06,"trend","MAR"
"28",7,0.29,"trend","MAR"
"29",9,0.1,"trend","MAR"
"30",11,0,"trend","MAR"
"31",12,0.02,"trend","MAR"
"32",14,0,"trend","MAR"
"33",15,-0.09,"trend","MAR"
"34",26,0,"trend","MAR"
"35",29,-0.01,"trend","MAR"
"36",32,0,"trend","MAR"
"37",35,-0.01,"trend","MAR"
"38",36,-0.04,"trend","MAR"
"39",37,0,"trend","MAR"
"40",38,-0.02,"trend","MAR"
"41",39,0.21,"trend","MAR"
"42",40,NA,"trend","MAR"
"43",41,0.09,"trend","MAR"
"44",42,NA,"trend","MAR"
