"rgn_id","year","gdp_mio_euro"
"BHI_ID_1",2000,123428.9
"BHI_ID_1",2001,118694.15
"BHI_ID_1",2002,123107.25
"BHI_ID_1",2003,131656.7
"BHI_ID_1",2004,135428.55
"BHI_ID_1",2005,137829.7
"BHI_ID_1",2006,148922.1
"BHI_ID_1",2007,157717.95
"BHI_ID_1",2008,156572.35
"BHI_ID_1",2009,134934.4
"BHI_ID_1",2010,160989.45
"BHI_ID_1",2011,176047.7
"BHI_ID_1",2012,182273.65
"BHI_ID_11",2000,15438.9
"BHI_ID_11",2001,14616.15
"BHI_ID_11",2002,15543.25
"BHI_ID_11",2003,16030.7
"BHI_ID_11",2004,16611.55
"BHI_ID_11",2005,17005.7
"BHI_ID_11",2006,18168.1
"BHI_ID_11",2007,20221.95
"BHI_ID_11",2008,19120.35
"BHI_ID_11",2009,16632.4
"BHI_ID_11",2010,19861.45
"BHI_ID_11",2011,21458.7
"BHI_ID_11",2012,22492.65
"BHI_ID_12",2000,51189.1
"BHI_ID_12",2001,53107.05
"BHI_ID_12",2002,54245.1
"BHI_ID_12",2003,55515.4
"BHI_ID_12",2004,58904.2
"BHI_ID_12",2005,62992.2
"BHI_ID_12",2006,64768.8
"BHI_ID_12",2007,66919.3
"BHI_ID_12",2008,69108.5
"BHI_ID_12",2009,67642.15
"BHI_ID_12",2010,73277.1
"BHI_ID_12",2011,73543.05
"BHI_ID_12",2012,75895.25
"BHI_ID_14",2000,9576.9
"BHI_ID_14",2001,8823.9
"BHI_ID_14",2002,9410
"BHI_ID_14",2003,9822.7
"BHI_ID_14",2004,10264.3
"BHI_ID_14",2005,10479.2
"BHI_ID_14",2006,11087.6
"BHI_ID_14",2007,12214.2
"BHI_ID_14",2008,11587.1
"BHI_ID_14",2009,9999.9
"BHI_ID_14",2010,11922.7
"BHI_ID_14",2011,12749.2
"BHI_ID_14",2012,13228.9
"BHI_ID_15",2000,17212.5
"BHI_ID_15",2001,17818.75
"BHI_ID_15",2002,18101
"BHI_ID_15",2003,18523
"BHI_ID_15",2004,19587.5
"BHI_ID_15",2005,21026.5
"BHI_ID_15",2006,21560
"BHI_ID_15",2007,22348.5
"BHI_ID_15",2008,23222.5
"BHI_ID_15",2009,22667.75
"BHI_ID_15",2010,24434.5
"BHI_ID_15",2011,24501.75
"BHI_ID_15",2012,25330.75
"BHI_ID_17",2000,17756.5
"BHI_ID_17",2001,20047.5
"BHI_ID_17",2002,19664.8333333333
"BHI_ID_17",2003,17581.1666666667
"BHI_ID_17",2004,18443.3333333333
"BHI_ID_17",2005,22117.3333333333
"BHI_ID_17",2006,24570.8333333333
"BHI_ID_17",2007,27991
"BHI_ID_17",2008,32541.5
"BHI_ID_17",2009,27891.6666666667
"BHI_ID_17",2010,31546.6666666667
"BHI_ID_17",2011,32500.8333333333
"BHI_ID_17",2012,33504.3333333333
"BHI_ID_18",2000,16848
"BHI_ID_18",2001,18934.5
"BHI_ID_18",2002,18944.8333333333
"BHI_ID_18",2003,17257.1666666667
"BHI_ID_18",2004,18366.3333333333
"BHI_ID_18",2005,22101.8333333333
"BHI_ID_18",2006,24499.8333333333
"BHI_ID_18",2007,27873.5
"BHI_ID_18",2008,31631.5
"BHI_ID_18",2009,28014.1666666667
"BHI_ID_18",2010,31764.1666666667
"BHI_ID_18",2011,33314.8333333333
"BHI_ID_18",2012,34621.3333333333
"BHI_ID_2",2000,95058.1
"BHI_ID_2",2001,98782.05
"BHI_ID_2",2002,102674.1
"BHI_ID_2",2003,104518.9
"BHI_ID_2",2004,107595.2
"BHI_ID_2",2005,111620.2
"BHI_ID_2",2006,118899.3
"BHI_ID_2",2007,122889.3
"BHI_ID_2",2008,126561
"BHI_ID_2",2009,123270.15
