name_csv,plan,BSPA_ID,mgmt_status,implem_date,name_shape,BHI_ID,country,mpa_area,date_est,eez_area_km2
Curonian Spit State National Park (southern part),Management plan of Curonian Spit State National Park,163,Implemented,NA,Curonian Spit State National Park (southern part),22,Russia,6621,6.11.1987,9466.30104
	Kurgalsky Peninsula,"Management plan of nature reserve ""Kurgalsky""",166,Implemented,NA,Kurgalsky Peninsula,34,Russia,59950,20.7.2000,8426.04463
	Kurgalsky Peninsula,"Management plan of nature reserve ""Kurgalsky""",166,Implemented,NA,Kurgalsky Peninsula,33,Russia,59950,20.7.2000,11571.59858
Vyborgskii,"Management plan of nature reserve ""Vyborgskii""",294,Implemented,NA,Vyborgskii,33,Russia,11304.09960937,29.3.1976,11571.59858
Lebyazhy Nature Reserve,"Management plan of nature reserve ""Lebyazhy""",197,Implemented,NA,Lebyazhy Nature Reserve,33,Russia,6344.64990234,3.4.2007,11571.59858
Berezovye Islands,"Management plan of nature reserve ""Berezovye Islands""",196,Implemented,NA,Berezovye Islands,33,Russia,55295,26.12.1996,11571.59858
Ostoja Slowinska,Protection tasks of Slowinski National Park 2013-2016,85,Implemented,18.06.2013,Ostoja Slowinska,17,Poland,32955.30078125,13.7.2005,17334.97259
Ostoja Slowinska,Protection tasks of Slowinski National Park 2013-2016,85,Implemented,18.06.2013,Ostoja Slowinska,21,Poland,32955.30078125,13.7.2005,11013.8982
Ujscie Odry i Zalew Szczecinski,Laki Skoszewskie PLB320007 protection plan,301,Implemented,NA,Ujscie Odry i Zalew Szczecinski,16,Poland,52612,31.12.2009,2566.81091
Ujscie Odry i Zalew Szczecinski,Laki Skoszewskie PLB320007 protection plan,301,Implemented,NA,Ujscie Odry i Zalew Szczecinski,17,Poland,52612,31.12.2009,17334.97259
Wolin i Uznam,Protection tasks of Wolinski National Park 2014-2015,86,Implemented,09.12.2013,Wolin i Uznam,16,Poland,30792,14.7.2005,2566.81091
Wolin i Uznam,Protection tasks of Wolinski National Park 2014-2015,86,Implemented,09.12.2013,Wolin i Uznam,17,Poland,30792,14.7.2005,17334.97259
Begstrup Vig og kystomrader ved Helgenaes,Natura 2000-plan 2010-2015. Begtrup Vig og kystomrader ved Helgenaes - Natura 2000-omrade nr. 51 - Habitatomr. H47,246,Implemented,08.12.2011,Begstrup Vig og kystområder ved Helgenæs,3,Denmark,1771,22.9.2009,10369.11323
"Fyns Hoved, Lillegrund og Lillestrand","Natura 2000-plan 2010-2015. Fyns Hoved, Lillegrund og Lillestrand - Natura 2000-omrade nr. 107 - Habitatomrade H91",251,Implemented,08.12.2011,"Fyns Hoved, Lillegrund og Lillestrand",3,Denmark,2182,31.8.2009,10369.11323
�beloe og havet syd for og Naera,"Natura 2000 omrade nr. 108 �beloe, havet syd for og Naera Strand",241,Implemented,08.12.0011,Æbelø og havet syd for og Nærå,3,Denmark,13161,1.9.2009,10369.11323
Havet mellem Romsoe og Hindsholm samt Romsoe,Natura 2000-plan 2010-2015. Havet mellem Romsoe og Hindsholm samt Romsoe - Natura 2000-omrade nr. 109 - Habitatomrade H93 - Fuglebeskyttelsesomrade F77,265,Implemented,08.12.2011,Havet mellem Romsø og Hindsholm samt Romsø,3,Denmark,4328,1.9.2009,10369.11323
Odense Fjord,Natura 2000 omrade nr. 110 Odense Fjord,287,Implemented,08.12.0011,Odense Fjord,3,Denmark,5048,16.12.2009,10369.11323
Lillebaelt,Natura 2000 omrade nr. 112 Lillebaelt,259,Implemented,08.12.0011,Lillebælt,3,Denmark,35043,10.9.2009,10369.11323
Boejden Nor,Natura 2000-plan 2010-2015. Boejden Nor - Natura 2000-omrade nr. 123,276,Implemented,08.12.0011,Bøjden Nor,3,Denmark,114,16.12.2009,10369.11323
Maden pa Helnaes og havet vest for,Natura 2000-omrade nr. 124 Maden pa Helnaes og havet vest for,254,Implemented,08.12.0011,Maden på Helnæs og havet vest for,3,Denmark,2045,10.9.2009,10369.11323
Vestlige del af Avernakoe,Natura 2000-omrade nr. 125 Vestlige del af Avernakoe,293,Implemented,08.12.0011,Vestlige del af Avernakø,3,Denmark,124,16.12.2009,10369.11323
Stenrev sydoest for Langeland,Natura 2000 omrade nr. 126 Stenrev sydoest for Langeland,269,Implemented,08.12.0011,Stenrev sydøst for Langeland,3,Denmark,1484,10.9.2009,10369.11323
Stenrev sydoest for Langeland,Natura 2000 omrade nr. 126 Stenrev sydoest for Langeland,269,Implemented,08.12.0011,Stenrev sydøst for Langeland,7,Denmark,1484,10.9.2009,1208.87616
Sydfynske Oehav,Natura 2000 omrade nr. 127 Sydfynske Oehav.,271,Implemented,08.12.0011,Sydfynske Øhav,3,Denmark,45199,10.9.2009,10369.11323
Sydfynske Oehav,Natura 2000 omrade nr. 127 Sydfynske Oehav.,271,Implemented,08.12.0011,Sydfynske Øhav,7,Denmark,45199,10.9.2009,1208.87616
Roskilde Fjord og Jaegerspris Nordskov,"Natura 2000 omrade nr. 136 Roskilde Fjord, Kattinge Vig, Kattinge Soe, Jaegerspris Nordskov og Kongens Lyng",289,Implemented,08.12.0011,Roskilde Fjord og Jægerspris Nordskov,2,Denmark,14810,16.12.2009,15300.69996
Vestamager og havet syd for,Natura 2000 omrade nr. 143 Vestamager og havet syd for,273,Implemented,08.12.0011,Vestamager og havet syd for,12,Denmark,6179,17.9.2009,6272.53375
