rgn_id,score,dimension
19,54.7,status
18,74,status
16,74,status
17,74,status
21,74,status
3,8.2,status
12,8.2,status
13,8.2,status
7,8.2,status
8,8.2,status
2,8.2,status
6,8.2,status
5,8.2,status
14,19.9,status
20,19.9,status
26,19.9,status
1,19.9,status
25,55.8,status
28,55.8,status
24,55.8,status
27,55.8,status
23,8.8,status
38,14.2,status
40,14.2,status
36,14.2,status
30,14.2,status
42,14.2,status
32,14.2,status
10,22.6,status
4,22.6,status
9,22.6,status
31,55.8,status
22,8.8,status
41,19.9,status
29,19.9,status
34,54.7,status
33,54.7,status
15,8.2,status
37,19.9,status
39,19.9,status
35,19.9,status
11,19.9,status
