rgn_id,score,dimension
19,34.3,status
18,24.3,status
16,100,status
17,24.3,status
21,24.3,status
3,100,status
12,100,status
13,100,status
7,100,status
8,100,status
2,100,status
6,100,status
5,44.6,status
14,44.6,status
20,44.6,status
26,44.6,status
1,44.6,status
25,74.7,status
28,74.7,status
24,8.9,status
27,8.9,status
23,100,status
38,39.7,status
40,39.7,status
36,39.7,status
30,39.7,status
42,39.7,status
32,39.7,status
10,100,status
4,100,status
9,100,status
31,74.7,status
22,34.3,status
41,44.6,status
29,44.6,status
34,74.7,status
33,34.3,status
15,100,status
37,44.6,status
39,44.6,status
35,44.6,status
11,44.6,status
