BSPA_ID,Name,WebLink,Country,Location_S,MPA_Status,AreaTot_Ha,AreaMar_Ha,N2K_Site,Date_Est,BSPALink,N2000Link,Shape_area,Shape_len,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
163,Curonian Spit State National Park (southern part),http://www.park-kosa.ru/,Russia,Territorial Water (TW),Designated,6621,0,NA,6.11.1987,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=163,NA,75077430.5765,90536.4892746,Russia,RUS,Eastern Gotland Basin,SEA-009,22,9466.30104
164,Vistula Spit Landscape Park (northern part),NA,Russia,Territorial Water (TW),Designated,4000,0,NA,NA,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=164,NA,34002742.0221,54118.8808732,Russia,RUS,Gdansk Basin,SEA-008,19,2138.41462
166,Kurgalsky Peninsula,NA,Russia,Territorial Water (TW),Designated,59950,38400,NA,20.7.2000,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=166,NA,506797451.557,228930.015693,Estonia,EST,Gulf of Finland,SEA-013,34,8426.04463
166,Kurgalsky Peninsula,NA,Russia,Territorial Water (TW),Designated,59950,38400,NA,20.7.2000,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=166,NA,506797451.557,228930.015693,Russia,RUS,Gulf of Finland,SEA-013,33,11571.59858
294,Vyborgskii,http://www.paslo.ru/,Russia,Territorial Water (TW),Designated,11304.09960937,6941,NA,29.3.1976,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=294,NA,109451485.765,64435.9626184,Russia,RUS,Gulf of Finland,SEA-013,33,11571.59858
197,Lebyazhy Nature Reserve,NA,Russia,Territorial Water (TW),Designated,6344.64990234,5298.35009765,NA,3.4.2007,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=197,NA,77454504.5517,73983.2858489,Russia,RUS,Gulf of Finland,SEA-013,33,11571.59858
196,Berezovye Islands,NA,Russia,Territorial Water (TW),Designated,55295,47020,NA,26.12.1996,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=196,NA,536047060.614,115101.227449,Russia,RUS,Gulf of Finland,SEA-013,33,11571.59858
85,Ostoja Slowinska,http://slowinskipn.pl/pl/,Poland,Territorial Water (TW),Designated,32955.30078125,11040,PLH220023,13.7.2005,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=85,http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=PLH220023,321860567.252,143899.014403,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
85,Ostoja Slowinska,http://slowinskipn.pl/pl/,Poland,Territorial Water (TW),Designated,32955.30078125,11040,PLH220023,13.7.2005,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=85,http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=PLH220023,321860567.252,143899.014403,Poland,POL,Eastern Gotland Basin,SEA-009,21,11013.8982
83,Zalew Wislany i Mierzeja Wislana,NA,Poland,Territorial Water (TW),Designated,40862.6015625,30646.90039062,PLH280007,13.7.2005,http://bspa.helcom.fi/flow/bspa.tammi.sites.update.general.1?Id=83,http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=PLH280007,409186571.879,143523.202128,Poland,POL,Gdansk Basin,SEA-008,18,3682.83573
