rgn_id,score,dimension
19,44.1,status
18,100,status
16,100,status
17,100,status
21,100,status
3,100,status
12,100,status
13,100,status
7,100,status
8,100,status
2,100,status
6,100,status
5,100,status
14,48.6,status
20,48.6,status
26,48.6,status
1,48.6,status
25,100,status
28,100,status
24,100,status
27,100,status
23,100,status
38,48.5,status
40,48.5,status
36,48.5,status
30,48.5,status
42,48.5,status
32,48.5,status
10,100,status
4,100,status
9,100,status
31,100,status
22,100,status
41,48.6,status
29,48.6,status
34,44.1,status
33,44.1,status
15,100,status
37,48.6,status
39,48.6,status
35,48.6,status
11,48.6,status
NA,45.2,status
