name_csv,BSPA_ID,status_csv,name_shape,BHI_ID,country,date_est,mpa_area_km2,eez_area_km2
Curonian Spit State National Park (southern part),163,Designated_and_managed,Curonian Spit State National Park (southern part),22,Russia,6.11.1987,66.21,9466.30104
Vistula Spit ,164,Designated,Vistula Spit Landscape Park (northern part),19,Russia,NA,40,2138.41462
	Kurgalsky Peninsula,166,Designated_and_managed,Kurgalsky Peninsula,34,Russia,20.7.2000,599.5,8426.04463
	Kurgalsky Peninsula,166,Designated_and_managed,Kurgalsky Peninsula,33,Russia,20.7.2000,599.5,11571.59858
Vyborgskii,294,Designated_and_managed,Vyborgskii,33,Russia,29.3.1976,113.0409960937,11571.59858
Lebyazhy Nature Reserve,197,Designated_and_managed,Lebyazhy Nature Reserve,33,Russia,3.4.2007,63.4464990234,11571.59858
Berezovye Islands,196,Designated_and_managed,Berezovye Islands,33,Russia,26.12.1996,552.95,11571.59858
Ostoja Slowinska,85,Designated_and_partly_managed,Ostoja Slowinska,17,Poland,13.7.2005,329.5530078125,17334.97259
Ostoja Slowinska,85,Designated_and_partly_managed,Ostoja Slowinska,21,Poland,13.7.2005,329.5530078125,11013.8982
Zalew Wislany i Mierzeja Wislana,83,Designated,Zalew Wislany i Mierzeja Wislana,18,Poland,13.7.2005,408.626015625,3682.83573
Zalew Wislany i Mierzeja Wislana,83,Designated,Zalew Wislany i Mierzeja Wislana,19,Poland,13.7.2005,408.626015625,2138.41462
Ujscie Odry i Zalew Szczecinski,301,Designated_and_partly_managed,Ujscie Odry i Zalew Szczecinski,16,Poland,31.12.2009,526.12,2566.81091
Ujscie Odry i Zalew Szczecinski,301,Designated_and_partly_managed,Ujscie Odry i Zalew Szczecinski,17,Poland,31.12.2009,526.12,17334.97259
Wolin i Uznam,86,Designated_and_partly_managed,Wolin i Uznam,16,Poland,14.7.2005,307.92,2566.81091
Wolin i Uznam,86,Designated_and_partly_managed,Wolin i Uznam,17,Poland,14.7.2005,307.92,17334.97259
Zatoka Pomorska,170,Designated,Zatoka Pomorska,16,Poland,31.12.2009,3091.55,2566.81091
Zatoka Pomorska,170,Designated,Zatoka Pomorska,17,Poland,31.12.2009,3091.55,17334.97259
Przybrzezne Wody Baltyku,179,Designated,Przybrzezne Wody Baltyku,17,Poland,31.12.2009,1946.27,17334.97259
Przybrzezne Wody Baltyku,179,Designated,Przybrzezne Wody Baltyku,21,Poland,31.12.2009,1946.27,11013.8982
Przybrzezne Wody Baltyku,179,Designated,Przybrzezne Wody Baltyku,18,Poland,31.12.2009,1946.27,3682.83573
Zatoka Pucka,84,Designated,Zatoka Pucka,18,Poland,13.7.2005,624.303984375,3682.83573
Ujscie Wisly,302,Designated,Ujscie Wisly,18,Poland,31.12.2009,17.4809997558,3682.83573
Begstrup Vig og kystomrader ved Helgen<e6>s,246,Designated_and_managed,Begstrup Vig og kystområder ved Helgenæs,3,Denmark,22.9.2009,17.71,10369.11323
"Fyns Hoved, Lillegrund og Lillestrand",251,Designated_and_managed,"Fyns Hoved, Lillegrund og Lillestrand",3,Denmark,31.8.2009,21.82,10369.11323
Aebeloe og havet syd for og N<e6>ra,241,Designated_and_managed,Æbelø og havet syd for og Nærå,3,Denmark,1.9.2009,131.61,10369.11323
Havet mellem Romsoe og Hindsholm samt Romsoe,265,Designated_and_managed,Havet mellem Romsø og Hindsholm samt Romsø,3,Denmark,1.9.2009,43.28,10369.11323
Odense Fjord,287,Designated_and_managed,Odense Fjord,3,Denmark,16.12.2009,50.48,10369.11323
Lilleb<e6>lt,259,Designated_and_managed,Lillebælt,3,Denmark,10.9.2009,350.43,10369.11323
Boejden Nor,276,Designated_and_managed,Bøjden Nor,3,Denmark,16.12.2009,1.14,10369.11323
Maden pa Heln<e6>s og havet vest for,254,Designated_and_managed,Maden på Helnæs og havet vest for,3,Denmark,10.9.2009,20.45,10369.11323
Vestlige del af Avernakoe,293,Designated_and_managed,Vestlige del af Avernakø,3,Denmark,16.12.2009,1.24,10369.11323
Stenrev sydoest for Langeland,269,Designated_and_managed,Stenrev sydøst for Langeland,3,Denmark,10.9.2009,14.84,10369.11323
Stenrev sydoest for Langeland,269,Designated_and_managed,Stenrev sydøst for Langeland,7,Denmark,10.9.2009,14.84,1208.87616
