BSPA_ID,status_csv,status_shape,BHI_ID,country,weight_csv,weight_shape,score
163,Designated_and_managed,Designated,22,Russia,1,0.3,0.2
164,Designated,Designated,19,Russia,0.3,0.3,0
166,Designated_and_managed,Designated,34,Russia,1,0.3,0.2
166,Designated_and_managed,Designated,33,Russia,1,0.3,0.2
294,Designated_and_managed,Designated,33,Russia,1,0.3,0.2
197,Designated_and_managed,Designated,33,Russia,1,0.3,0.2
196,Designated_and_managed,Designated,33,Russia,1,0.3,0.2
85,Designated_and_partly_managed,Designated,17,Poland,0.6,0.3,0.2
85,Designated_and_partly_managed,Designated,21,Poland,0.6,0.3,0.2
83,Designated,Designated,18,Poland,0.3,0.3,0
83,Designated,Designated,19,Poland,0.3,0.3,0
301,Designated_and_partly_managed,Designated,16,Poland,0.6,0.3,0.2
301,Designated_and_partly_managed,Designated,17,Poland,0.6,0.3,0.2
86,Designated_and_partly_managed,Designated,16,Poland,0.6,0.3,0.2
86,Designated_and_partly_managed,Designated,17,Poland,0.6,0.3,0.2
170,Designated,Designated,16,Poland,0.3,0.3,0
170,Designated,Designated,17,Poland,0.3,0.3,0
179,Designated,Designated,17,Poland,0.3,0.3,0
179,Designated,Designated,21,Poland,0.3,0.3,0
179,Designated,Designated,18,Poland,0.3,0.3,0
84,Designated,Designated,18,Poland,0.3,0.3,0
302,Designated,Designated,18,Poland,0.3,0.3,0
246,Designated_and_managed,Managed,3,Denmark,1,1,0
251,Designated_and_managed,Managed,3,Denmark,1,1,0
241,Designated_and_managed,Managed,3,Denmark,1,1,0
265,Designated_and_managed,Managed,3,Denmark,1,1,0
287,Designated_and_managed,Managed,3,Denmark,1,1,0
259,Designated_and_managed,Managed,3,Denmark,1,1,0
276,Designated_and_managed,Managed,3,Denmark,1,1,0
254,Designated_and_managed,Managed,3,Denmark,1,1,0
293,Designated_and_managed,Managed,3,Denmark,1,1,0
269,Designated_and_managed,Managed,3,Denmark,1,1,0
269,Designated_and_managed,Managed,7,Denmark,1,1,0
271,Designated_and_managed,Managed,3,Denmark,1,1,0
