country,country_mpa_area_score,mpa_mgmt_score,status
Finland,0.891640652787535,0.5,66.8
Russia,0.441469417158448,0.4,42
Denmark,1,1,100
Estonia,1,1,100
Germany,1,1,100
Poland,1,1,100
Sweden,0.563654208529164,0.5,53.1
Latvia,1,0.5,70.7
Lithuania,1,1,100
