"year","stock","metric","score"
1994,"cod_2224","bbmsy",0.824635417
1995,"cod_2224","bbmsy",0.813984375
1996,"cod_2224","bbmsy",0.892421875
1997,"cod_2224","bbmsy",0.926067708
1998,"cod_2224","bbmsy",0.716901042
1999,"cod_2224","bbmsy",0.827109375
2000,"cod_2224","bbmsy",0.95140625
2001,"cod_2224","bbmsy",0.800260417
2002,"cod_2224","bbmsy",0.635833333
2003,"cod_2224","bbmsy",0.499375
2004,"cod_2224","bbmsy",0.548645833
2005,"cod_2224","bbmsy",0.704817708
2006,"cod_2224","bbmsy",0.812369792
2007,"cod_2224","bbmsy",0.84296875
2008,"cod_2224","bbmsy",0.591067708
2009,"cod_2224","bbmsy",0.400677083
2010,"cod_2224","bbmsy",0.357994792
2011,"cod_2224","bbmsy",0.353802083
2012,"cod_2224","bbmsy",0.416979167
2013,"cod_2224","bbmsy",0.36765625
2014,"cod_2224","bbmsy",0.478203125
1966,"cod_2532","bbmsy",1.926371882
1967,"cod_2532","bbmsy",2.422108844
1968,"cod_2532","bbmsy",2.56930839
1969,"cod_2532","bbmsy",2.525997732
1970,"cod_2532","bbmsy",2.393219955
1971,"cod_2532","bbmsy",2.21585034
1972,"cod_2532","bbmsy",2.287902494
1973,"cod_2532","bbmsy",2.466099773
1974,"cod_2532","bbmsy",2.940668934
1975,"cod_2532","bbmsy",3.541814059
1976,"cod_2532","bbmsy",3.745804989
1977,"cod_2532","bbmsy",3.660634921
1978,"cod_2532","bbmsy",4.168843537
1979,"cod_2532","bbmsy",5.839455782
1980,"cod_2532","bbmsy",7.160918367
1981,"cod_2532","bbmsy",7.290975057
1982,"cod_2532","bbmsy",7.196814059
1983,"cod_2532","bbmsy",6.914614512
1984,"cod_2532","bbmsy",6.737154195
1985,"cod_2532","bbmsy",5.981303855
1986,"cod_2532","bbmsy",4.278650794
1987,"cod_2532","bbmsy",3.656984127
1988,"cod_2532","bbmsy",3.285895692
1989,"cod_2532","bbmsy",2.56930839
1990,"cod_2532","bbmsy",2.350521542
1991,"cod_2532","bbmsy",1.545952381
1992,"cod_2532","bbmsy",0.984750567
1993,"cod_2532","bbmsy",1.071043084
1994,"cod_2532","bbmsy",1.836088435
1995,"cod_2532","bbmsy",2.126836735
1996,"cod_2532","bbmsy",1.854546485
1997,"cod_2532","bbmsy",1.429943311
1998,"cod_2532","bbmsy",1.111417234
1999,"cod_2532","bbmsy",0.97984127
2000,"cod_2532","bbmsy",1.062517007
2001,"cod_2532","bbmsy",1.008673469
2002,"cod_2532","bbmsy",0.933922902
2003,"cod_2532","bbmsy",0.866439909
2004,"cod_2532","bbmsy",0.799829932
