Country;Year;PARAM;MUNIT;DETLI;LMQNT
Sweden;1988;CB28;ug/kg;4;
Sweden;1988;CB52;ug/kg;4;
Sweden;1988;CB101;ug/kg;4;
Sweden;1988;CB118;ug/kg;5;
Sweden;1988;CB153;ug/kg;5;
Sweden;1988;CB138;ug/kg;6;
Sweden;1988;CB180;ug/kg;4;
Sweden;1987;CB28;ug/kg;4;
Sweden;1987;CB52;ug/kg;4;
Sweden;1987;CB101;ug/kg;4;
Sweden;1987;CB118;ug/kg;5;
Sweden;1987;CB153;ug/kg;5;
Sweden;1987;CB138;ug/kg;6;
Sweden;1987;CB180;ug/kg;4;
Sweden;1996;CB28;ug/kg;4;
Sweden;1996;CB101;ug/kg;4;
Sweden;1996;CB118;ug/kg;5;
Sweden;1996;CB153;ug/kg;5;
Sweden;1996;CB138;ug/kg;6;
Sweden;1996;CB180;ug/kg;4;
Sweden;1996;CB52;ug/kg;4;
Sweden;1995;CB28;ug/kg;4;
Sweden;1995;CB101;ug/kg;4;
Sweden;1995;CB118;ug/kg;5;
Sweden;1995;CB153;ug/kg;5;
Sweden;1995;CB138;ug/kg;6;
Sweden;1995;CB180;ug/kg;4;
Sweden;1995;CB52;ug/kg;4;
Sweden;1994;CB28;ug/kg;4;
Sweden;1994;CB101;ug/kg;4;
Sweden;1994;CB118;ug/kg;5;
Sweden;1994;CB153;ug/kg;5;
Sweden;1994;CB138;ug/kg;6;
Sweden;1994;CB180;ug/kg;4;
Sweden;1994;CB52;ug/kg;4;
Sweden;1993;CB52;ug/kg;4;
Sweden;1993;CB101;ug/kg;4;
Sweden;1993;CB118;ug/kg;5;
Sweden;1993;CB153;ug/kg;5;
Sweden;1993;CB138;ug/kg;6;
Sweden;1993;CB180;ug/kg;4;
Sweden;1993;CB28;ug/kg;4;
Sweden;1992;CB52;ug/kg;4;
Sweden;1992;CB101;ug/kg;4;
Sweden;1992;CB118;ug/kg;5;
Sweden;1992;CB153;ug/kg;5;
Sweden;1992;CB138;ug/kg;6;
Sweden;1992;CB180;ug/kg;4;
Sweden;1992;CB28;ug/kg;4;
Sweden;1991;CB28;ug/kg;4;
Sweden;1991;CB52;ug/kg;4;
Sweden;1991;CB101;ug/kg;4;
Sweden;1991;CB118;ug/kg;5;
Sweden;1991;CB153;ug/kg;5;
Sweden;1991;CB138;ug/kg;6;
Sweden;1991;CB180;ug/kg;4;
Sweden;1990;CB28;ug/kg;4;
Sweden;1990;CB52;ug/kg;4;
Sweden;1990;CB101;ug/kg;4;
Sweden;1990;CB118;ug/kg;5;
Sweden;1990;CB153;ug/kg;5;
Sweden;1990;CB138;ug/kg;6;
Sweden;1990;CB180;ug/kg;4;
Sweden;1989;CB28;ug/kg;4;
Sweden;1989;CB52;ug/kg;4;
Sweden;1989;CB101;ug/kg;4;
Sweden;1989;CB118;ug/kg;5;
Sweden;1989;CB153;ug/kg;5;
Sweden;1989;CB138;ug/kg;6;
Sweden;1989;CB180;ug/kg;4;
Estonia;2003;CB101;ug/kg;;
Estonia;2003;CB118;ug/kg;;
Estonia;2003;CB138;ug/kg;;
Estonia;2003;CB153;ug/kg;;
Estonia;2003;CB180;ug/kg;;
Estonia;2003;CB28;ug/kg;;
Estonia;2003;CB52;ug/kg;;
Estonia;2004;CB101;ug/kg;1;5
Estonia;2004;CB118;ug/kg;1;5
Estonia;2004;CB138;ug/kg;1;5
Estonia;2004;CB153;ug/kg;1;5
Estonia;2004;CB180;ug/kg;1;5
Estonia;2004;CB28;ug/kg;1;5
Estonia;2004;CB52;ug/kg;1;5
Estonia;2005;CB101;ug/kg;;
Estonia;2005;CB118;ug/kg;;
Estonia;2005;CB138;ug/kg;;
Estonia;2005;CB153;ug/kg;;
Estonia;2005;CB180;ug/kg;;
Estonia;2005;CB28;ug/kg;;
Estonia;2005;CB52;ug/kg;;
Poland;2003;CB28;ug/kg;0.01;
Poland;2003;CB52;ug/kg;0.01;
Poland;2003;CB101;ug/kg;0.01;
Poland;2003;CB118;ug/kg;0.01;
Poland;2003;CB138;ug/kg;0.01;
Poland;2003;CB153;ug/kg;0.01;
Poland;2003;CB180;ug/kg;0.01;
Poland;2002;CB28;ug/kg;0.01;
Poland;2002;CB52;ug/kg;0.01;
Poland;2002;CB101;ug/kg;0.01;
Poland;2002;CB118;ug/kg;0.01;
Poland;2002;CB138;ug/kg;0.01;
Poland;2002;CB153;ug/kg;0.01;
Poland;2002;CB180;ug/kg;0.01;
Poland;2001;CB28;ug/kg;0.01;
Poland;2001;CB52;ug/kg;0.01;
Poland;2001;CB101;ug/kg;0.01;
Poland;2001;CB118;ug/kg;0.01;
Poland;2001;CB138;ug/kg;0.01;
Poland;2001;CB153;ug/kg;0.01;
Poland;2001;CB180;ug/kg;0.01;
Poland;2000;CB28;ug/kg;0.01;
Poland;2000;CB52;ug/kg;0.01;
Poland;2000;CB101;ug/kg;0.01;
Poland;2000;CB118;ug/kg;0.01;
Poland;2000;CB138;ug/kg;0.01;
Poland;2000;CB153;ug/kg;0.01;
Poland;2000;CB180;ug/kg;0.01;
Poland;1999;CB101;ug/kg;0.01;
Poland;1999;CB118;ug/kg;0.01;
Poland;1999;CB138;ug/kg;0.01;
Poland;1999;CB153;ug/kg;0.01;
Poland;1999;CB180;ug/kg;0.01;
Poland;1999;CB28;ug/kg;0.01;
Poland;1999;CB52;ug/kg;0.01;
Finland;1986;CB101;ug/kg;1.36;
Finland;1986;CB118;ug/kg;1.4;
Finland;1986;CB138;ug/kg;0.739;
Finland;1986;CB153;ug/kg;0.929;
Finland;1986;CB180;ug/kg;0.416;
Finland;1986;CB52;ug/kg;1.21;
Finland;1985;CB52;ug/kg;1.21;
Finland;1985;CB118;ug/kg;1.4;
Finland;1985;CB138;ug/kg;0.739;
Finland;1985;CB101;ug/kg;1.36;
Finland;1985;CB180;ug/kg;0.416;
Finland;1985;CB153;ug/kg;0.929;
Finland;1998;CB28;ug/kg;0.79;
Finland;1998;CB52;ug/kg;1.45;
Finland;1998;CB101;ug/kg;1.2;
Finland;1998;CB118;ug/kg;0.85;
Finland;1998;CB153;ug/kg;0.929;
Finland;1998;CB138;ug/kg;0.739;
Finland;1998;CB180;ug/kg;0.45;
Finland;1993;CB101;ug/kg;1.36;
Finland;1993;CB118;ug/kg;1.4;
Finland;1993;CB138;ug/kg;0.739;
Finland;1993;CB153;ug/kg;0.929;
Finland;1993;CB180;ug/kg;0.416;
Finland;1993;CB28;ug/kg;0.58;
Finland;1993;CB52;ug/kg;1.21;
Finland;1992;CB101;ug/kg;1.36;
Finland;1992;CB118;ug/kg;1.4;
Finland;1992;CB138;ug/kg;0.739;
Finland;1992;CB153;ug/kg;0.929;
Finland;1992;CB180;ug/kg;0.416;
Finland;1992;CB28;ug/kg;0.58;
Finland;1992;CB52;ug/kg;1.21;
Finland;1991;CB101;ug/kg;1.36;
Finland;1991;CB118;ug/kg;1.4;
Finland;1991;CB138;ug/kg;0.739;
Finland;1991;CB153;ug/kg;0.929;
Finland;1991;CB180;ug/kg;0.416;
Finland;1991;CB28;ug/kg;0.58;
Finland;1991;CB52;ug/kg;1.21;
Finland;1990;CB101;ug/kg;1.36;
Finland;1990;CB118;ug/kg;1.4;
Finland;1990;CB138;ug/kg;0.739;
Finland;1990;CB153;ug/kg;0.929;
Finland;1990;CB180;ug/kg;0.416;
Finland;1989;CB101;ug/kg;1.36;
Finland;1989;CB118;ug/kg;1.4;
Finland;1989;CB138;ug/kg;0.739;
Finland;1989;CB153;ug/kg;0.929;
Finland;1989;CB180;ug/kg;0.416;
Finland;1989;CB52;ug/kg;1.21;
Finland;1988;CB101;ug/kg;1.36;
Finland;1988;CB118;ug/kg;1.4;
Finland;1988;CB138;ug/kg;0.739;
Finland;1988;CB153;ug/kg;0.929;
Finland;1988;CB180;ug/kg;0.416;
Finland;1988;CB52;ug/kg;1.21;
Finland;1987;CB101;ug/kg;1.36;
Finland;1987;CB118;ug/kg;1.4;
Finland;1987;CB138;ug/kg;0.739;
Finland;1987;CB153;ug/kg;0.929;
Finland;1987;CB180;ug/kg;0.416;
Finland;1987;CB52;ug/kg;1.21;
Finland;2006;CB101;ug/kg;0.2;
Finland;2006;CB118;ug/kg;0.2;
Finland;2006;CB138;ug/kg;0.2;
Finland;2006;CB153;ug/kg;0.2;
Finland;2006;CB180;ug/kg;0.2;
Finland;2006;CB28;ug/kg;0.2;
Finland;2006;CB52;ug/kg;0.2;
Finland;2005;CB101;ug/kg;0.2;
Finland;2005;CB118;ug/kg;0.2;
Finland;2005;CB138;ug/kg;0.2;
Finland;2005;CB153;ug/kg;0.2;
Finland;2005;CB180;ug/kg;0.2;
Finland;2005;CB28;ug/kg;0.2;
Finland;2005;CB52;ug/kg;0.2;
Finland;2002;CB101;ug/kg;0.012;
Finland;2002;CB118;ug/kg;0.013;
Finland;2002;CB138;ug/kg;0.035;
Finland;2002;CB153;ug/kg;0.023;
Finland;2002;CB180;ug/kg;0.0079;
Finland;2002;CB28;ug/kg;0.03;
Finland;2002;CB52;ug/kg;0.013;
Finland;2002;CB118;ug/kg;0.012;
Finland;2002;CB138;ug/kg;0.032;
Finland;2002;CB153;ug/kg;0.021;
Finland;2002;CB180;ug/kg;0.0073;
Finland;2002;CB28;ug/kg;0.027;
Finland;2002;CB52;ug/kg;0.012;
Finland;2002;CB101;ug/kg;0.015;
Finland;2002;CB118;ug/kg;0.016;
Finland;2002;CB138;ug/kg;0.042;
Finland;2002;CB153;ug/kg;0.028;
Finland;2002;CB180;ug/kg;0.0096;
Finland;2002;CB28;ug/kg;0.036;
Finland;2002;CB52;ug/kg;0.02;
Finland;2002;CB138;ug/kg;0.043;
Finland;2002;CB153;ug/kg;0.029;
Finland;2002;CB180;ug/kg;0.0098;
Finland;2002;CB28;ug/kg;0.037;
Finland;2002;CB52;ug/kg;0.016;
Finland;2002;CB138;ug/kg;0.034;
Finland;2002;CB180;ug/kg;0.0078;
Finland;2002;CB28;ug/kg;0.029;
Finland;2002;CB52;ug/kg;0.01;
Finland;2002;CB101;ug/kg;0.017;
Finland;2002;CB118;ug/kg;0.018;
Finland;2002;CB138;ug/kg;0.048;
Finland;2002;CB153;ug/kg;0.032;
Finland;2002;CB180;ug/kg;0.011;
