"Source","Country","Station","Year","Date2","BHI_ID","Species","Variable","Value","Unit","TEF.adjusted.value"
"ICES","Estonia","",1986,1986-05-05,27,"Clupea harengus","PCB",346,"mg/kg",NA
"ICES","Estonia","",1986,1986-05-05,28,"Clupea harengus","PCB",420,"mg/kg",NA
"ICES","Estonia","",1986,1986-05-05,28,"Clupea harengus","PCB",274,"mg/kg",NA
"ICES","Estonia","",1986,1986-05-05,31,"Clupea harengus","PCB",436.6,"mg/kg",NA
"ICES","Estonia","",1986,1986-05-05,34,"Clupea harengus","PCB",463,"mg/kg",NA
"ICES","Estonia","",1986,1986-05-05,33,"Clupea harengus","PCB",3075,"mg/kg",NA
"ICES","Estonia","",1986,1986-05-05,33,"Clupea harengus","PCB",1205,"mg/kg",NA
"ICES","Estonia","",1986,1986-10-22,28,"Clupea harengus","PCB",571,"mg/kg",NA
"ICES","Estonia","",1986,1986-10-22,31,"Clupea harengus","PCB",176.5,"mg/kg",NA
"ICES","Estonia","",1986,1986-10-22,31,"Clupea harengus","PCB",386,"mg/kg",NA
"ICES","Estonia","",1986,1986-10-22,34,"Clupea harengus","PCB",421,"mg/kg",NA
"ICES","Finland","",1979,1979-09-19,33,"Clupea harengus","PCB",52,"mg/kg",NA
"ICES","Finland","",1979,1979-09-21,32,"Clupea harengus","PCB",46,"mg/kg",NA
"ICES","Finland","",1979,1979-09-21,32,"Clupea harengus","PCB",52,"mg/kg",NA
"ICES","Finland","",1979,1979-09-25,42,"Clupea harengus","PCB",37,"mg/kg",NA
"ICES","Finland","",1980,1980-08-15,32,"Clupea harengus","PCB",89,"mg/kg",NA
"ICES","Finland","",1980,1980-08-15,33,"Clupea harengus","PCB",56,"mg/kg",NA
"ICES","Finland","",1980,1980-08-15,33,"Clupea harengus","PCB",86,"mg/kg",NA
"ICES","Finland","",1980,1980-08-15,38,"Clupea harengus","PCB",83,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,32,"Clupea harengus","PCB",26,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,32,"Clupea harengus","PCB",32,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,33,"Clupea harengus","PCB",22,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,33,"Clupea harengus","PCB",29,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,38,"Clupea harengus","PCB",35,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,42,"Clupea harengus","PCB",21,"mg/kg",NA
"ICES","Finland","",1981,1981-09-15,42,"Clupea harengus","PCB",23,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,32,"Clupea harengus","PCB",61,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,32,"Clupea harengus","PCB",89,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,33,"Clupea harengus","PCB",62,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,33,"Clupea harengus","PCB",75,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,38,"Clupea harengus","PCB",46,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,38,"Clupea harengus","PCB",72,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,42,"Clupea harengus","PCB",40,"mg/kg",NA
"ICES","Finland","",1982,1982-09-15,42,"Clupea harengus","PCB",443,"mg/kg",NA
