Provplats;Stat Id;Län;Art;Organ;Original Id;Provdatum;;Ålder (år);Längd (cm);Vikt (g);Torrvikt %;Extrlip (fetthalt) %;PCB-28 mg/kg lw;*;PCB-52 mg/kg lw;*;PCB-101 mg/kg lw;*;PCB-118 mg/kg lw;*;PCB-138 mg/kg lw;*;PCB-153 mg/kg lw;*;PCB-180 mg/kg lw;*;Summa PCB (kapillär kolonn) mg/kg lw;*;Summa PCB (packad kolonn) mg/kg lw;*;PCB-31 mg/kg lw;*;PCB-77 mg/kg lw;*;PCB-105 mg/kg lw;*;PCB-110 mg/kg lw;*;PCB-126 mg/kg lw;*;PCB-149 mg/kg lw;*;PCB-156 mg/kg lw;*;PCB-157 mg/kg lw;*;PCB-158 mg/kg lw;*;PCB-167 mg/kg lw;*;PCB-169 mg/kg lw;*
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02072;1998;;;;;;2.26;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;;0.0003;;;;;;0.0021;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/03281;1998;;;;;;2.26;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;;0.0002;;;;;;0.0012;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02066;1998;;;;;;2.12;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;;0.0002;;;;;;0.0014;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02060;1998;;;;;;2.57;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;;0.0002;;;;;;0.0013;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02078;1998;;;;;;2.85;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;;0.0002;;;;;;0.001;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02057;1998;;;;;;2.26;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;;0.0002;;;;;;0.0013;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02075;1998;;;;;;2.89;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;;0.0002;;;;;;0.0014;;;;;;;
Bergöfjärden;8487;Norrbottens län;Sill/strömming;Muskel;P1998/02069;1998;;;;;;3.06;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;;0.0002;;;;;;0.0012;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07748;2004;;4;18;39;;1.6;;;;;;;;;;;;;;;;;;;;;0.0001;;0.005;;;;0.0001;;;;0.004;;;;;;;;0.0001;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07750;2004;;4;19;43;;2.5;;;;;;;;;;;;;;;;;;;;;0.0002;;0.007;;;;0.0002;;;;0.003;;;;;;;;0;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07752;2004;;4;18;35;;2.1;;;;;;;;;;;;;;;;;;;;;0.0006;;0.011;;;;0.0003;;;;0.005;;;;;;;;0.0001;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07749;2004;;4;18;39;;1.8;;;;;;;;;;;;;;;;;;;;;0.0001;;0.002;;;;0.0001;;;;0.002;;;;;;;;0;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07747;2004;;4;19;36;;1.4;;;;;;;;;;;;;;;;;;;;;0.0002;;0.008;;;;0.0007;;;;0.004;;;;;;;;0.0003;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07753;2004;;4;19;38;;0.88;;;;;;;;;;;;;;;;;;;;;0.0002;;0.007;;;;0.0002;;;;0.008;;;;;;;;0.0001;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07751;2004;;4;19;40;;2.2;;;;;;;;;;;;;;;;;;;;;0.0002;;0.004;;;;0.0001;;;;0.002;;;;;;;;0;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2004/07754;2004;;4;18;36;;2.3;;;;;;;;;;;;;;;;;;;;;0.0002;;0.006;;;;0.0001;;;;0.002;;;;;;;;0;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06497;2006;;3;18;36;19.3;1.03;<0.004;b;0.003;;0.034;;0.048;;0.093;;0.15;;0.038;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06498;2006;;3;18;36;23.9;3.71;0.005;;0.006;;0.022;;0.018;;0.03;;0.042;;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06502;2006;;3;17;34;22.8;3.41;0.003;;0.003;;0.021;;0.021;;0.044;;0.073;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06493;2006;;3;19;37;20.7;2.15;0.004;;0.005;;0.028;;0.02;;0.045;;0.072;;0.014;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06496;2006;;3;18;39;21.9;2.9;0.005;;0.006;;0.031;;0.025;;0.055;;0.085;;0.019;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06494;2006;;3;17;32;20.1;1.14;<0.004;b;0.003;;0.026;;0.025;;0.056;;0.091;;0.022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06501;2006;;3;18;42;25.4;3.61;0.005;;0.005;;0.025;;0.023;;0.039;;0.068;;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06503;2006;;3;17;36;21.2;1.88;<0.004;b;<0.004;b;0.013;;0.013;;0.031;;0.052;;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06500;2006;;3;18;32;18.8;0.92;<0.004;b;<0.004;b;0.013;;0.021;;0.054;;0.096;;0.029;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06492;2006;;3;18;34;23.3;2.86;0.005;;0.006;;0.027;;0.019;;0.039;;0.058;;0.013;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06495;2006;;3;19;38;20.8;1.61;0.005;;0.007;;0.037;;0.03;;0.064;;0.098;;0.023;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2006/06499;2006;;3;17;32;23.4;4.22;0.004;;0.004;;0.021;;0.017;;0.033;;0.049;;0.012;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;C2008/05990-06001;2008;;;;;;8.1;;;;;;;0.007;;;;;;;;;;;;;;0.0002;;0.002;;;;0;;;;0.001;;0.0002;;;;0;;0;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;C2008/02093-02104;2008;;;;;;2.7;;;;;;;0.009;;;;;;;;;;;;;;0.0001;;0.003;;;;0.0001;;;;0.001;;0.0003;;;;0.001;;0;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;C2008/02081-02092;2008;;;;;;3;;;;;;;0.007;;;;;;;;;;;;;;0.0001;;0.002;;;;0.0001;;;;0.001;;0.0002;;;;0.001;;0;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;C2008/06356-06367;2008;;;;;;4.2;;;;;;;0.026;;;;;;;;;;;;;;0.0004;;0.009;;;;0.0002;;;;0.003;;0.0008;;;;0.002;;0;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;C2008/00292-00303;2008;;;;;;0.9;;;;;;;0.053;;;;;;;;;;;;;;0.0002;;0.016;;;;0.0004;;;;0.01;;0.0022;;;;0.005;;0.0001;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;C2008/00280-00291;2008;;;;;;0.76;;;;;;;0.068;;;;;;;;;;;;;;0.0004;;0.024;;;;0.0005;;;;0.012;;0.0026;;;;0.006;;0.0002;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;C2008/05775-05786;2008;;;;;;9.5;;;;;;;0.004;;;;;;;;;;;;;;0.0001;;0.001;;;;0;;;;0;;0.0001;;;;0;;0;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;C2008/04165-04176;2008;;;;;;3;;;;;;;0.057;;;;;;;;;;;;;;0.0003;;0.02;;;;0.0003;;;;0.009;;0.0021;;;;0.003;;0.0002;
