TIME;GEO;UNIT;NA_ITEM;Value;Flag and Footnotes
2000;Russia;Current prices, million euro;Gross domestic product at market prices;280496.3;e
2001;Russia;Current prices, million euro;Gross domestic product at market prices;341640.2;e
2002;Russia;Current prices, million euro;Gross domestic product at market prices;364248.9;
2003;Russia;Current prices, million euro;Gross domestic product at market prices;380971.2;
2004;Russia;Current prices, million euro;Gross domestic product at market prices;475364.9;
2005;Russia;Current prices, million euro;Gross domestic product at market prices;614116.2;
2006;Russia;Current prices, million euro;Gross domestic product at market prices;789090;
2007;Russia;Current prices, million euro;Gross domestic product at market prices;949432.5;
2008;Russia;Current prices, million euro;Gross domestic product at market prices;1133334.9;
2009;Russia;Current prices, million euro;Gross domestic product at market prices;879232.6;
2010;Russia;Current prices, million euro;Gross domestic product at market prices;1150154.1;
2011;Russia;Current prices, million euro;Gross domestic product at market prices;1368907.3;
2012;Russia;Current prices, million euro;Gross domestic product at market prices;1557285.6;
2013;Russia;Current prices, million euro;Gross domestic product at market prices;1563410.7;
2014;Russia;Current prices, million euro;Gross domestic product at market prices;1401450;
2015;Russia;Current prices, million euro;Gross domestic product at market prices;NA;
