goal,component,component_name,po_pload,po_nload,ss_wgi
DATA_STATUS,,,x,x,x
FIS,,,2,2,1
MAR,,,2,2,1
CS,,,2,2,1
TR,,,,,1
ECO,,,,,1
LIV,,,,,1
ICO,,,,,1
LSP,,,,,1
NUT,,,2,2,1
CON,,,,,1
TRA,,,,,1
BD,,,2,2,1
