latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Abietinaria abietina;X;X;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Ablabesmyia longistyla;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Ablabesmyia monilis;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;X;
Ablabesmyia phatta;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Abludomelita obtusata;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abra alba;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Abra nitida;X;X;X;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Abra prismatica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abyssoninoe hibernica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abyssoninoe scopa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acanthocardia echinata;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acanthodoris pilosa;;;X;;X;X;X;;;;;;;;;;;;;;;;X;;;;;;;;;;
Acaulis primarius;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acentria ephemerella;;;;X;;;X;;;;;;;X;;;;;;;X;;;;;;;X;;;;;
Acidostoma nodiferum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acidostoma obesum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acilius canaliculatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Aclis minor;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
