latin_name;assessment_unit;helcom_category;iucn_criteria;taxa_group
Aglaothamnion bipinnatum Feldmann-Mazoyer 1941;Species;LC;;macrophytes
Actitis hypoleucos (Linnaeus, 1758);Breeding;NT;A2ab;breeding birds
Nephasoma (Nephasoma) abyssorum abyssorum;Species;LC;;invert
Ranunculus trichophyllus subsp. eradicatus;Species;LC;;macrophytes
Golfingia (Golfingia) vulgaris vulgaris;Species;LC;;invert
Nitella gracilis (Sm.);Species;NE;;macrophytes
Potamogeton pectinatus agg.;Species;LC;;macrophytes
Jaera (Jaera) albifrons;Species;LC;;invert
Asellus (Asellus) aquaticus;Species;LC;;invert
Scoloplos (Scoloplos) armiger;Species;LC;;invert
Pectinaria (Amphictene) auricoma;Species;LC;;invert
Pectinaria (Pectinaria) belgica;Species;LC;;invert
Philocheras bispinosus bispinosus;Species;LC;;invert
Phoca hispida botnica;Species;VU;A3c;mammals
Halichondria (Halichondria) bowerbanki;Species;NE;;invert
Aricidea (Acmira) catherinae;Species;NE;;invert
Aricidea (Acmira) cerrutii;Species;LC;;invert
Lepidochitona (Lepidochitona) cinerea;Species;LC;;invert
Haliclona (Reniera) cinerea;Species;NE;;invert
Pisidium (Conventus) conventus;Species;NE;;invert
Spirorbis (Spirorbis) corallinae;Species;LC;;invert
Exogone (Exogone) dispar;Species;LC;;invert
Prionospio (Prionospio) dubia;Species;NE;;invert
Procladius (Holotanypus) ferrugineus;Species;NE;;invert
Scolelepis (Scolelepis) foliosa;Species;LC;;invert
Leucon (Leucon) fulvus;Species;LC;;invert
Larus fuscus fuscus;Breeding;VU;A2abce;breeding birds
Pseudocuma (Stenocuma) graciloides;Species;NE;;invert
Phyllodoce (Anaitides) groenlandica;Species;LC;;invert
Exogone (Parexogone) hebes;Species;LC;;invert
Charadrius hiaticula hiaticula;Breeding;NT;A2bc;breeding birds
Processa nouveli holthuisi;Species;LC;;invert
Branta bernicla hrota;Wintering;NT;B1ab(iii), D2;wintering birds
Procladius (Psilotanypus) imicola;Species;NE;;invert
Myxilla (Myxilla) incrustans;Species;NE;;invert
Larus fuscus intermedius;Breeding;LC;;breeding birds
Siphonoecetes (Centraloecetes) kroyeranus;Species;LC;;invert
Isoëtes lacustris L.;Species;LC;;macrophytes
Hydrocharis morsus-ranae L.;Species;LC;;macrophytes
Myriophyllum spicatum L.;Species;LC;;macrophytes
Butomus umbellatus L.;Species;LC;;macrophytes
Hippuris vulgaris L.;Species;LC;;macrophytes
Tanytarsus gr. lestagei;Species;NE;;invert
Mycale (Mycale) lingua;Species;NE;;invert
Pseudocuma (Pseudocuma) longicorne;Species;NE;;invert
Golfingia (Golfingia) margaritacea;Species;NE;;invert
Nicomache (Nicomache) minor;Species;LC;;invert
Nephasoma (Nephasoma) minutum;Species;LC;;invert
Leptasterias (Leptasterias) muelleri;Species;LC;;invert
Exogone (Exogone) naidina;Species;LC;;invert
Leucon (Leucon) nasica;Species;NE;;invert
Hydrobia acuta neglecta;Species;LC;;invert
Orbinia (Phylo) norvegica;Species;NE;;invert
Polypedilum (Polypedilum) nubeculosum;Species;LC;;invert
Haliclona (Haliclona) oculata;Species;LC;;invert
Peyssonnelia dubyi P.L.;Species;LC;;macrophytes
Halichondria (Halichondria) panicea;Species;LC;;invert
Ulva flexuosa paradoxa;Species;LC;;macrophytes
Porania (Porania) pulvillus;Species;NE;;invert
Cumella (Cumella) pygmaea;Species;NE;;invert
Coregonus maraena s.l.;Species;EN;A2bd;fish
Jaera (Jaera) sarsi;Species;NA;;invert
Calidris alpina schinzii;Breeding;EN;A2ace, C1;breeding birds
Orbinia (Orbinia) sertulata;Species;NE;;invert
Phalacrocorax carbo sinensis;Breeding;LC;;breeding birds
Spirorbis (Spirorbis) spirorbis;Species;LC;;invert
Scolelepis (Scolelepis) squamata;Species;LC;;invert
Prionospio (Prionospio) steenstrupi;Species;NE;;invert
Onchnesoma steenstrupii steenstrupii;Species;LC;;invert
Siphonoecetes (Centraloecetes) striatus;Species;LC;;invert
Phascolion (Phascolion) strombus;Species;LC;;invert
Chironomus (Camptochironomus) tentans;Species;LC;;invert
Spirorbis (Spirorbis) tridentatus;Species;NE;;invert
Nicomache (Loxochona) trispinata;Species;LC;;invert
Phascolion (Isomya) tuberculosum;Species;LC;;invert
Haliclona (Haliclona) urceolus;Species;NE;;invert
Exogone (Exogone) verugera;Species;NE;;invert
Phoca vitulina vitulina;Southern Baltic subpopulation;LC;;mammals
Phoca vitulina vitulina;Kalmarsun subpopulation;VU;D1;mammals
Uria aalge;Breeding;LC;;breeding birds
Uria aalge;Wintering/Baltic sub-population;LC;;wintering birds
Uria aalge;Wintering/ N Atlantic sub-population;NE;;wintering birds
Microphthalmus aberrans;Species;LC;;invert
Abietinaria abietina;Species;LC;;invert
Ophelina abranchiata;Species;LC;;invert
Bulbella abscondita;Species;NE;;invert
Byblis abyssi;Species;NE;;invert
Ephesiella abyssorum;Species;LC;;invert
Halcampoides abyssorum;Species;NE;;invert
Themisto abyssorum;Species;NE;;invert
Squalus acanthias;Species;CR;A2bd;fish
Corophium acherusicum;Species;LC;;invert
Eleocharis acicularis;Species;LC;;macrophytes
Aphrodita aculeata;Species;LC;;invert
Crisia aculeata;Species;LC;;invert
Ophiopholis aculeata;Species;LC;;invert
Desmarestia aculeata;Species;LC;;macrophytes
Gasterosteus aculeatus;Species;LC;;fish
Onoba aculeus;Species;LC;;invert
Ophelina acuminata;Species;NE;;invert
Syngnathus acus;Species;LC;;fish
Anas acuta;Wintering;LC;;wintering birds
Ampharete acutifrons;Species;LC;;invert
Leucon acutirostris;Species;NE;;invert
Gracilechinus acutus;Species;LC;;invert
Gavia adamsii;Wintering;NA;;wintering birds
Tenellia adspersa;Species;LC;;invert
Palaemon adspersus;Species;LC;;invert
Drepanocladus aduncus;Species;LC;;macrophytes
Marshallora adversa;Species;LC;;invert
Laminariocolax aecidioides;Species;LC;;macrophytes
Melanogrammus aeglefinus;Species;NT;B1a+2a;fish
Cordulia aenea;Species;LC;;invert
Ilybius aenescens;Species;LC;;invert
Halicreion aequicornis;Species;LC;;invert
Typhlotanais aequiremis;Species;LC;;invert
Pristina aequiseta;Species;NE;;invert
Entelurus aequoraeus;Species;LC;;fish
Chaetomorpha aerea;Species;NE;;macrophytes
Porphyridium aerugineum;Species;NE;;macrophytes
Spongomorpha aeruginosa;Species;LC;;macrophytes
Aphelocheirus aestivalis;Species;NE;;invert
Manayunkia aestuarina;Species;LC;;invert
Medicorophium affine;Species;LC;;invert
Pseudomma affine;Species;LC;;invert
Cryptonatica affinis;Species;DD;;invert
Euclymene affinis;Species;NE;;invert
Flabelligera affinis;Species;LC;;invert
Limnephilus affinis;Species;LC;;invert
Monoporeia affinis;Species;LC;;invert
Neoamphitrite affinis;Species;LC;;invert
Ophiocten affinis;Species;LC;;invert
Praxillella affinis;Species;NE;;invert
Aglaophamus agilis;Species;LC;;invert
Chironomus agilis;Species;LC;;invert
Megaluropus agilis;Species;NE;;invert
Pseudomonocelis agilis;Species;NE;;invert
Membranoptera alata;Species;LC;;macrophytes
Abra alba;Species;LC;;invert
Cylichna alba;Species;NE;;invert
Glycera alba;Species;LC;;invert
Motacilla alba;Breeding;LC;;breeding birds
Nymphaea alba;Species;LC;;macrophytes
Mergellus albellus;Breeding;LC;;breeding birds
Mergellus albellus;Wintering;LC;;wintering birds
Molanna albicans;Species;LC;;invert
Haliaeetus albicilla;Breeding;LC;;breeding birds
Haliaeetus albicilla;Wintering;LC;;wintering birds
Psammoryctides albicola;Species;LC;;invert
Graphis albida;Species;NE;;invert
Ophiura albida;Species;LC;;invert
Cladophora albida;Species;NE;;macrophytes
Alcyonidium albidum;Species;LC;;invert
Enchytraeus albidus;Species;LC;;invert
Cricotopus albiforceps;Species;LC;;invert
Sternula albifrons;Breeding;LC;;breeding birds
Anser albifrons;Wintering;LC;;wintering birds
Paratendipes albimanus;Species;LC;;invert
Endochironomus albipennis;Species;LC;;invert
Coregonus albula;Species;LC;;fish
Alburnus alburnus;Species;LC;;fish
Gyraulus albus;Species;LC;;invert
Stenosemus albus;Species;NE;;invert
Metopa alderi;Species;NE;;invert
Charadrius alexandrinus;Breeding;CR;D1;breeding birds
Cricotopus algarum;Species;NE;;invert
Alle alle;Wintering;NA;;wintering birds
Magelona alleni;Species;NE;;invert
Euthynnus alletteratus;Species;NA;;fish
Crangon allmanni;Species;LC;;invert
Alosa alosa;Species;NA;;fish
Eremophila alpestris;Wintering;NE;;wintering birds
Stylonema alsidii;Species;LC;;macrophytes
Pontocrates altamarinus;Species;LC;;invert
Myriophyllum alterniflorum;Species;LC;;macrophytes
Leptochiton alveolus;Species;LC;;invert
Scruparia ambigua;Species;LC;;invert
Polyprion americanus;Species;NA;;fish
Pisidium amnicum;Species;LC;;invert
Gattyana amondseni;Species;LC;;invert
Radix ampla;Species;NE;;invert
Porphyra amplissima;Species;NE;;macrophytes
Tubificoides amplivasatus;Species;LC;;invert
Leptostylis ampullacea;Species;NE;;invert
Euchone analis;Species;LC;;invert
Anodonta anatina;Species;NE;;invert
Malmgreniella andreapolis;Species;NE;;invert
Anguilla anguilla;Species;CR;A3bde+4bde;fish
Aetea anguina;Species;LC;;invert
Ischyrocerus anguipes;Species;NE;;invert
Hydroptila angulata;Species;LC;;invert
Gammarellus angulosus;Species;DD;;invert
Molanna angustata;Species;LC;;invert
Typha angustifolia;Species;LC;;macrophytes
Piscicola annae;Species;NE;;invert
Chironomus annularius;Species;LC;;invert
Tubulanus annulatus;Species;LC;;invert
Ceraclea annulicornis;Species;LC;;invert
Hemimysis anomala;Species;NA;;invert
Novocrania anomala;Species;LC;;invert
Microdeutopus anomalus;Species;NE;;invert
Anser anser;Breeding;LC;;breeding birds
Anser anser;Wintering;LC;;wintering birds
Harpinia antennaria;Species;LC;;invert
Nerilla antennata;Species;NE;;invert
Pseudopolydora antennata;Species;LC;;invert
Nemertesia antennina;Species;NE;;invert
Chironomus anthracinus;Species;LC;;invert
Harmothoe antilopes;Species;NE;;invert
Potamopyrgus antipodarum;Species;NA;;invert
Fontinalis antipyretica;Species;LC;;macrophytes
Neptunea antiqua;Species;LC;;invert
Dina apathyi;Species;NE;;invert
Capros aper;Species;NA;;fish
Philine aperta;Species;LC;;invert
Tubulipora aperta;Species;LC;;invert
Slavina appendiculata;Species;NE;;invert
Macrostomum appendiculatum;Species;NE;;invert
Chironomus aprilinus;Species;LC;;invert
Argyroneta aquatica;Species;NE;;invert
Crassula aquatica;Species;NT;B2ab(ii,iii,iv,v)c(iv);macrophytes
Limosella aquatica;Species;LC;;macrophytes
Subularia aquatica;Species;LC;;macrophytes
Gordius aquaticus;Species;NE;;invert
Myliobatis aquila;Species;NA;;fish
Hyas araneus;Species;LC;;invert
Vaucheria arcassonensis;Species;NE;;macrophytes
Acrosiphonia arcta;Species;LC;;macrophytes
Marenzelleria arctia;Species;NA;;invert
Eumetula arctica;Species;NE;;invert
Eumida arctica;Species;NE;;invert
Hiatella arctica;Species;LC;;invert
Trivia arctica;Species;NE;;invert
Sphacelaria arctica;Species;LC;;macrophytes
Gavia arctica;Wintering;CR;A2b;wintering birds
Trachipterus arcticus;Species;NA;;fish
Parachironomus arcuatus;Species;LC;;invert
Mya arenaria;Species;LC;;invert
Paraedwardsia arenaria;Species;NE;;invert
Corophium arenarium;Species;NE;;invert
Clitellio arenarius;Species;LC;;invert
Haustorius arenarius;Species;NE;;invert
Lumbricillus arenarius;Species;LC;;invert
Pontocrates arenarius;Species;LC;;invert
Malmgreniella arenicolae;Species;NE;;invert
Eugyra arenosa;Species;LC;;invert
Gerris argentatus;Species;LC;;invert
Larus argentatus;Breeding;LC;;breeding birds
Larus argentatus;Wintering;LC;;wintering birds
Spio armata;Species;NE;;invert
Syllidia armata;Species;NE;;invert
Coenagrion armatum;Species;LC;;invert
Syllis armillaris;Species;NE;;invert
Paludicella articulata;Species;LC;;invert
Lomentaria articulata;Species;NA;;macrophytes
Chirolophis ascanii;Species;LC;;fish
Leptochiton asellus;Species;LC;;invert
Bonnemaisonia asparagoides;Species;LC;;macrophytes
Eurynome aspera;Species;LC;;invert
Chara aspera;Species;LC;;macrophytes
Ascidiella aspersa;Species;LC;;invert
Aspius aspius;Species;NT;A3d;fish
Cheirocratus assimilis;Species;LC;;invert
Hemilamprops assimilis;Species;LC;;invert
Nephtys assimilis;Species;LC;;invert
Pholoe assimilis;Species;LC;;invert
Mustelus asterias;Species;NA;;fish
Ilybius ater;Species;LC;;invert
Idmidronea atlantica;Species;LC;;invert
Magnisudis atlantica;Species;NA;;fish
Omalogyra atomus;Species;LC;;invert
Fulica atra;Wintering;LC;;wintering birds
Cladotanytarsus atridorsum;Species;LC;;invert
Bangiadulcis atropurpurea;Species;LC;;macrophytes
Batrachospermum atrum;Species;NE;;macrophytes
Mangelia attenuata;Species;LC;;invert
Delamarea attenuata;Species;DD;;macrophytes
Striaria attenuata;Species;LC;;macrophytes
Acrochaetium attenuatum;Species;NE;;macrophytes
Otomesostoma auditivum;Species;NE;;invert
Perrierella audouiniana;Species;NE;;invert
Polyclinum aurantium;Species;LC;;invert
Sparus aurata;Species;NA;;fish
Liza aurata;Species;NA;;fish
Amphictene auricoma;Species;NE;;invert
Limnephilus auricula;Species;LC;;invert
Radix auricularia;Species;LC;;invert
Amphiblestrum auritum;Species;NE;;invert
Podiceps auritus;Breeding;VU;A2abce;breeding birds
Podiceps auritus;Wintering;NT;D2;wintering birds
Phragmites australis;Species;LC;;macrophytes
Paratanytarsus austriacus;Species;NE;;invert
Turbicellepora avicularis;Species;LC;;invert
Recurvirostra avosetta;Breeding;LC;;breeding birds
Mystacides azurea;Species;LC;;invert
Cystoseira baccata;Species;NA;;macrophytes
Acipenser baeri;Species;NA;;fish
Eumida bahusiensis;Species;LC;;invert
Laonice bahusiensis;Species;NE;;invert
Dasya baillouviana;Species;NA;;macrophytes
Tsengia bairdii;Species;LC;;macrophytes
Psammodrilus balanoglossoides;Species;NE;;invert
Semibalanus balanoides;Species;LC;;invert
Balanus balanus;Species;LC;;invert
Chironomus balatonicus;Species;NE;;invert
Ballerus ballerus;Species;NA;;fish
Ophiactis balli;Species;NE;;invert
Idotea balthica;Species;LC;;invert
Macoma balthica;Species;LC;;invert
Radix balthica;Species;LC;;invert
Ampharete baltica;Species;LC;;invert
Erotesis baltica;Species;LC;;invert
Fabriciola baltica;Species;LC;;invert
Micrura baltica;Species;LC;;invert
Minona baltica;Species;NE;;invert
Pholoe baltica;Species;LC;;invert
Sphaerodoropsis baltica;Species;LC;;invert
Chara baltica;Species;LC;;macrophytes
Acrochaetium balticum;Species;NE;;macrophytes
Monostroma balticum;Species;LC;;macrophytes
Myrionema balticum;Species;LC;;macrophytes
Bothriomolus balticus;Species;NE;;invert
Clunio balticus;Species;NE;;invert
Nanocladius balticus;Species;LC;;invert
Coregonus balticus;Species;NE;;fish
Urospora bangioides;Species;NE;;macrophytes
Prionospio banyulensis;Species;NE;;invert
Eteone barbata;Species;LC;;invert
Nais barbata;Species;LC;;invert
Barbatula barbatula;Species;NA;;fish
Modiolus barbatus;Species;NE;;invert
Psammoryctides barbatus;Species;LC;;invert
Psectrocladius barbimanus;Species;NE;;invert
Glyptotendipes barbipes;Species;NE;;invert
Barbus barbus;Species;NA;;fish
Chartella barleei;Species;LC;;invert
Ekmania barthii;Species;DD;;invert
Thalassarachna basteri;Species;NE;;invert
Parakiefferiella bathophila;Species;LC;;invert
Monodiamesa bathyphila;Species;LC;;invert
Dipturus batis;Species;RE;;fish
Potamothrix bavaricus;Species;LC;;invert
Reteporella beaniana;Species;LC;;invert
Potamothrix bedoti;Species;NA;;invert
Nais behningi;Species;NE;;invert
Smittina bella;Species;LC;;invert
Calliopaea bellula;Species;LC;;invert
Belone belone;Species;LC;;fish
Limnomysis benedeni;Species;NA;;invert
Tubificoides benedii;Species;LC;;invert
Potamogeton berchtoldii;Species;LC;;macrophytes
Labrus bergylta;Species;LC;;fish
Pagurus bernhardus;Species;LC;;invert
Parachironomus biannulatus;Species;NE;;invert
Coelogynopora biarmata;Species;NE;;invert
Asychis biceps;Species;NE;;invert
Cricotopus bicinctus;Species;NE;;invert
Polypedilum bicrenatum;Species;LC;;invert
Kurtiella bidentata;Species;LC;;invert
Procloeon bifidum;Species;LC;;invert
Eulalia bilineata;Species;LC;;invert
Eulima bilineata;Species;LC;;invert
Lineus bilineatus;Species;LC;;invert
Pristinella bilobata;Species;NE;;invert
Epitheca bimaculata;Species;LC;;invert
Neureclipsis bimaculata;Species;LC;;invert
Tetrastemma bioculatum;Species;LC;;invert
Nebalia bipes;Species;NE;;invert
Diastyloides biplicatus;Species;NE;;invert
Phryganea bipunctata;Species;LC;;invert
Laccobius bipunctatus;Species;LC;;invert
Agabus bipustulatus;Species;LC;;invert
Psectrocladius bisetus;Species;NE;;invert
Apherusa bispinosa;Species;LC;;invert
Philocheras bispinosus;Species;LC;;invert
Blicca bjoerkna;Species;LC;;fish
Guancha blanca;Species;NE;;invert
Piguetiella blanci;Species;NE;;invert
Phycis blennoides;Species;NA;;fish
Sthenelais boa;Species;NE;;invert
Goniadella bobretzkii;Species;LC;;invert
Xenoturbella bocki;Species;NE;;invert
Amphilochoides boecki;Species;LC;;invert
