CELLCODE,Alisma_wah,Botrytella,C_braunii,C_conniven,C_horrida,C_tomentos,Crassula_a,Delamarea_,F_serratus,F_vesiculo,Furcellari,Helminthor,Hippuria_t,Lamprotham,Myriocladi,N_hyalina,Nitellopsi,Persicaria,Potamogeto,Rosenvingi,Stypocaulo,Z_marina,Z_noltii,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
10kmE428N356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE431N357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE431N359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE431N360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE431N362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE432N347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
10kmE432N360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE432N361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
10kmE433N350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
10kmE433N351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
10kmE433N351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,DEU,Great Belt,SEA-002,4,140.98877
10kmE433N351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
10kmE433N352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
10kmE433N353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
10kmE433N374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
10kmE433N375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
10kmE434N349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
10kmE434N349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
10kmE434N350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
