year,Kattegat,Danish Straits,Baltic Proper,Bothnian Sea,Bothnian Bay,Gulf of Riga,Gulf of Finland,Entire Baltic Sea
2010,55.8,50.9,499,101.2,17.1,70.6,89.6,884.3
2011,55.5,50.7,495.8,98.7,17,71.8,86.7,876.2
2012,54.9,50.8,506.1,99.2,17.4,73.2,87.5,889.1
2013,55.5,51.1,513.2,96.9,17.8,72,89.3,895.8
2014,55.4,50.7,506.6,98.5,18.3,72.3,91.1,893
target,63.1,58.6,537.3,94.4,18.1,64.3,87.8,923.5
