"basin_loading","basin_abb","data_type","substance","unit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Archipelago Sea","ARC","official data on emissions","PCDD/F","g TEQ / year",4.1,3.6,3.1,3.5,3.2,3.2,2.6,2.3,2.6,2.4,2.1,2.3,1.7,1.6,1.9,2,1.7,1.5,1.8,1.8,1.9,1.5,2.1
"Bothnian Bay","BOB","official data on emissions","PCDD/F","g TEQ / year",8.3,6.1,5.7,6.4,5.8,5.9,4.7,4.5,4.6,4.7,4.1,4,3,3,3.4,3.2,2.8,2.6,3.3,2.9,3.2,2.8,3.8
"Bothnian Sea","BOS","official data on emissions","PCDD/F","g TEQ / year",10,6.8,6.4,7.2,6.5,7.5,5.2,5,5.3,5.4,4.6,5.1,3.8,3.5,4.4,4.5,4.2,3.7,4.6,4.5,4.5,3.7,5.4
"Baltic Proper","BAP","official data on emissions","PCDD/F","g TEQ / year",59.4,49.7,48.2,43.7,43.9,38.7,38.3,31.7,30.8,28.8,27.2,28.7,24.1,22.4,22.1,23.8,22.6,21.3,22.9,23.1,26.4,20.9,22.5
"Gulf of Finland","GUF","official data on emissions","PCDD/F","g TEQ / year",10.2,8.8,8.5,8,8.1,7.8,7.2,6.2,6.6,6.9,6,6.1,5.4,5.5,5.8,6,5.5,5.9,7,6.5,7.1,6.5,7.3
"Gulf of Riga","GUR","official data on emissions","PCDD/F","g TEQ / year",9.8,8.4,8.5,7.9,8,7.8,7.2,6.1,6.4,6.3,5.5,5.7,4.9,4.8,5,5.6,4.9,5,5.5,5.3,5.6,5,5.4
"Kattegat","KAT","official data on emissions","PCDD/F","g TEQ / year",10.2,8.3,8.3,7.4,7.2,5.9,5.6,5.3,4.6,4.2,4.4,4.3,3.7,3.5,3.4,3.2,3.8,3.5,3.6,3.5,3.7,3.3,3
"The Sound","SOU","official data on emissions","PCDD/F","g TEQ / year",5.1,4.4,4.1,3.4,3.5,3,2.7,2.6,2.3,2.1,2.1,2,1.8,1.8,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.3
"Western Baltic","WEB","official data on emissions","PCDD/F","g TEQ / year",21.8,18.3,18.8,14.7,15.3,12.3,11.4,10.6,9.8,8.8,8.9,7.7,8.4,7.5,6.4,6.3,6.5,6.8,6.9,6.4,6.2,5.9,5.1
"Archipelago Sea","ARC","scenario with adjusted emissions","PCDD/F","g TEQ / year",22,19,17,19,17,17,14,12,14,13,11,13,9,9,10,11,9,8,10,9,10,8,11
"Bothnian Bay","BOB","scenario with adjusted emissions","PCDD/F","g TEQ / year",45,33,30,34,31,32,25,24,25,25,22,22,16,16,18,17,15,14,18,15,17,15,20
"Bothnian Sea","BOS","scenario with adjusted emissions","PCDD/F","g TEQ / year",54,37,35,38,35,40,28,27,29,29,25,27,21,19,23,24,23,20,25,24,24,20,29
"Baltic Proper","BAP","scenario with adjusted emissions","PCDD/F","g TEQ / year",320,268,259,235,236,208,206,170,166,155,146,154,130,121,119,128,122,115,123,124,142,113,121
"Gulf of Finland","GUF","scenario with adjusted emissions","PCDD/F","g TEQ / year",55,48,46,43,44,42,39,33,36,37,33,33,29,30,31,32,30,32,38,35,38,35,39
"Gulf of Riga","GUR","scenario with adjusted emissions","PCDD/F","g TEQ / year",53,45,46,43,43,42,39,33,35,34,30,31,26,26,27,30,26,27,30,29,30,27,29
"Kattegat","KAT","scenario with adjusted emissions","PCDD/F","g TEQ / year",55,45,45,40,39,31,30,28,24,23,24,23,20,19,18,17,20,19,19,19,20,18,16
"The Sound","SOU","scenario with adjusted emissions","PCDD/F","g TEQ / year",27,24,22,18,19,16,15,14,12,11,11,11,10,10,8,8,9,9,9,8,8,8,7
"Western Baltic","WEB","scenario with adjusted emissions","PCDD/F","g TEQ / year",117,99,101,79,82,66,62,57,53,47,48,41,45,41,35,34,35,37,37,35,34,32,27
