goal,component,spp_status,WFD,HD,MSFD,HELCOM,BSAP,REACH,POP,CBD,CITES,CFP,COP21,MSPD,BWD,BIRDS,ND,UWWTD,NEC,IED,wgi_all
FIS,,,,,MSFD,,,,,,,CFP,,,,,,,,,
MAR,,,,,MSFD,,,,,,,CFP,,,,,,,,,
CS,,,,HD,MSFD,,,,,,,,,,,,,,,,
TR,,, ,,,,,,,,,,,,BWD,,,,,,
ECO,,,,,,,,,,,,,,,,,,,,,
LIV,,,,,,,,,,,,,,,,,,,,,
ICO,,, ,HD,MSFD,HELCOM,BSAP,,,CBD,CITES,,,,,BIRDS,,,,,
LSP,,,,,,,,,,,,,,MSPD,,,,,,,
NUT,,,WFD,,MSFD,HELCOM,BSAP,,,,,,,,BWD,,ND,UWWTD,NEC,,
CON,,, ,,MSFD,HELCOM,BSAP,REACH,POP,,,,,,,,,UWWTD, ,IED,
TRA,,, ,,MSFD,,,,,,,,,,,,,UWWTD,,,
SPP,,,,HD,MSFD,HELCOM,BSAP,,,CBD,CITES,,,,,BIRDS,,,,,
AO,,,,,MSFD,,,,,,,CFP,,,,,,,,,
