"rgn_id","basin","year","variable","value","unit","data_descrip","bhi_goal"
1,"Kattegat",2000,8,8,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,8,7,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,8,6.3,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,8,10.2,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,8,13.2,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,8,13,"secchi depth m","summer secchi observations","eut"
1,"Kattegat",2000,8,10.2,"secchi depth m","summer secchi observations","eut"
7,"Kiel Bay",2000,8,6.1,"secchi depth m","summer secchi observations","eut"
7,"Kiel Bay",2000,8,7.3,"secchi depth m","summer secchi observations","eut"
3,"Great Belt",2000,8,6.7,"secchi depth m","summer secchi observations","eut"
3,"Great Belt",2000,8,6.7,"secchi depth m","summer secchi observations","eut"
3,"Great Belt",2000,8,6.7,"secchi depth m","summer secchi observations","eut"
7,"Kiel Bay",2000,8,6.5,"secchi depth m","summer secchi observations","eut"
10,"Bay of Mecklenburg",2000,8,6.4,"secchi depth m","summer secchi observations","eut"
10,"Bay of Mecklenburg",2000,8,6,"secchi depth m","summer secchi observations","eut"
12,"Arkona Basin",2000,8,6.6,"secchi depth m","summer secchi observations","eut"
13,"Arkona Basin",2000,8,7.2,"secchi depth m","summer secchi observations","eut"
12,"Arkona Basin",2000,8,7.2,"secchi depth m","summer secchi observations","eut"
12,"Arkona Basin",2000,9,8.6,"secchi depth m","summer secchi observations","eut"
13,"Arkona Basin",2000,9,8.4,"secchi depth m","summer secchi observations","eut"
10,"Bay of Mecklenburg",2000,9,7,"secchi depth m","summer secchi observations","eut"
10,"Bay of Mecklenburg",2000,9,7.2,"secchi depth m","summer secchi observations","eut"
7,"Kiel Bay",2000,9,6.6,"secchi depth m","summer secchi observations","eut"
7,"Kiel Bay",2000,9,7.9,"secchi depth m","summer secchi observations","eut"
3,"Great Belt",2000,9,8.1,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,9,7,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,9,8.4,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,9,7.7,"secchi depth m","summer secchi observations","eut"
2,"Kattegat",2000,9,7,"secchi depth m","summer secchi observations","eut"
