"lat","lon","data_descrip","goal"
54.6457,11.7323,"coastal fish","AO"
56.2244,10.4284,"coastal fish","AO"
58.812,17.718,"coastal fish","AO"
54.17,11.91,"coastal fish","AO"
55.5169,21.2181,"coastal fish","AO"
54.3501,12.4408,"coastal fish","AO"
57.04,24.03,"coastal fish","AO"
54.0275,14.0982,"coastal fish","AO"
60.287,19.671,"coastal fish","AO"
59.705518,21.264879,"coastal fish","AO"
61.679815,21.269112,"coastal fish","AO"
64.207281,23.511161,"coastal fish","AO"
60.10813,25.77241,"coastal fish","AO"
63.505817,21.351243,"coastal fish","AO"
55.7018,9.6096,"coastal fish","AO"
60.434,18.162,"coastal fish","AO"
62.863,18.276,"coastal fish","AO"
54.2593,13.4482,"coastal fish","AO"
58.5,23,"coastal fish","AO"
63.682,20.875,"coastal fish","AO"
55.7074,11.9745,"coastal fish","AO"
56.59,21.2,"coastal fish","AO"
65.047,21.518,"coastal fish","AO"
60.225,20.819,"coastal fish","AO"
58.017,16.775,"coastal fish","AO"
59.566,18.84,"coastal fish","AO"
61.456,17.166,"coastal fish","AO"
56.0055,21.0678,"coastal fish","AO"
63.534,19.834,"coastal fish","AO"
54.1565,11.838,"coastal fish","AO"
54.6784,13.4539,"coastal fish","AO"
57.3098,10.5358,"coastal fish","AO"
56.8575,9.028,"coastal fish","AO"
55.4661,10.4758,"coastal fish","AO"
53.9968,13.9111,"coastal fish","AO"
54.1006,15.08,"coastal fish","AO"
55.174,12.0893,"coastal fish","AO"
65.833,22.426,"coastal fish","AO"
55.8577,11.2032,"coastal fish","AO"
56.6861,9.2484,"coastal fish","AO"
55.3003,9.6786,"coastal fish","AO"
53.7686,14.2098,"coastal fish","AO"
54.2859,13.1205,"coastal fish","AO"
55.1669,10.8042,"coastal fish","AO"
56.0016,12.5855,"coastal fish","AO"
56.05,15.792,"coastal fish","AO"
56.5182,8.6285,"coastal fish","AO"
57.5,16.7,"coastal fish","AO"
53.9283,11.4366,"coastal fish","AO"
