"station","rgn_id","year","value","variable","basin","bhi_goal","unit","data_descrip"
"",30,2008,0.033,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.0183,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.0105,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.0096,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.0096,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.0177,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.021,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2008,0.042,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.0234,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.0123,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.0153,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.024,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.0138,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.0147,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
"",30,2009,0.03,"total TEQ dioxin-like pcb","Northern Baltic Proper","CON","TEQ pg/g","unique herring samples reference ids"
