"lat","lon","data_descrip","bhi_goal"
56.23,12.37,"summer secchi unique sampling locations 2000-2013","eut"
56.5583,11.03,"summer secchi unique sampling locations 2000-2013","eut"
56.8567,10.7917,"summer secchi unique sampling locations 2000-2013","eut"
57.3,10.745,"summer secchi unique sampling locations 2000-2013","eut"
57.43,10.7083,"summer secchi unique sampling locations 2000-2013","eut"
57.465,10.9,"summer secchi unique sampling locations 2000-2013","eut"
57.53,11.325,"summer secchi unique sampling locations 2000-2013","eut"
54.6033,10.45,"summer secchi unique sampling locations 2000-2013","eut"
54.7,10.77,"summer secchi unique sampling locations 2000-2013","eut"
55.05,11.03,"summer secchi unique sampling locations 2000-2013","eut"
55.3767,11,"summer secchi unique sampling locations 2000-2013","eut"
55.655,10.7617,"summer secchi unique sampling locations 2000-2013","eut"
54.57,11.33,"summer secchi unique sampling locations 2000-2013","eut"
54.315,11.55,"summer secchi unique sampling locations 2000-2013","eut"
54.485,12.2783,"summer secchi unique sampling locations 2000-2013","eut"
54.8,12.37,"summer secchi unique sampling locations 2000-2013","eut"
55,13.3,"summer secchi unique sampling locations 2000-2013","eut"
55.2717,12.575,"summer secchi unique sampling locations 2000-2013","eut"
56.1317,11.16,"summer secchi unique sampling locations 2000-2013","eut"
57.205,11.6467,"summer secchi unique sampling locations 2000-2013","eut"
56.6683,12.12,"summer secchi unique sampling locations 2000-2013","eut"
56.375,12.03,"summer secchi unique sampling locations 2000-2013","eut"
56.165,11.8,"summer secchi unique sampling locations 2000-2013","eut"
55.1115,14.657,"summer secchi unique sampling locations 2000-2013","eut"
55.25,15.98,"summer secchi unique sampling locations 2000-2013","eut"
55.5083,10.8633,"summer secchi unique sampling locations 2000-2013","eut"
57.213,10.6953,"summer secchi unique sampling locations 2000-2013","eut"
56.856,10.7903,"summer secchi unique sampling locations 2000-2013","eut"
54.8233,12.3855,"summer secchi unique sampling locations 2000-2013","eut"
56.1312,11.1593,"summer secchi unique sampling locations 2000-2013","eut"
56.132,11.1585,"summer secchi unique sampling locations 2000-2013","eut"
57.55,11.525,"summer secchi unique sampling locations 2000-2013","eut"
57.21,10.6993,"summer secchi unique sampling locations 2000-2013","eut"
57.21,10.6983,"summer secchi unique sampling locations 2000-2013","eut"
57.2098,10.6992,"summer secchi unique sampling locations 2000-2013","eut"
57.21,10.6988,"summer secchi unique sampling locations 2000-2013","eut"
57.209,10.7017,"summer secchi unique sampling locations 2000-2013","eut"
