"year","value","unit","mar_region","bhi_goal","data_descrip"
2006,2071,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2007,2364,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2008,2288,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2009,NA,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2010,NA,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2011,NA,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2012,NA,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2013,NA,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2014,80,"ton","Hovedstaden","MAR","Rainbow trout production by country region"
2006,1742,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2007,733,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2008,1841,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2009,1421,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2010,1788,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2011,1922,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2012,1814,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2013,1834,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2014,1970,"ton","Midtjylland","MAR","Rainbow trout production by country region"
2006,2829,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2007,3806,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2008,3987,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2009,7104,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2010,6700,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2011,7531,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2012,7243,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2013,7287,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2014,7588,"ton","Sjaelland","MAR","Rainbow trout production by country region"
2006,881,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2007,542,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2008,1510,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2009,1520,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2010,1335,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2011,1400,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2012,1435,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2013,1383,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2014,1477,"ton","Syddanmark","MAR","Rainbow trout production by country region"
2005,5047.74,"ton","Aland","MAR","Rainbow trout production by country region"
2006,4848.04,"ton","Aland","MAR","Rainbow trout production by country region"
2007,5051.07,"ton","Aland","MAR","Rainbow trout production by country region"
2008,5464.8,"ton","Aland","MAR","Rainbow trout production by country region"
2009,5750.84,"ton","Aland","MAR","Rainbow trout production by country region"
2010,5137.19,"ton","Aland","MAR","Rainbow trout production by country region"
2011,4032.86,"ton","Aland","MAR","Rainbow trout production by country region"
2012,5160.65,"ton","Aland","MAR","Rainbow trout production by country region"
2013,5732.12,"ton","Aland","MAR","Rainbow trout production by country region"
2014,6275.9,"ton","Aland","MAR","Rainbow trout production by country region"
2005,767.8,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2006,465.69,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2007,436.18,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2008,416.88,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2009,395.38,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2010,215.42,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2011,404.02,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2012,419.9,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2013,183.85,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2014,397.7,"ton","Kaakkois Suomi ","MAR","Rainbow trout production by country region"
2005,663.36,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2006,404.78,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2007,381.07,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2008,335.82,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2009,188.55,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2010,379.64,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2011,181.49,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2012,188.73,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2013,NA,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2014,NA,"ton","Kainnuu","MAR","Rainbow trout production by country region"
2005,1106.25,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2006,575.32,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2007,653.8,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2008,774.9,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2009,753.25,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2010,700.35,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2011,646.61,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2012,428.93,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2013,504.64,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2014,264.81,"ton","Ostrobothnia","MAR","Rainbow trout production by country region"
2005,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2006,97.45,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2007,153.18,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2008,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2009,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2010,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2011,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2012,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2013,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2014,NA,"ton","Uusimaa ","MAR","Rainbow trout production by country region"
2005,4021.75,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2006,3676.79,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2007,3413.77,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2008,3714.29,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2009,3417.99,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2010,2839.07,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2011,3108.1,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2012,3236.35,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2013,4059.66,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2014,3792.7,"ton","Varsinais Suomi ","MAR","Rainbow trout production by country region"
2005,1190,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2006,1302,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2007,1258,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2008,1527,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2009,2065,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2010,1998,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2011,2998,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2012,2838,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2013,2954,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2014,2259,"ton","Norra ostkusten","MAR","Rainbow trout production by country region"
2005,236,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2006,247,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2007,220,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2008,204,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2009,129,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2010,129,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2011,91,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2012,86,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2013,84,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2014,77,"ton","Sodra ostkusten","MAR","Rainbow trout production by country region"
2005,299,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2006,220,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2007,261,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2008,250,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2009,237,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2010,156,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2011,166,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2012,127,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2013,78,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2014,149,"ton","Syd och vastkusten","MAR","Rainbow trout production by country region"
2005,21,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2006,20,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2007,20,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2008,22,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2009,14,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2010,14,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2011,26,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2012,30,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2013,22,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
2014,20,"ton","FAO_Germany","MAR","Rainbow trout production by country region"
