"value","location","data_descrip","bhi_goal"
"VU","Cod","redlist threat level","ICO"
"LC","Flounder","redlist threat level","ICO"
"LC","Herring","redlist threat level","ICO"
"LC","Perch","redlist threat level","ICO"
"LC","Pike","redlist threat level","ICO"
"VU","Salmon","redlist threat level","ICO"
"VU","Trout","redlist threat level","ICO"
"LC","Sprat","redlist threat level","ICO"
"LC","grey seal / gray seal","redlist threat level","ICO"
"NT","European otter / Euraisan otter","redlist threat level","ICO"
"VU","harbour seal / common seal","redlist threat level","ICO"
"CR","harbour porpoise","redlist threat level","ICO"
"VU","ringed seal","redlist threat level","ICO"
