"year","value","ices","unit","data_descrip","bhi_goal"
1994,0.824635417,"cod_2224",NA,"B/Bmsy","FIS"
1995,0.813984375,"cod_2224",NA,"B/Bmsy","FIS"
1996,0.892421875,"cod_2224",NA,"B/Bmsy","FIS"
1997,0.926067708,"cod_2224",NA,"B/Bmsy","FIS"
1998,0.716901042,"cod_2224",NA,"B/Bmsy","FIS"
1999,0.827109375,"cod_2224",NA,"B/Bmsy","FIS"
2000,0.95140625,"cod_2224",NA,"B/Bmsy","FIS"
2001,0.800260417,"cod_2224",NA,"B/Bmsy","FIS"
2002,0.635833333,"cod_2224",NA,"B/Bmsy","FIS"
2003,0.499375,"cod_2224",NA,"B/Bmsy","FIS"
2004,0.548645833,"cod_2224",NA,"B/Bmsy","FIS"
2005,0.704817708,"cod_2224",NA,"B/Bmsy","FIS"
2006,0.812369792,"cod_2224",NA,"B/Bmsy","FIS"
2007,0.84296875,"cod_2224",NA,"B/Bmsy","FIS"
2008,0.591067708,"cod_2224",NA,"B/Bmsy","FIS"
2009,0.400677083,"cod_2224",NA,"B/Bmsy","FIS"
2010,0.357994792,"cod_2224",NA,"B/Bmsy","FIS"
2011,0.353802083,"cod_2224",NA,"B/Bmsy","FIS"
2012,0.416979167,"cod_2224",NA,"B/Bmsy","FIS"
2013,0.36765625,"cod_2224",NA,"B/Bmsy","FIS"
2014,0.478203125,"cod_2224",NA,"B/Bmsy","FIS"
1966,1.926371882,"cod_2532",NA,"B/Bmsy","FIS"
1967,2.422108844,"cod_2532",NA,"B/Bmsy","FIS"
1968,2.56930839,"cod_2532",NA,"B/Bmsy","FIS"
1969,2.525997732,"cod_2532",NA,"B/Bmsy","FIS"
1970,2.393219955,"cod_2532",NA,"B/Bmsy","FIS"
1971,2.21585034,"cod_2532",NA,"B/Bmsy","FIS"
1972,2.287902494,"cod_2532",NA,"B/Bmsy","FIS"
1973,2.466099773,"cod_2532",NA,"B/Bmsy","FIS"
1974,2.940668934,"cod_2532",NA,"B/Bmsy","FIS"
1975,3.541814059,"cod_2532",NA,"B/Bmsy","FIS"
1976,3.745804989,"cod_2532",NA,"B/Bmsy","FIS"
1977,3.660634921,"cod_2532",NA,"B/Bmsy","FIS"
1978,4.168843537,"cod_2532",NA,"B/Bmsy","FIS"
1979,5.839455782,"cod_2532",NA,"B/Bmsy","FIS"
1980,7.160918367,"cod_2532",NA,"B/Bmsy","FIS"
