"","rgn_id","basin","year","variable","value","unit","data_descrip","bhi_goal"
"1",1,"Kattegat",2000,8,8,"secchi depth m","summer secchi observations","NUT"
"2",2,"Kattegat",2000,8,7,"secchi depth m","summer secchi observations","NUT"
"3",2,"Kattegat",2000,8,6.3,"secchi depth m","summer secchi observations","NUT"
"4",2,"Kattegat",2000,8,10.2,"secchi depth m","summer secchi observations","NUT"
"5",2,"Kattegat",2000,8,13.2,"secchi depth m","summer secchi observations","NUT"
"6",2,"Kattegat",2000,8,13,"secchi depth m","summer secchi observations","NUT"
"7",1,"Kattegat",2000,8,10.2,"secchi depth m","summer secchi observations","NUT"
"8",7,"Kiel Bay",2000,8,6.1,"secchi depth m","summer secchi observations","NUT"
"9",7,"Kiel Bay",2000,8,7.3,"secchi depth m","summer secchi observations","NUT"
"10",3,"Great Belt",2000,8,6.7,"secchi depth m","summer secchi observations","NUT"
"11",3,"Great Belt",2000,8,6.7,"secchi depth m","summer secchi observations","NUT"
"12",3,"Great Belt",2000,8,6.7,"secchi depth m","summer secchi observations","NUT"
"13",7,"Kiel Bay",2000,8,6.5,"secchi depth m","summer secchi observations","NUT"
"14",10,"Bay of Mecklenburg",2000,8,6.4,"secchi depth m","summer secchi observations","NUT"
"15",10,"Bay of Mecklenburg",2000,8,6,"secchi depth m","summer secchi observations","NUT"
"16",12,"Arkona Basin",2000,8,6.6,"secchi depth m","summer secchi observations","NUT"
"17",13,"Arkona Basin",2000,8,7.2,"secchi depth m","summer secchi observations","NUT"
"18",12,"Arkona Basin",2000,8,7.2,"secchi depth m","summer secchi observations","NUT"
"19",12,"Arkona Basin",2000,9,8.6,"secchi depth m","summer secchi observations","NUT"
"20",13,"Arkona Basin",2000,9,8.4,"secchi depth m","summer secchi observations","NUT"
"21",10,"Bay of Mecklenburg",2000,9,7,"secchi depth m","summer secchi observations","NUT"
"22",10,"Bay of Mecklenburg",2000,9,7.2,"secchi depth m","summer secchi observations","NUT"
"23",7,"Kiel Bay",2000,9,6.6,"secchi depth m","summer secchi observations","NUT"
"24",7,"Kiel Bay",2000,9,7.9,"secchi depth m","summer secchi observations","NUT"
"25",3,"Great Belt",2000,9,8.1,"secchi depth m","summer secchi observations","NUT"
"26",2,"Kattegat",2000,9,7,"secchi depth m","summer secchi observations","NUT"
"27",2,"Kattegat",2000,9,8.4,"secchi depth m","summer secchi observations","NUT"
"28",2,"Kattegat",2000,9,7.7,"secchi depth m","summer secchi observations","NUT"
"29",2,"Kattegat",2000,9,7,"secchi depth m","summer secchi observations","NUT"
"30",2,"Kattegat",2000,9,7.9,"secchi depth m","summer secchi observations","NUT"
"31",2,"Kattegat",2000,9,7.4,"secchi depth m","summer secchi observations","NUT"
"32",1,"Kattegat",2000,9,7.9,"secchi depth m","summer secchi observations","NUT"
"33",1,"Kattegat",2000,9,10.8,"secchi depth m","summer secchi observations","NUT"
"34",2,"Kattegat",2000,9,9.9,"secchi depth m","summer secchi observations","NUT"
"35",2,"Kattegat",2000,9,12.2,"secchi depth m","summer secchi observations","NUT"
"36",1,"Kattegat",2000,9,9.2,"secchi depth m","summer secchi observations","NUT"
"37",12,"Arkona Basin",2000,6,12.8,"secchi depth m","summer secchi observations","NUT"
"38",12,"Arkona Basin",2000,6,8.4,"secchi depth m","summer secchi observations","NUT"
"39",15,"Bornholm Basin",2000,7,8.1,"secchi depth m","summer secchi observations","NUT"
"40",12,"Arkona Basin",2000,7,9,"secchi depth m","summer secchi observations","NUT"
"41",12,"Arkona Basin",2000,8,6.9,"secchi depth m","summer secchi observations","NUT"
"42",15,"Bornholm Basin",2000,8,8,"secchi depth m","summer secchi observations","NUT"
"43",12,"Arkona Basin",2000,8,8.8,"secchi depth m","summer secchi observations","NUT"
"44",12,"Arkona Basin",2000,8,11.5,"secchi depth m","summer secchi observations","NUT"
"45",12,"Arkona Basin",2000,9,12.2,"secchi depth m","summer secchi observations","NUT"
"46",3,"Great Belt",2000,6,7,"secchi depth m","summer secchi observations","NUT"
"47",3,"Great Belt",2000,6,8,"secchi depth m","summer secchi observations","NUT"
"48",3,"Great Belt",2000,6,5.8,"secchi depth m","summer secchi observations","NUT"
"49",3,"Great Belt",2000,7,7,"secchi depth m","summer secchi observations","NUT"
"50",3,"Great Belt",2000,7,5.2,"secchi depth m","summer secchi observations","NUT"
"51",3,"Great Belt",2000,7,5.8,"secchi depth m","summer secchi observations","NUT"
"52",3,"Great Belt",2000,7,6.1,"secchi depth m","summer secchi observations","NUT"
"53",3,"Great Belt",2000,8,6.8,"secchi depth m","summer secchi observations","NUT"
"54",3,"Great Belt",2000,8,7,"secchi depth m","summer secchi observations","NUT"
"55",3,"Great Belt",2000,8,7,"secchi depth m","summer secchi observations","NUT"
"56",3,"Great Belt",2000,8,7,"secchi depth m","summer secchi observations","NUT"
"57",3,"Great Belt",2000,9,8,"secchi depth m","summer secchi observations","NUT"
"58",3,"Great Belt",2000,9,7.3,"secchi depth m","summer secchi observations","NUT"
"59",2,"Kattegat",2000,6,7.2,"secchi depth m","summer secchi observations","NUT"
"60",2,"Kattegat",2000,6,5.3,"secchi depth m","summer secchi observations","NUT"
"61",2,"Kattegat",2000,6,5.3,"secchi depth m","summer secchi observations","NUT"
"62",2,"Kattegat",2000,6,4.9,"secchi depth m","summer secchi observations","NUT"
"63",2,"Kattegat",2000,6,4,"secchi depth m","summer secchi observations","NUT"
"64",2,"Kattegat",2000,7,3,"secchi depth m","summer secchi observations","NUT"
"65",2,"Kattegat",2000,7,6.8,"secchi depth m","summer secchi observations","NUT"
"66",2,"Kattegat",2000,7,9,"secchi depth m","summer secchi observations","NUT"
"67",2,"Kattegat",2000,7,9,"secchi depth m","summer secchi observations","NUT"
"68",2,"Kattegat",2000,8,10,"secchi depth m","summer secchi observations","NUT"
"69",2,"Kattegat",2000,8,14.2,"secchi depth m","summer secchi observations","NUT"
"70",2,"Kattegat",2000,8,9,"secchi depth m","summer secchi observations","NUT"
"71",2,"Kattegat",2000,8,7.6,"secchi depth m","summer secchi observations","NUT"
"72",2,"Kattegat",2000,8,8.5,"secchi depth m","summer secchi observations","NUT"
"73",2,"Kattegat",2000,8,8,"secchi depth m","summer secchi observations","NUT"
"74",2,"Kattegat",2000,9,11,"secchi depth m","summer secchi observations","NUT"
"75",2,"Kattegat",2000,9,8.1,"secchi depth m","summer secchi observations","NUT"
"76",2,"Kattegat",2000,9,7.2,"secchi depth m","summer secchi observations","NUT"
