"lat","lon","data_descrip","goal"
57.2247,11.828,"TEQ pg/g dioxin + dioxin-like pcb","CON"
55.3163,13.611,"TEQ pg/g dioxin + dioxin-like pcb","CON"
60.5326,18.1624,"TEQ pg/g dioxin + dioxin-like pcb","CON"
57.3167,17.5,"TEQ pg/g dioxin + dioxin-like pcb","CON"
62.8645,18.2412,"TEQ pg/g dioxin + dioxin-like pcb","CON"
65.5825,22.8791,"TEQ pg/g dioxin + dioxin-like pcb","CON"
63.6808,20.8768,"TEQ pg/g dioxin + dioxin-like pcb","CON"
65.0568,21.475,"TEQ pg/g dioxin + dioxin-like pcb","CON"
56.3251,12.3811,"TEQ pg/g dioxin + dioxin-like pcb","CON"
59.5652,18.8348,"TEQ pg/g dioxin + dioxin-like pcb","CON"
58.6936,18.0043,"TEQ pg/g dioxin + dioxin-like pcb","CON"
61.4554,17.1622,"TEQ pg/g dioxin + dioxin-like pcb","CON"
65.7555,22.4181,"TEQ pg/g dioxin + dioxin-like pcb","CON"
55.9491,15.781,"TEQ pg/g dioxin + dioxin-like pcb","CON"
55.7507,14.2833,"TEQ pg/g dioxin + dioxin-like pcb","CON"
