"ices","year","value","unit","bhi_goal","data_descrip"
"spr_2232",1994,289000,"tonnes","NP","ICES area landings"
"spr_2232",1995,313000,"tonnes","NP","ICES area landings"
"spr_2232",1996,441000,"tonnes","NP","ICES area landings"
"spr_2232",1997,529000,"tonnes","NP","ICES area landings"
"spr_2232",1998,471000,"tonnes","NP","ICES area landings"
"spr_2232",1999,421000,"tonnes","NP","ICES area landings"
"spr_2232",2000,389000,"tonnes","NP","ICES area landings"
"spr_2232",2001,342000,"tonnes","NP","ICES area landings"
"spr_2232",2002,343000,"tonnes","NP","ICES area landings"
"spr_2232",2003,308000,"tonnes","NP","ICES area landings"
"spr_2232",2004,374000,"tonnes","NP","ICES area landings"
"spr_2232",2005,405000,"tonnes","NP","ICES area landings"
"spr_2232",2006,352000,"tonnes","NP","ICES area landings"
"spr_2232",2007,388000,"tonnes","NP","ICES area landings"
"spr_2232",2008,381000,"tonnes","NP","ICES area landings"
"spr_2232",2009,407000,"tonnes","NP","ICES area landings"
"spr_2232",2010,342000,"tonnes","NP","ICES area landings"
"spr_2232",2011,268000,"tonnes","NP","ICES area landings"
"spr_2232",2012,231000,"tonnes","NP","ICES area landings"
"spr_2232",2013,272000,"tonnes","NP","ICES area landings"
"spr_2232",2014,244000,"tonnes","NP","ICES area landings"
