"","lat","lon","data_descrip","bhi_goal"
"1",56.23,12.37,"summer secchi unique sampling locations 2000-2013","NUT"
"2",56.5583,11.03,"summer secchi unique sampling locations 2000-2013","NUT"
"3",56.8567,10.7917,"summer secchi unique sampling locations 2000-2013","NUT"
"4",57.3,10.745,"summer secchi unique sampling locations 2000-2013","NUT"
"5",57.43,10.7083,"summer secchi unique sampling locations 2000-2013","NUT"
"6",57.465,10.9,"summer secchi unique sampling locations 2000-2013","NUT"
"7",57.53,11.325,"summer secchi unique sampling locations 2000-2013","NUT"
"8",54.6033,10.45,"summer secchi unique sampling locations 2000-2013","NUT"
"9",54.7,10.77,"summer secchi unique sampling locations 2000-2013","NUT"
"10",55.05,11.03,"summer secchi unique sampling locations 2000-2013","NUT"
"11",55.3767,11,"summer secchi unique sampling locations 2000-2013","NUT"
"12",55.655,10.7617,"summer secchi unique sampling locations 2000-2013","NUT"
"13",54.57,11.33,"summer secchi unique sampling locations 2000-2013","NUT"
"14",54.315,11.55,"summer secchi unique sampling locations 2000-2013","NUT"
"15",54.485,12.2783,"summer secchi unique sampling locations 2000-2013","NUT"
"16",54.8,12.37,"summer secchi unique sampling locations 2000-2013","NUT"
"17",55,13.3,"summer secchi unique sampling locations 2000-2013","NUT"
"18",55.2717,12.575,"summer secchi unique sampling locations 2000-2013","NUT"
"19",56.1317,11.16,"summer secchi unique sampling locations 2000-2013","NUT"
"20",57.205,11.6467,"summer secchi unique sampling locations 2000-2013","NUT"
"21",56.6683,12.12,"summer secchi unique sampling locations 2000-2013","NUT"
"22",56.375,12.03,"summer secchi unique sampling locations 2000-2013","NUT"
"23",56.165,11.8,"summer secchi unique sampling locations 2000-2013","NUT"
"24",55.1115,14.657,"summer secchi unique sampling locations 2000-2013","NUT"
"25",55.25,15.98,"summer secchi unique sampling locations 2000-2013","NUT"
"26",55.5083,10.8633,"summer secchi unique sampling locations 2000-2013","NUT"
"27",57.213,10.6953,"summer secchi unique sampling locations 2000-2013","NUT"
"28",56.856,10.7903,"summer secchi unique sampling locations 2000-2013","NUT"
"29",54.8233,12.3855,"summer secchi unique sampling locations 2000-2013","NUT"
"30",56.1312,11.1593,"summer secchi unique sampling locations 2000-2013","NUT"
"31",56.132,11.1585,"summer secchi unique sampling locations 2000-2013","NUT"
"32",57.55,11.525,"summer secchi unique sampling locations 2000-2013","NUT"
"33",57.21,10.6993,"summer secchi unique sampling locations 2000-2013","NUT"
"34",57.21,10.6983,"summer secchi unique sampling locations 2000-2013","NUT"
"35",57.2098,10.6992,"summer secchi unique sampling locations 2000-2013","NUT"
"36",57.21,10.6988,"summer secchi unique sampling locations 2000-2013","NUT"
"37",57.209,10.7017,"summer secchi unique sampling locations 2000-2013","NUT"
"38",56.8567,10.7915,"summer secchi unique sampling locations 2000-2013","NUT"
"39",56.8637,10.7815,"summer secchi unique sampling locations 2000-2013","NUT"
"40",56.0928,11.2113,"summer secchi unique sampling locations 2000-2013","NUT"
