"rgn_id","basin","station","year","value","bhi_goal","unit","data_descrip"
42,"Bothnian Bay","",2008,2.14,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.78,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,2.76,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.83,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.06,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.78,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.64,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.14,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.73,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,0.53,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,0.61,"CON","ug/kg","ICES6 PCB concentration unique samples"
42,"Bothnian Bay","",2008,1.43,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,6.49,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,4.55,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,3.03,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,3.78,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,6.93,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,1.82,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,2.53,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,1.75,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,1.66,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,2.01,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,2.81,"CON","ug/kg","ICES6 PCB concentration unique samples"
38,"Bothnian Sea","",2008,3.4,"CON","ug/kg","ICES6 PCB concentration unique samples"
36,"Aland Sea","",2008,2.46,"CON","ug/kg","ICES6 PCB concentration unique samples"
36,"Aland Sea","",2008,1.53,"CON","ug/kg","ICES6 PCB concentration unique samples"
36,"Aland Sea","",2008,6.27,"CON","ug/kg","ICES6 PCB concentration unique samples"
36,"Aland Sea","",2008,2.92,"CON","ug/kg","ICES6 PCB concentration unique samples"
