"nuts2","country","rgn_id"
"SE22","Sweden",1
"SE23","Sweden",1
"DK01","Denmark",2
"DK02","Denmark",2
"DK04","Denmark",2
"DK05","Denmark",2
"DK02","Denmark",3
"DK03","Denmark",3
"DK04","Denmark",3
"DEF0","Germany",4
"DK03","Germany",4
"SE22","Sweden",5
"DK01","Denmark",6
"DK02","Denmark",7
"DEF0","Germany",8
"DK02","Denmark",9
"DE80","Germany",10
"DEF0","Germany",10
"SE22","Sweden",11
"DK01","Denmark",12
"DK02","Denmark",12
"DE80","Germany",13
"SE21","Sweden",14
"SE22","Sweden",14
"DK01","Denmark",15
"DE80","Germany",16
"PL42","Germany",16
"DE80","Poland",17
"PL42","Poland",17
"PL63","Poland",17
"PL62","Poland",18
"PL63","Poland",18
"PL62","Russia",19
"SE21","Sweden",20
"LT00","Russia",22
"LT00","Lithuania",23
"LV00","Lithuania",23
"LT00","Latvia",24
"LV00","Latvia",24
"EE00","Estonia",25
"SE12","Sweden",26
"SE21","Sweden",26
"SE22","Sweden",26
"EE00","Latvia",27
"LV00","Latvia",27
"EE00","Estonia",28
"LV00","Estonia",28
"SE11","Sweden",29
"SE12","Sweden",29
"EE00","Estonia",31
"FI18","Finland",32
"EE00","Russia",33
"FI18","Russia",33
"EE00","Estonia",34
"SE11","Sweden",35
"SE12","Sweden",35
"FI18","Finland",36
"FI20","Finland",36
"SE12","Sweden",37
"SE31","Sweden",37
"SE32","Sweden",37
"SE33","Sweden",37
"FI18","Finland",38
"FI19","Finland",38
"FI20","Finland",38
"SE33","Sweden",39
"FI19","Finland",40
"FI1A","Sweden",41
"SE33","Sweden",41
"FI19","Finland",42
"FI1A","Finland",42
"SE33","Finland",42
