nuts2;country;rgn_id;incorrect;BHI_ID_manual;"	country_manual";"	correct_BH_ID";"	correct_country"
DE80;Germany;10;;;;10;Germany
DE80;Germany;13;;;;13;Germany
DE80;Germany;16;;;;16;Germany
DE80;Poland;17;1;16;Germany;16;Germany
DEF0;Germany;4;;;;4;Germany
DEF0;Germany;8;;;;8;Germany
DEF0;Germany;10;;;;10;Germany
DK01;Denmark;2;;;;2;Denmark
DK01;Denmark;6;;;;6;Denmark
DK01;Denmark;12;;;;12;Denmark
DK01;Denmark;15;;;;15;Denmark
DK02;Denmark;2;;;;2;Denmark
DK02;Denmark;3;;;;3;Denmark
DK02;Denmark;7;;;;7;Denmark
DK02;Denmark;9;;;;9;Denmark
DK02;Denmark;12;;;;12;Denmark
DK03;Denmark;3;;;;3;Denmark
DK03;Germany;4;1;3;Denmark;3;Denmark
DK04;Denmark;2;;;;2;Denmark
DK04;Denmark;3;;;;3;Denmark
DK05;Denmark;2;;;;2;Denmark
EE00;Estonia;25;;;;25;Estonia
EE00;Latvia;27;1;28;Estonia;28;Estonia
EE00;Estonia;28;;;;28;Estonia
EE00;Estonia;31;;;;31;Estonia
EE00;Russia;33;1;34;Estonia;34;Estonia
EE00;Estonia;34;;;;34;Estonia
FI18;Finland;32;;;;32;Finland
FI18;Russia;33;1;32;Finland;32;Finland
FI18;Finland;36;;;;36;Finland
FI18;Finland;38;;;;38;Finland
FI19;Finland;38;;;;38;Finland
FI19;Finland;40;;;;40;Finland
FI19;Finland;42;;;;42;Finland
FI1A;Sweden;41;1;42;Finland;42;Finland
FI1A;Finland;42;;;;42;Finland
FI20;Finland;36;;;;36;Finland
FI20;Finland;38;;;;38;Finland
LT00;Russia;22;1;23;Lithuania;23;Lithuania
LT00;Lithuania;23;;;;23;Lithuania
LT00;Latvia;24;1;23;Lithuania;23;Lithuania
LV00;Lithuania;23;1;24;Latvia;24;Latvia
LV00;Latvia;24;;;;24;Latvia
LV00;Latvia;27;;;;27;Latvia
LV00;Estonia;28;1;27;Latvia;27;Latvia
PL42;Germany;16;1;17;Poland;17;Poland
PL42;Poland;17;;;;17;Poland
PL62;Poland;18;;;;18;Poland
PL62;Russia;19;1;18;Poland;18;Poland
PL63;Poland;17;;;;17;Poland
PL63;Poland;18;;;;18;Poland
SE11;Sweden;29;;;;29;Sweden
SE11;Sweden;35;;;;35;Sweden
SE12;Sweden;26;;;;26;Sweden
SE12;Sweden;29;;;;29;Sweden
SE12;Sweden;35;;;;35;Sweden
SE12;Sweden;37;;;;37;Sweden
SE21;Sweden;14;;;;14;Sweden
SE21;Sweden;20;;;;20;Sweden
SE21;Sweden;26;;;;26;Sweden
SE22;Sweden;1;;;;1;Sweden
SE22;Sweden;5;;;;5;Sweden
SE22;Sweden;11;;;;11;Sweden
SE22;Sweden;14;;;;14;Sweden
SE22;Sweden;26;;;;26;Sweden
SE23;Sweden;1;;;;1;Sweden
SE31;Sweden;37;;;;37;Sweden
SE32;Sweden;37;;;;37;Sweden
SE33;Sweden;37;;;;37;Sweden
SE33;Sweden;39;;;;39;Sweden
SE33;Sweden;41;;;;41;Sweden
SE33;Finland;42;1;41;Sweden;41;Sweden
