Basin,year,dip_basin,din_basin,chla_basin,din_ref,dip_ref,chla_ref,dip_status,din_status,chla_status
Aland Sea,2009,6.47,6.47,NaN,2.7,0.21,1.5,3.2457496136012365,41.731066460587336,NaN
Aland Sea,2010,7.04,7.04,NaN,2.7,0.21,1.5,2.9829545454545454,38.35227272727273,NaN
Aland Sea,2011,10.21,10.21,NaN,2.7,0.21,1.5,2.0568070519098915,26.444662095984327,NaN
Aland Sea,2012,3.8249999999999997,3.8249999999999997,2.6462499999999998,2.7,0.21,1.5,5.490196078431373,70.58823529411765,56.68398677373643
Aland Sea,2013,2.89,2.89,NaN,2.7,0.21,1.5,7.266435986159168,93.42560553633218,NaN
Arkona Basin,2009,4.75889880952381,4.75889880952381,1.9826575749628463,2.9,0.36,1.8,7.564775264385642,60.93846740755101,90.78723541223354
Arkona Basin,2010,12.50416666666665,12.50416666666665,2.027079421667657,2.9,0.36,1.8,2.879040319893372,23.1922692435855,88.79770475491084
Arkona Basin,2011,6.466875,6.466875,2.0285449068235955,2.9,0.36,1.8,5.566830965497245,44.84391611095004,88.73355447765447
Arkona Basin,2012,7.034166666666665,7.034166666666665,1.3290523316839107,2.9,0.36,1.8,5.117877028788059,41.22734273190382,100.0
Arkona Basin,2013,3.9267857142857148,3.9267857142857148,1.8123015873015873,2.9,0.36,1.8,9.167803547066846,73.85175079581627,99.32121742938472
Arkona Basin,2014,12.3816666666667,12.3816666666667,1.9173913043478261,2.9,0.36,1.8,2.9075245658904216,23.42172566967284,93.87755102040816
Arkona Basin,2015,17.5525,17.5525,2.985294117647059,2.9,0.36,1.8,2.0509898874804158,16.521862982481128,60.29556650246306
Arkona Basin,2016,7.3925,7.3925,4.126666666666667,2.9,0.36,1.8,4.869800473452824,39.22894825836997,43.61873990306947
Bay of Mecklenburg,2009,5.259,5.259,2.711818181818182,4.3,0.49,1.8,9.317360714964822,81.76459402928313,66.37613141133087
Bay of Mecklenburg,2010,7.695,7.695,1.1806666666666668,4.3,0.49,1.8,6.367771280051981,55.88044184535412,100.0
Bay of Mecklenburg,2011,8.448333333333334,8.448333333333334,1.9142857142857144,4.3,0.49,1.8,5.799960544486091,50.89761294140855,94.02985074626866
Bay of Mecklenburg,2012,4.15,4.15,0.9555555555555556,4.3,0.49,1.8,11.807228915662648,100.0,100.0
Bay of Mecklenburg,2013,7.0175,7.0175,NaN,4.3,0.49,1.8,6.982543640897755,61.275382971143564,NaN
