source,country,station,lat,lon,year,date,variable,qflag,value,unit,vflag,detli,lmqnt,sub_id,bio_id,samp_id,num_indiv_subsamp
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0001196,mg/kg,NA,NA,NA,NA,P2006/06500,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0002444,mg/kg,NA,NA,NA,NA,P2006/06503,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0002964,mg/kg,NA,NA,NA,NA,P2006/06494,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0003502,mg/kg,NA,NA,NA,NA,P2006/06497,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0005957,mg/kg,NA,NA,NA,NA,P2006/06495,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.000602,mg/kg,NA,NA,NA,NA,P2006/06493,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0007161,mg/kg,NA,NA,NA,NA,P2006/06502,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0007722,mg/kg,NA,NA,NA,NA,P2006/06492,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0008162,mg/kg,NA,NA,NA,NA,P2006/06498,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0008862,mg/kg,NA,NA,NA,NA,P2006/06499,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.000899,mg/kg,NA,NA,NA,NA,P2006/06496,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,2006,2006,CB101,,0.0009025,mg/kg,NA,NA,NA,NA,P2006/06501,NA,NA
IVL,Sweden,Gaviksfjaerden,62.8645,18.2412,2010,2010,CB101,,0.0011508,mg/kg,NA,NA,NA,NA,C2010/06042-06053,NA,NA
IVL,Sweden,Gaviksfjaerden,62.8645,18.2412,2010,2010,CB101,,0.001376,mg/kg,NA,NA,NA,NA,C2010/06030-06041,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.0019885,mg/kg,NA,NA,NA,NA,P1990/03082,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.0020097,mg/kg,NA,NA,NA,NA,P1990/03075,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.002176,mg/kg,NA,NA,NA,NA,P1990/03077,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.002618,mg/kg,NA,NA,NA,NA,P1990/03079,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.002856,mg/kg,NA,NA,NA,NA,P1990/03071,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.00288,mg/kg,NA,NA,NA,NA,P1990/03074,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003133,mg/kg,NA,NA,NA,NA,P1990/03076,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003135,mg/kg,NA,NA,NA,NA,P1990/03093,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003289,mg/kg,NA,NA,NA,NA,P1990/03070,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003575,mg/kg,NA,NA,NA,NA,P1990/03087,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003636,mg/kg,NA,NA,NA,NA,P1990/03073,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003765,mg/kg,NA,NA,NA,NA,P1990/03091,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003773,mg/kg,NA,NA,NA,NA,P1990/03088,NA,NA
IVL,Sweden,Utlaengan,55.9491,15.781,1990,1990-03-26,CB101,,0.003894,mg/kg,NA,NA,NA,NA,P1990/03083,NA,NA
