"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_occb","basis_determination","CB101_ug/kg","CB105_ug/kg","CB118_ug/kg","CB128_ug/kg","CB138_ug/kg","CB149_ug/kg","CB153_ug/kg","CB156_ug/kg","CB157_ug/kg","CB167_ug/kg","CB169_ug/kg","CB170_ug/kg","CB180_ug/kg","CB28_ug/kg","CB52_ug/kg","CB77_ug/kg","param_bbio","AGMAX_y","AGMEA_y","AGMIN_y","DRYWT%_%","EXLIP%_%","FATWT%_%","LIPIDWT%_%","LNMAX_cm","LNMEA_cm","LNMIN_cm","WTMAX_g","WTMEA_g","WTMIN_g"
"1","",64.17916667,23.3265,"2008-08-06",3149743,"34000",1423609,"OC-CB","wet weight",0.3,NA,0.27,NA,0.66,NA,0.84,NA,NA,NA,NA,NA,0.3,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","",64.17916667,23.3265,"2008-08-06",3149744,"34001",1423610,"OC-CB","wet weight",0.18,NA,0.25,NA,0.61,NA,0.72,NA,NA,NA,NA,NA,0.23,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","",64.17916667,23.3265,"2008-08-06",3149745,"34002",1423611,"OC-CB","wet weight",0.04,NA,0.11,NA,0.17,NA,2.5,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","",64.17916667,23.3265,"2008-08-06",3149746,"34003",1423612,"OC-CB","wet weight",0.21,NA,0.29,NA,0.64,NA,0.74,NA,NA,NA,NA,NA,0.2,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","",64.17916667,23.3265,"2008-08-06",3149747,"34004",1423613,"OC-CB","wet weight",0.23,NA,0.16,NA,0.11,NA,0.55,NA,NA,NA,NA,NA,0.06,0.12,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","",64.17916667,23.3265,"2008-08-06",3149748,"34005",1423614,"OC-CB","wet weight",0.24,NA,0.28,NA,0.56,NA,0.75,NA,NA,NA,NA,NA,0.19,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","",64.17916667,23.3265,"2008-08-06",3149749,"34006",1423615,"OC-CB","wet weight",0.23,NA,0.3,NA,0.49,NA,0.61,NA,NA,NA,NA,NA,0.18,0.11,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","",64.17916667,23.3265,"2008-08-06",3149750,"34007",1423616,"OC-CB","wet weight",0.25,NA,0.25,NA,0.21,NA,0.61,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","",64.17916667,23.3265,"2008-08-06",3149751,"34008",1423617,"OC-CB","wet weight",0.23,NA,0.3,NA,0.49,NA,0.81,NA,NA,NA,NA,NA,0.14,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","",64.17916667,23.3265,"2008-08-06",3149752,"34009",1423618,"OC-CB","wet weight",0.09,NA,0.09,NA,0.1,NA,0.27,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
