"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_occb","basis_determination","CB101_ug/kg","CB105_ug/kg","CB118_ug/kg","CB128_ug/kg","CB138_ug/kg","CB149_ug/kg","CB153_ug/kg","CB156_ug/kg","CB157_ug/kg","CB167_ug/kg","CB169_ug/kg","CB170_ug/kg","CB180_ug/kg","CB28_ug/kg","CB52_ug/kg","CB77_ug/kg","param_bbio","AGMAX_y","AGMEA_y","AGMIN_y","DRYWT%_%","EXLIP%_%","FATWT%_%","LIPIDWT%_%","LNMAX_cm","LNMEA_cm","LNMIN_cm","WTMAX_g","WTMEA_g","WTMIN_g"
"11","",64.17916667,23.3265,"2008-08-06",3149753,"34010",1423619,"OC-CB","wet weight",0.09,NA,0.07,NA,0.06,NA,0.31,NA,NA,NA,NA,NA,0.06,0.13,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","",64.17916667,23.3265,"2008-08-06",3149754,"34011",1423620,"OC-CB","wet weight",0.27,NA,0.28,NA,0.18,NA,0.82,NA,NA,NA,NA,NA,0.06,0.11,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","",61.71083333,20.7075,"2008-09-08",3149777,"34012",1423643,"OC-CB","wet weight",0.87,NA,0.98,NA,1.7,NA,2.8,NA,NA,NA,NA,NA,0.8,0.21,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","",61.71083333,20.7075,"2008-09-08",3149778,"34013",1423644,"OC-CB","wet weight",0.45,NA,0.49,NA,1.3,NA,2.1,NA,NA,NA,NA,NA,0.48,0.04,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","",61.71083333,20.7075,"2008-09-08",3149779,"34014",1423645,"OC-CB","wet weight",0.37,NA,0.45,NA,0.93,NA,1.4,NA,NA,NA,NA,NA,0.25,0.06,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","",61.71083333,20.7075,"2008-09-08",3149780,"34015",1423646,"OC-CB","wet weight",0.66,NA,0.65,NA,0.66,NA,2,NA,NA,NA,NA,NA,0.27,0.14,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","",61.71083333,20.7075,"2008-09-08",3149781,"34016",1423647,"OC-CB","wet weight",0.79,NA,0.94,NA,1.9,NA,3,NA,NA,NA,NA,NA,0.97,0.19,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","",61.71083333,20.7075,"2008-09-08",3149782,"34017",1423648,"OC-CB","wet weight",0.17,NA,0.31,NA,0.43,NA,0.93,NA,NA,NA,NA,NA,0.25,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","",61.71083333,20.7075,"2008-09-08",3149783,"34018",1423649,"OC-CB","wet weight",0.25,NA,0.37,NA,0.8,NA,1.1,NA,NA,NA,NA,NA,0.32,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","",61.71083333,20.7075,"2008-09-08",3149784,"34019",1423650,"OC-CB","wet weight",0.07,NA,0.28,NA,0.37,NA,0.73,NA,NA,NA,NA,NA,0.15,0.15,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","",61.71083333,20.7075,"2008-09-08",3149785,"34020",1423651,"OC-CB","wet weight",0.18,NA,0.31,NA,0.41,NA,0.82,NA,NA,NA,NA,NA,0.1,0.04,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","",61.71083333,20.7075,"2008-09-08",3149786,"34021",1423652,"OC-CB","wet weight",0.19,NA,0.4,NA,0.6,NA,0.98,NA,NA,NA,NA,NA,0.2,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","",61.71083333,20.7075,"2008-09-08",3149787,"34022",1423653,"OC-CB","wet weight",0.27,NA,0.33,NA,0.87,NA,1,NA,NA,NA,NA,NA,0.57,0.08,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","",61.71083333,20.7075,"2008-09-08",3149788,"34023",1423654,"OC-CB","wet weight",0.33,NA,0.57,NA,0.8,NA,1.7,NA,NA,NA,NA,NA,0.3,0.2,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","",59.87983333,19.958,"2008-09-23",3149837,"34032",1423679,"OC-CB","wet weight",0.19,NA,0.38,NA,0.57,NA,1.5,NA,NA,NA,NA,NA,0.11,0.07,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","",59.87983333,19.958,"2008-09-23",3149838,"34033",1423680,"OC-CB","wet weight",0.18,NA,0.25,NA,0.47,NA,0.75,NA,NA,NA,NA,NA,0.07,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","",59.87983333,19.958,"2008-09-23",3149839,"34034",1423681,"OC-CB","wet weight",0.98,NA,1,NA,2,NA,2.5,NA,NA,NA,NA,NA,0.5,0.15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","",59.87983333,19.958,"2008-09-23",3149840,"34035",1423682,"OC-CB","wet weight",0.4,NA,0.47,NA,0.71,NA,1.4,NA,NA,NA,NA,NA,0.28,0.11,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","",59.87983333,19.958,"2008-09-23",3149841,"34036",1423683,"OC-CB","wet weight",0.5,NA,0.69,NA,1.2,NA,1.4,NA,NA,NA,NA,NA,0.2,0.11,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","",59.87983333,19.958,"2008-09-23",3149842,"34037",1423684,"OC-CB","wet weight",0.21,NA,0.45,NA,1.2,NA,1.5,NA,NA,NA,NA,NA,0.39,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","",59.87983333,19.958,"2008-09-23",3149843,"34038",1423685,"OC-CB","wet weight",0.22,NA,0.31,NA,0.24,NA,0.87,NA,NA,NA,NA,NA,0.06,0.12,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","",59.87983333,19.958,"2008-09-23",3149844,"34039",1423686,"OC-CB","wet weight",0.66,NA,0.69,NA,1.5,NA,1.8,NA,NA,NA,NA,NA,0.52,0.04,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","",59.5475,22.60533333,"2008-10-07",3149813,"34024",1423703,"OC-CB","wet weight",0.87,NA,1.1,NA,1.6,NA,1.9,NA,NA,NA,NA,NA,0.74,0.1,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","",59.5475,22.60533333,"2008-10-07",3149814,"34025",1423704,"OC-CB","wet weight",0.41,NA,0.61,NA,0.75,NA,0.89,NA,NA,NA,NA,NA,0.14,0.13,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","",59.5475,22.60533333,"2008-10-07",3149815,"34026",1423705,"OC-CB","wet weight",0.22,NA,0.35,NA,0.44,NA,0.8,NA,NA,NA,NA,NA,0.14,0.06,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","",59.5475,22.60533333,"2008-10-07",3149816,"34027",1423706,"OC-CB","wet weight",0.17,NA,0.32,NA,0.21,NA,0.56,NA,NA,NA,NA,NA,0.06,0.11,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","",59.5475,22.60533333,"2008-10-07",3149817,"34028",1423707,"OC-CB","wet weight",0.21,NA,0.32,NA,0.29,NA,0.57,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","",59.5475,22.60533333,"2008-10-07",3149818,"34029",1423708,"OC-CB","wet weight",0.41,NA,0.59,NA,0.8,NA,0.95,NA,NA,NA,NA,NA,0.09,0.18,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","",59.5475,22.60533333,"2008-10-07",3149819,"34030",1423709,"OC-CB","wet weight",0.56,NA,0.7,NA,1.1,NA,1.4,NA,NA,NA,NA,NA,0.19,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","",59.5475,22.60533333,"2008-10-07",3149820,"34031",1423710,"OC-CB","wet weight",0.99,NA,1.4,NA,1.7,NA,1.8,NA,NA,NA,NA,NA,0.32,0.15,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","",64.17916667,23.3265,"2009-07-28",3149861,"33763",1423727,"OC-CB","wet weight",0.06,NA,0.14,NA,0.2,NA,0.18,NA,NA,NA,NA,NA,0.08,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","",64.17916667,23.3265,"2009-07-28",3149862,"33767",1423728,"OC-CB","wet weight",0.1,NA,0.22,NA,0.34,NA,0.4,NA,NA,NA,NA,NA,0.16,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","",64.17916667,23.3265,"2009-07-28",3149863,"33769",1423729,"OC-CB","wet weight",0.19,NA,0.36,NA,0.54,NA,0.82,NA,NA,NA,NA,NA,0.28,0.08,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","",64.17916667,23.3265,"2009-07-28",3149864,"33771",1423730,"OC-CB","wet weight",0.11,NA,0.15,NA,0.42,NA,0.49,NA,NA,NA,NA,NA,0.15,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","",64.17916667,23.3265,"2009-07-28",3149865,"33772",1423731,"OC-CB","wet weight",0.21,NA,0.39,NA,0.52,NA,0.81,NA,NA,NA,NA,NA,0.26,0.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","",64.17916667,23.3265,"2009-07-28",3149866,"33773",1423732,"OC-CB","wet weight",0.1,NA,0.23,NA,0.33,NA,0.42,NA,NA,NA,NA,NA,0.09,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","",64.17916667,23.3265,"2009-07-28",3149867,"33774",1423733,"OC-CB","wet weight",0.17,NA,0.35,NA,0.56,NA,0.64,NA,NA,NA,NA,NA,0.22,0.07,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","",64.17916667,23.3265,"2009-07-28",3149868,"33775",1423734,"OC-CB","wet weight",0.12,NA,0.32,NA,0.44,NA,0.58,NA,NA,NA,NA,NA,0.19,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","",64.17916667,23.3265,"2009-07-28",3149869,"33776",1423735,"OC-CB","wet weight",0.08,NA,0.21,NA,0.28,NA,0.31,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","",64.17916667,23.3265,"2009-07-28",3149870,"33777",1423736,"OC-CB","wet weight",0.04,NA,0.07,NA,0.11,NA,0.12,NA,NA,NA,NA,NA,0.06,0.04,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","",64.17916667,23.3265,"2009-07-28",3149871,"33778",1423737,"OC-CB","wet weight",0.2,NA,0.34,NA,0.41,NA,0.68,NA,NA,NA,NA,NA,0.18,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","",64.17916667,23.3265,"2009-07-28",3149872,"33779",1423738,"OC-CB","wet weight",0.16,NA,0.38,NA,0.52,NA,0.79,NA,NA,NA,NA,NA,0.23,0.04,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","",61.71083333,20.7075,"2009-09-14",3149933,"33780",1423763,"OC-CB","wet weight",0.04,NA,0.15,NA,0.45,NA,0.52,NA,NA,NA,NA,NA,0.06,0.04,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","",61.71083333,20.7075,"2009-09-14",3149934,"33781",1423764,"OC-CB","wet weight",0.39,NA,0.88,NA,1.3,NA,2.2,NA,NA,NA,NA,NA,0.79,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","",61.71083333,20.7075,"2009-09-14",3149935,"33782",1423765,"OC-CB","wet weight",0.41,NA,0.63,NA,1,NA,1.7,NA,NA,NA,NA,NA,0.38,0.06,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","",61.71083333,20.7075,"2009-09-14",3149936,"33783",1423766,"OC-CB","wet weight",0.08,NA,0.08,NA,0.44,NA,0.42,NA,NA,NA,NA,NA,0.1,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","",61.71083333,20.7075,"2009-09-14",3149937,"33784",1423767,"OC-CB","wet weight",0.18,NA,0.36,NA,0.66,NA,0.96,NA,NA,NA,NA,NA,0.24,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","",61.71083333,20.7075,"2009-09-14",3149938,"33785",1423768,"OC-CB","wet weight",0.04,NA,0.16,NA,0.29,NA,0.51,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","",61.71083333,20.7075,"2009-09-14",3149939,"33786",1423769,"OC-CB","wet weight",0.24,NA,0.49,NA,0.81,NA,1.3,NA,NA,NA,NA,NA,0.32,0.12,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","",61.71083333,20.7075,"2009-09-14",3149940,"33787",1423770,"OC-CB","wet weight",0.04,NA,0.07,NA,0.17,NA,0.37,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","",59.5475,22.60533333,"2009-09-15",3149902,"33831",1423790,"OC-CB","wet weight",0.33,NA,0.78,NA,1.1,NA,1.1,NA,NA,NA,NA,NA,0.18,0.17,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","",59.5475,22.60533333,"2009-09-15",3149903,"33832",1423791,"OC-CB","wet weight",0.09,NA,0.41,NA,0.3,NA,0.48,NA,NA,NA,NA,NA,0.06,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","",59.5475,22.60533333,"2009-09-15",3149904,"33833",1423792,"OC-CB","wet weight",0.12,NA,0.51,NA,0.61,NA,1,NA,NA,NA,NA,NA,0.15,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","",59.5475,22.60533333,"2009-09-15",3149905,"33834",1423793,"OC-CB","wet weight",0.37,NA,0.8,NA,0.69,NA,0.9,NA,NA,NA,NA,NA,0.11,0.16,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","",59.5475,22.60533333,"2009-09-15",3149906,"33835",1423794,"OC-CB","wet weight",0.13,NA,0.46,NA,0.48,NA,0.8,NA,NA,NA,NA,NA,0.12,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","",59.5475,22.60533333,"2009-09-15",3149907,"33836",1423795,"OC-CB","wet weight",0.14,NA,0.49,NA,0.49,NA,0.72,NA,NA,NA,NA,NA,0.06,0.09,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","",59.5475,22.60533333,"2009-09-15",3149908,"33837",1423796,"OC-CB","wet weight",0.4,NA,1,NA,0.86,NA,1,NA,NA,NA,NA,NA,0.17,0.27,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","",59.5475,22.60533333,"2009-09-15",3149909,"33838",1423797,"OC-CB","wet weight",0.06,NA,0.32,NA,0.42,NA,0.64,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","",59.5475,22.60533333,"2009-09-15",3149910,"33839",1423798,"OC-CB","wet weight",0.22,NA,0.67,NA,0.56,NA,0.84,NA,NA,NA,NA,NA,0.12,0.14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","",59.5475,22.60533333,"2009-09-15",3149911,"33840",1423799,"OC-CB","wet weight",0.44,NA,1,NA,1.3,NA,1.7,NA,NA,NA,NA,NA,0.58,0.21,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","",59.5475,22.60533333,"2009-09-15",3149912,"33841",1423800,"OC-CB","wet weight",0.38,NA,1.1,NA,0.91,NA,1.1,NA,NA,NA,NA,NA,0.15,0.31,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","",59.5475,22.60533333,"2009-09-15",3149913,"33842",1423801,"OC-CB","wet weight",0.08,NA,0.38,NA,0.37,NA,0.62,NA,NA,NA,NA,NA,0.06,0.08,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","",59.5475,22.60533333,"2010-08-30",3150036,"49968",1423902,"OC-CB","wet weight",0.69,NA,1.4,NA,1.6,NA,1.8,NA,NA,NA,NA,NA,0.46,0.26,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","",59.5475,22.60533333,"2010-08-30",3150037,"49969",1423903,"OC-CB","wet weight",0.38,NA,0.79,NA,0.67,NA,1.1,NA,NA,NA,NA,NA,0.2,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","",59.5475,22.60533333,"2010-08-30",3150038,"49970",1423904,"OC-CB","wet weight",0.21,NA,0.35,NA,0.44,NA,0.71,NA,NA,NA,NA,NA,0.16,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","",59.5475,22.60533333,"2010-08-30",3150039,"49971",1423905,"OC-CB","wet weight",0.27,NA,0.47,NA,0.48,NA,0.76,NA,NA,NA,NA,NA,0.14,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","",59.5475,22.60533333,"2010-08-30",3150040,"49972",1423906,"OC-CB","wet weight",0.22,NA,0.52,NA,0.48,NA,0.73,NA,NA,NA,NA,NA,0.12,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","",59.5475,22.60533333,"2010-08-30",3150041,"49973",1423907,"OC-CB","wet weight",0.27,NA,0.45,NA,0.63,NA,0.83,NA,NA,NA,NA,NA,0.15,0.11,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","",59.5475,22.60533333,"2010-08-30",3150042,"49974",1423908,"OC-CB","wet weight",0.16,NA,0.33,NA,0.32,NA,0.33,NA,NA,NA,NA,NA,0.14,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","",59.5475,22.60533333,"2010-08-30",3150043,"49975",1423909,"OC-CB","wet weight",0.18,NA,0.33,NA,0.31,NA,0.36,NA,NA,NA,NA,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","",59.5475,22.60533333,"2010-08-30",3150044,"49976",1423910,"OC-CB","wet weight",0.64,NA,1.4,NA,1.2,NA,1.7,NA,NA,NA,NA,NA,0.45,0.16,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","",59.5475,22.60533333,"2010-08-30",3150045,"49977",1423911,"OC-CB","wet weight",0.64,NA,1.4,NA,1.4,NA,1.6,NA,NA,NA,NA,NA,0.39,0.23,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","",59.5475,22.60533333,"2010-08-30",3150046,"49978",1423912,"OC-CB","wet weight",0.35,NA,0.68,NA,0.83,NA,1.2,NA,NA,NA,NA,NA,0.33,0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","",59.5475,22.60533333,"2010-08-30",3150047,"49979",1423913,"OC-CB","wet weight",0.34,NA,0.63,NA,0.56,NA,0.93,NA,NA,NA,NA,NA,0.11,0.19,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","",64.17916667,23.3265,"2010-09-06",3149988,"49949",1423854,"OC-CB","wet weight",0.15,NA,0.33,NA,0.34,NA,0.55,NA,NA,NA,NA,NA,0.22,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","",64.17916667,23.3265,"2010-09-06",3149989,"49950",1423855,"OC-CB","wet weight",0.08,NA,0.46,NA,0.21,NA,0.31,NA,NA,NA,NA,NA,0.15,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","",64.17916667,23.3265,"2010-09-06",3149990,"49952",1423856,"OC-CB","wet weight",0.23,NA,0.47,NA,0.6,NA,0.8,NA,NA,NA,NA,NA,0.34,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","",64.17916667,23.3265,"2010-09-06",3149991,"49953",1423857,"OC-CB","wet weight",0.26,NA,0.49,NA,0.73,NA,1.2,NA,NA,NA,NA,NA,0.43,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","",64.17916667,23.3265,"2010-09-06",3149992,"49954",1423858,"OC-CB","wet weight",0.34,NA,0.68,NA,0.89,NA,1.4,NA,NA,NA,NA,NA,0.51,0.12,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","",61.71083333,20.7075,"2010-09-23",3150003,"49955",1423869,"OC-CB","wet weight",0.07,NA,0.17,NA,0.39,NA,0.57,NA,NA,NA,NA,NA,0.09,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","",61.71083333,20.7075,"2010-09-23",3150004,"49956",1423870,"OC-CB","wet weight",0.14,NA,0.34,NA,0.35,NA,0.53,NA,NA,NA,NA,NA,0.24,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","",61.71083333,20.7075,"2010-09-23",3150005,"49957",1423871,"OC-CB","wet weight",0.21,NA,0.42,NA,0.6,NA,0.94,NA,NA,NA,NA,NA,0.25,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
