Code, Description, CodeType, Deprecated, Created, Modified, 
06, Germany, CNTRY, False, 2006-10-23, 2006-10-23, 
07, Germany, CNTRY, False, 2006-10-23, 2006-10-23, 
08, Argentina, CNTRY, False, 2006-10-23, 2006-10-23, 
09, Australia, CNTRY, False, 2006-10-23, 2006-10-23, 
10, Austria, CNTRY, False, 2006-10-23, 2006-10-23, 
11, Belgium, CNTRY, False, 2006-10-23, 2006-10-23, 
12, Burma (Myanmar), CNTRY, False, 2008-05-08, 2008-05-08, 
13, Bolivia, CNTRY, False, 2008-05-08, 2008-05-08, 
14, Brazil, CNTRY, False, 2006-10-23, 2006-10-23, 
15, Bulgaria, CNTRY, False, 2006-10-23, 2006-10-23, 
17, Cameroon, CNTRY, False, 2008-05-08, 2008-05-08, 
18, Canada, CNTRY, False, 2006-10-23, 2006-10-23, 
19, Sri Lanka, CNTRY, False, 2008-05-08, 2008-05-08, 
20, Chile, CNTRY, False, 2006-10-23, 2006-10-23, 
21, Taiwan, CNTRY, False, 2006-10-23, 2006-10-23, 
22, Colombia, CNTRY, False, 2006-10-23, 2006-10-23, 
24, Korea (Rep), CNTRY, False, 2006-10-23, 2006-10-23, 
26, Denmark, CNTRY, False, 2006-10-23, 2006-10-23, 
27, Egypt, CNTRY, False, 2006-10-23, 2006-10-23, 
28, Ecuador, CNTRY, False, 2006-10-23, 2006-10-23, 
29, Spain, CNTRY, False, 2006-10-23, 2006-10-23, 
31, United States of America, CNTRY, False, 2006-10-23, 2006-10-23, 
32, United States of America, CNTRY, False, 2006-10-23, 2006-10-23, 
33, United States of America, CNTRY, False, 2006-10-23, 2006-10-23, 
34, Finland, CNTRY, False, 2006-10-23, 2006-10-23, 
35, France, CNTRY, False, 2006-10-23, 2006-10-23, 
36, Greece, CNTRY, False, 2006-10-23, 2006-10-23, 
37, Guatemala, CNTRY, False, 2008-05-08, 2008-05-08, 
38, Haiti, CNTRY, False, 2008-05-08, 2008-05-08, 
41, India, CNTRY, False, 2006-10-23, 2006-10-23, 
42, Indonesia, CNTRY, False, 2006-10-23, 2006-10-23, 
43, Iraq, CNTRY, False, 2008-05-08, 2008-05-08, 
