Code, Description, CodeType, Deprecated, Created, Modified, 
B, WFD B - Baseline/Reference station, MSTAT, False, 2006-10-23, 2006-10-23, 
ID, Impacted directly from disruptions such as dredging or trawling, MSTAT, False, 2006-10-23, 2006-10-23, 
IH, WFD I(HZ) - Impacted directly by discharges containing hazardous substances, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-A, where impact is aluminum industry (primary) (nature of the industry  not to the impacted area), MSTAT, False, 2006-10-23, 2006-10-23, 
IH-C, where impact is chemical/pharmaceutical industry, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-D, dock where impact is antifoulants  fuel oil/petroleum products, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-E, where impact is surface treatment/electroplating, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-F, where impact is phosphogypsum-fertilizers, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-H, harbour where impact is antifoulants  fuel oil/petroleum products, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-I, where impact is iron and steel industry (primary) (nature of the industry  not to the impacted area), MSTAT, False, 2006-10-23, 2006-10-23, 
IH-M, where impact is metal industry (non-ferrous), MSTAT, False, 2006-10-23, 2006-10-23, 
IH-O, where impact is oil/gas exploration/production platform, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-P, where impact is paper and pulp industry, MSTAT, False, 2006-10-23, 2006-10-23, 
IH-S, where impact is iron and steel industry (secondary) (nature of the industry  not to the impacted area), MSTAT, False, 2006-10-23, 2006-10-23, 
IH-W, where impact is from diffuse emissions from waste incineration, MSTAT, False, 2006-10-23, 2006-10-23, 
IP, WFD I(PHY) - Impacted directly by discharges affecting physico-chemical conditions, MSTAT, False, 2006-10-23, 2006-10-23, 
IP-B, where impact is fossil fuel burning/non-nuclear power plant, MSTAT, False, 2006-10-23, 2006-10-23, 
IP-N, where impact is nuclear power plant, MSTAT, False, 2006-10-23, 2006-10-23, 
IP-T, where impact is municipal waste water treatment plant, MSTAT, False, 2006-10-23, 2006-10-23, 
RH, WFD R(HZ) - Representative of general conditions in terms of hazardous substances, MSTAT, False, 2006-10-23, 2006-10-23, 
RP, WFD R(PHY) - Representative of general conditions for nutrients/organic matter, MSTAT, False, 2006-10-23, 2006-10-23, 
