"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_ocdx","basis_determination","variable_matrix","PFOS_liver_ug/kg","PFOS_muscle_ug/kg","param_bbio","AGMAX_whole organism_y","AGMEA_whole organism_y","AGMIN_whole organism_y","DRYWT%_liver_%","DRYWT%_muscle_%","EXLIP%_liver_%","EXLIP%_muscle_%","LIPIDWT%_muscle_%","LNMAX_whole organism_cm","LNMEA_whole organism_cm","LNMIN_whole organism_cm","WTMAX_whole organism_g","WTMEA_whole organism_g","WTMIN_whole organism_g"
"1","Abbekas",55.3163,13.611,"2008-10-18",3685568,7796,1841538,"O-FL","wet weight","PFOS_liver",6.27,NA,"B-BIO",NA,4,NA,28,22.1,NA,3,NA,NA,20,NA,NA,50.5,NA
"2","Abbekas",55.3163,13.611,"2008-10-18",3685569,780807819,1841538,"O-FL","wet weight","PFOS_liver",7.08,NA,"B-BIO",NA,3,NA,27,23.4,NA,NA,NA,NA,1.7,NA,NA,4,NA
"3","Abbekas",55.3163,13.611,"2009-11-30",3686935,912409135,1841609,"O-FL","wet weight","PFOS_liver",4.08,NA,"B-BIO",NA,4,NA,29,30,9.93,9.93,NA,NA,23.4,NA,NA,95.7,NA
"4","Abbekas",55.3163,13.611,"2009-11-30",3686936,913609147,1841609,"O-FL","wet weight","PFOS_liver",4.06,NA,"B-BIO",NA,4,NA,27,28.4,6.81,6.81,NA,NA,23.6,NA,NA,105.2,NA
"5","Abbekas",55.3163,13.611,"2010-10-21",3688014,982809839,1841669,"O-FL","wet weight","PFOS_liver",14.39,NA,"B-BIO",NA,4,NA,27,22.6,2.73,2.73,NA,NA,20,NA,NA,47.5,NA
"6","Abbekas",55.3163,13.611,"2010-10-21",3688015,984009851,1841669,"O-FL","wet weight","PFOS_liver",18.9,NA,"B-BIO",NA,6,NA,29,23.8,2.95,2.95,NA,NA,20.6,NA,NA,52.5,NA
"7","Abbekas",55.3163,13.611,"2011-11-14",3679444,760307614,1841293,"O-FL","wet weight","PFOS_liver",9.49,NA,"B-BIO",NA,4,NA,26,25.2,6.05,7.53,NA,NA,22.4,NA,NA,85.8,NA
"8","Abbekas",55.3163,13.611,"2011-11-14",3679445,761507626,1841293,"O-FL","wet weight","PFOS_liver",18.92,NA,"B-BIO",NA,4,NA,27,24.3,5.5,7.37,NA,NA,21.8,NA,NA,77.5,NA
"9","Abbekas",55.3163,13.611,"2012-12-03",3681240,676806779,1841355,"O-FL","wet weight","PFOS_liver",21.9,NA,"B-BIO",NA,3,NA,27,24.1,4.7,4.7,NA,NA,15.8,NA,NA,41.5,NA
"10","Abbekas",55.3163,13.611,"2012-12-03",3681241,678006791,1841355,"O-FL","wet weight","PFOS_liver",19.86,NA,"B-BIO",NA,3,NA,28,22.1,3.5,4,NA,NA,17.5,NA,NA,43.9,NA
"11","Abbekas",55.3163,13.611,"2013-11-05",3683025,455504566,1841415,"O-FL","wet weight","PFOS_liver",12.6,NA,"B-BIO",NA,3,NA,28,22.8,NA,5.1,NA,NA,19.9,NA,NA,52.5,NA
"12","Abbekas",55.3163,13.611,"2013-11-05",3683026,456704578,1841415,"O-FL","wet weight","PFOS_liver",12.1,NA,"B-BIO",NA,3,NA,28,24,NA,5.2,NA,NA,19.9,NA,NA,55.3,NA
"13","Abbekas",55.3163,13.611,"2014-11-24",3665678,828908300,1839683,"O-FL","wet weight","PFOS_liver",13,NA,"B-BIO",NA,4,NA,NA,NA,NA,4.64,NA,NA,20.1,NA,NA,54.5,NA
"14","Abbekas",55.3163,13.611,"2014-11-24",3665679,830108312,1839683,"O-FL","wet weight","PFOS_liver",12,NA,"B-BIO",NA,3,NA,NA,NA,NA,5.32,NA,NA,20,NA,NA,55.2,NA
"15","Aengskaersklubb",60.5326,18.1624,"2005-10-14",3669872,710,1839893,"O-FL","wet weight","PFOS_liver",4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Aengskaersklubb",60.5326,18.1624,"2006-09-21",3671249,613,1839935,"O-FL","wet weight","PFOS_liver",10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aengskaersklubb",60.5326,18.1624,"2008-10-01",3684106,415304164,1841487,"O-FL","wet weight","PFOS_liver",19.79,NA,"B-BIO",NA,5,NA,26,21.1,NA,NA,NA,NA,18.2,NA,NA,30.9,NA
"18","Aengskaersklubb",60.5326,18.1624,"2008-10-01",3684107,416504176,1841487,"O-FL","wet weight","PFOS_liver",13.94,NA,"B-BIO",NA,6,NA,27,21.4,NA,NA,NA,NA,18.6,NA,NA,36,NA
"19","Aengskaersklubb",60.5326,18.1624,"2009-10-22",3685715,1072010731,1841569,"O-FL","wet weight","PFOS_liver",8.24,NA,"B-BIO",NA,5,NA,NA,NA,NA,2.9,NA,NA,17.3,NA,NA,35,NA
"20","Aengskaersklubb",60.5326,18.1624,"2009-10-22",3685716,1073210743,1841569,"O-FL","wet weight","PFOS_liver",6.4,NA,"B-BIO",NA,7,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,38.9,NA
"21","Aengskaersklubb",60.5326,18.1624,"2010-10-01",3687041,1162111632,1841625,"O-FL","wet weight","PFOS_liver",16.55,NA,"B-BIO",NA,5,NA,NA,NA,NA,1.9,NA,NA,17.9,NA,NA,41.6,NA
"22","Aengskaersklubb",60.5326,18.1624,"2010-10-01",3687042,1163311644,1841625,"O-FL","wet weight","PFOS_liver",11.83,NA,"B-BIO",NA,5,NA,NA,NA,NA,2.7,NA,NA,18,NA,NA,42.1,NA
"23","Aengskaersklubb",60.5326,18.1624,"2011-10-05",3677745,737807389,1841249,"O-FL","wet weight","PFOS_liver",5.93,NA,"B-BIO",NA,4,NA,NA,NA,NA,4.18,NA,NA,16.4,NA,NA,30.7,NA
"24","Aengskaersklubb",60.5326,18.1624,"2011-10-05",3677746,739007401,1841249,"O-FL","wet weight","PFOS_liver",8.03,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.34,NA,NA,16.7,NA,NA,31.1,NA
"25","Aengskaersklubb",60.5326,18.1624,"2012-10-01",3679551,296702978,1841311,"O-FL","wet weight","PFOS_liver",11.31,NA,"B-BIO",NA,4,NA,NA,NA,NA,3.4,NA,NA,11.1,NA,NA,31.5,NA
"26","Aengskaersklubb",60.5326,18.1624,"2012-10-01",3679552,297902990,1841311,"O-FL","wet weight","PFOS_liver",7.5,NA,"B-BIO",NA,5,NA,NA,NA,NA,2.8,NA,NA,13.9,NA,NA,33,NA
"27","Aengskaersklubb",60.5326,18.1624,"2013-09-30",3681344,835408365,1841371,"O-FL","wet weight","PFOS_liver",6.2,NA,"B-BIO",NA,4,NA,NA,NA,NA,3.7,NA,NA,16.4,NA,NA,32.5,NA
"28","Aengskaersklubb",60.5326,18.1624,"2013-09-30",3681345,836608377,1841371,"O-FL","wet weight","PFOS_liver",7,NA,"B-BIO",NA,4,NA,NA,NA,NA,3.4,NA,NA,16.9,NA,NA,34.6,NA
"29","Aengskaersklubb",60.5326,18.1624,"2014-09-15",3664044,349903510,1839640,"O-FL","wet weight","PFOS_liver",4.8,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.66,NA,NA,18.4,NA,NA,44.3,NA
"30","Aengskaersklubb",60.5326,18.1624,"2014-09-15",3664045,351103522,1839640,"O-FL","wet weight","PFOS_liver",7.8,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.48,NA,NA,18.4,NA,NA,44.4,NA
"31","Byxelkrok",57.3167,17.5,"2008-10-01",3685578,4977,1841542,"O-FL","wet weight","PFOS_liver",10.42,NA,"B-BIO",NA,4,NA,25,21.1,NA,2,NA,NA,18,NA,NA,36.1,NA
"32","Byxelkrok",57.3167,17.5,"2008-10-01",3685579,496504976,1841542,"O-FL","wet weight","PFOS_liver",9.47,NA,"B-BIO",NA,4,NA,53,20.5,NA,NA,NA,NA,1.5,NA,NA,2.7,NA
"33","Byxelkrok",57.3167,17.5,"2009-09-20",3686937,446704478,1841610,"O-FL","wet weight","PFOS_liver",15.6,NA,"B-BIO",NA,5,NA,32,24.5,4.21,4.21,NA,NA,20.1,NA,NA,49.8,NA
"34","Byxelkrok",57.3167,17.5,"2009-09-20",3686938,447904490,1841610,"O-FL","wet weight","PFOS_liver",17,NA,"B-BIO",NA,5,NA,31,26.1,5.09,5.09,NA,NA,19.9,NA,NA,48.9,NA
"35","Byxelkrok",57.3167,17.5,"2010-09-30",3688016,448004491,1841670,"O-FL","wet weight","PFOS_liver",12.39,NA,"B-BIO",NA,5,NA,28,23.4,3.04,4.1,NA,NA,18.1,NA,NA,49.5,NA
"36","Byxelkrok",57.3167,17.5,"2010-09-30",3688017,449204503,1841670,"O-FL","wet weight","PFOS_liver",17.35,NA,"B-BIO",NA,6,NA,29,24.2,4.84,4.1,NA,NA,20,NA,NA,49.5,NA
"37","Byxelkrok",57.3167,17.5,"2011-10-01",3679446,614606157,1841294,"O-FL","wet weight","PFOS_liver",16.56,NA,"B-BIO",NA,6,NA,33,26.3,7.37,6.79,NA,NA,20.4,NA,NA,57.8,NA
"38","Byxelkrok",57.3167,17.5,"2011-10-01",3679447,615806169,1841294,"O-FL","wet weight","PFOS_liver",18.27,NA,"B-BIO",NA,6,NA,31,26.2,4.43,8.46,NA,NA,20.3,NA,NA,60.4,NA
"39","Byxelkrok",57.3167,17.5,"2012-10-01",3681242,329003301,1841356,"O-FL","wet weight","PFOS_liver",7.15,NA,"B-BIO",NA,5,NA,28,23.6,3.4,4.2,NA,NA,19.7,NA,NA,52.6,NA
"40","Byxelkrok",57.3167,17.5,"2012-10-01",3681243,330203313,1841356,"O-FL","wet weight","PFOS_liver",10.09,NA,"B-BIO",NA,5,NA,26,24.1,4.6,5.1,NA,NA,20,NA,NA,55.4,NA
"41","Byxelkrok",57.3167,17.5,"2013-10-28",3683027,844908460,1841416,"O-FL","wet weight","PFOS_liver",7.79,NA,"B-BIO",NA,5,NA,23,20.7,NA,2.6,NA,NA,19.3,NA,NA,46.7,NA
"42","Byxelkrok",57.3167,17.5,"2013-10-28",3683028,846108472,1841416,"O-FL","wet weight","PFOS_liver",7.84,NA,"B-BIO",NA,5,NA,22,21.2,NA,2.9,NA,NA,20.3,NA,NA,63.7,NA
"43","Byxelkrok",57.3167,17.5,"2014-11-07",3665680,493904950,1839684,"O-FL","wet weight","PFOS_liver",15,NA,"B-BIO",NA,6,NA,NA,NA,NA,5.75,NA,NA,19.6,NA,NA,53.8,NA
"44","Byxelkrok",57.3167,17.5,"2014-11-07",3665681,495104962,1839684,"O-FL","wet weight","PFOS_liver",19,NA,"B-BIO",NA,6,NA,NA,NA,NA,7.45,NA,NA,20,NA,NA,56.1,NA
"45","E/W FLADEN",57.2247,11.828,"2005-09-19",3669826,691,1839889,"O-FL","wet weight","PFOS_liver",6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","E/W FLADEN",57.2247,11.828,"2006-09-14",3671201,54,1839931,"O-FL","wet weight","PFOS_liver",7.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
