"","country","mar_region","year","production","unit","latin_name","common_name","ISSCAAP_FAO","TAXOCODE_FAO","X3A_CODE_FAO","country_spp_code","Sust_coeff","Notes","BHI_ID_1","BHI_ID_2","BHI_ID_3","BHI_ID_4","BHI_ID_5","BHI_ID_6","BHI_ID_7","BHI_ID_8","BHI_ID_9","BHI_ID_10","BHI_ID_11","BHI_ID_12","BHI_ID_13","BHI_ID_14","BHI_ID_15","BHI_ID_16","BHI_ID_17","BHI_ID_18","BHI_ID_19","BHI_ID_20","BHI_ID_21","BHI_ID_22","BHI_ID_23","BHI_ID_24","BHI_ID_25","BHI_ID_26","BHI_ID_27","BHI_ID_28","BHI_ID_29","BHI_ID_30","BHI_ID_31","BHI_ID_32","BHI_ID_33","BHI_ID_34","BHI_ID_35","BHI_ID_36","BHI_ID_37","BHI_ID_38","BHI_ID_39","BHI_ID_40","BHI_ID_41","BHI_ID_42"
"1","Denmark","Hovedstaden",2006,2071,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Denmark","Hovedstaden",2007,2364,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Denmark","Hovedstaden",2008,2288,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Denmark","Hovedstaden",2009,NA,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Denmark","Hovedstaden",2010,NA,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Denmark","Hovedstaden",2011,NA,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Denmark","Hovedstaden",2012,NA,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Denmark","Hovedstaden",2013,NA,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Denmark","Hovedstaden",2014,80,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Denmark","Midtjylland",2006,1742,"ton","Oncorhynchus mykiss","Rainbow Trout",23,1230100909,"TRR",216,0.53,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
