"","BHI_ID","BHI_Area [km2]","Total Population in 25km Buffer","Urban Population in 25km Buffer","Rural Population in 25km buffer","25km Buffer Area [km2]","Total Population Density in 25km Buffer [people/km2]","Urban Population Density in 25km Buffer [people/km2]","Rural Population Density in 25km Buffer [people/km2]"
"1",1,6798.554969,852713,764839,87871,7300.668435,116.799305103629,104.762872990273,12.0360211920787
"2",2,16855.44772,1754535,1433434,321093,15806.687032,110.999540665796,90.6852901621997,20.3137443886856
"3",3,10640.37913,1971018,1748227,222805,13560.905037,145.345608911958,128.916690680311,16.4299506111201
"4",4,116.253289,191278,124352,66925,579.540769,330.05098214238,214.569891630868,115.479365007365
"5",5,613.338872,801791,761263,40528,1967.468122,407.52426483279,386.925201728885,20.5990631039053
"6",6,591.469821,1381111,1239550,141559,780.86476,1768.6942358623,1587.40676170352,181.2849128958
"7",7,1211.206205,24035,20018,4019,247.820345,96.9855804211716,80.7762574941133,16.2173932894815
"8",8,2145.265948,654326,445575,208748,3055.171859,214.169948597972,145.842859440923,68.3261072155614
"9",9,1149.24601,33074,27577,5498,211.412346,156.443086819537,130.441767104746,26.0060498075169
"10",10,3470.444523,1239349,982789,256562,5879.396059,210.795290462333,167.158155384953,43.637475248374
"11",11,4231.52746,406098,350346,55755,1680.627238,241.634784215011,208.461455389074,33.1751138737643
"12",12,6265.273976,1351142,1170813,180333,2103.588553,642.303362068162,556.578898630278,85.7263649504181
"13",13,6999.235552,387825,284088,103742,3918.532994,98.9719878826673,72.4985601588634,26.4747037115288
"14",14,15124.28792,340234,259441,80793,4884.355331,69.6579132645417,53.116733410729,16.5411798538127
"15",15,7160.542679,44406,38169,6239,590.843289,75.156984646736,64.6008860735321,10.5594835655314
"16",16,2577.514236,209503,144146,65354,2319.522473,90.321608192498,62.1446878303214,28.1756269925133
"17",17,17290.59186,1262943,940516,322429,7183.19581,175.819096876325,130.932808303885,44.886567000044
"18",18,3715.743075,1326260,1068642,257620,4222.374461,314.102885059109,253.090295489072,61.0130632371689
"19",19,2159.820298,610658,521190,89466,2350.106089,259.842737678214,221.772966947961,38.0689197048415
"20",20,21967.21596,29841,22017,7821,1551.547359,19.2330577773875,14.1903499576,5.04077426617565
"21",21,11020.35051,151434,76688,74747,1269.462835,119.2898254481,60.409803174742,58.8808100081165
"22",22,9442.258765,278439,197261,81178,3069.009439,90.7260161737156,64.2751363007457,26.45087987297
"23",23,6145.515108,330744,250357,80390,2562.063827,129.092802651712,97.7169254573766,31.377048125351
"24",24,21066.27083,137145,96942,40201,4160.650439,32.9623942243421,23.2997223442063,9.66219118606421
"25",25,5437.016367,6086,2367,3720,341.007387,17.8471207135463,6.94119860811109,10.9088545932291
"26",26,27681.84403,334929,286210,48719,11199.205017,29.9064977819041,25.5562782863197,4.3502194955844
"27",27,7975.508306,482785,330962,151817,7527.005548,64.1403805166957,43.9699423481812,20.1696410387713
"28",28,10804.5627,164093,112311,51795,8189.664424,20.0365963126794,13.7137487185519,6.32443496075536
"29",29,17995.87204,2223796,1921953,301847,8310.512401,267.588313776225,231.267689314648,36.3211057796724
"30",30,9806.310362,4102,3579,523,4.826041,849.972057842028,741.601656513071,108.370401328957
"31",31,11855.96597,13805,6388,7421,1210.557987,11.4038320743408,5.2769054176667,6.13023091805019
"32",32,9772.774473,1445586,1076394,369194,8955.65735,161.415956808575,120.191512240026,41.2246678910733
"33",33,11599.75537,5145329,3832924,1312402,10453.287253,492.221143021143,366.671641870359,125.549214159723
"34",34,8493.734767,785433,573192,212243,7759.84844,101.217569656554,73.8663911327629,27.3514362607835
"35",35,2797.83385,114662,19508,95152,3397.599933,33.7479403876595,5.74170013677122,28.0056516000644
"36",36,13304.95988,460420,331804,128617,8373.826271,54.9832281085785,39.6239412261387,15.3594063021611
"37",37,31684.53965,545443,485733,59709,15955.917507,34.1843707678176,30.442185464227,3.74212263091766
"38",38,28383.42265,255680,176655,79025,6475.483732,39.4843089075341,27.2805874141913,12.2037214933428
"39",39,3241.908378,132258,128853,3402,2004.696993,65.9740601506454,64.275549097908,1.69701456722841
"40",40,4997.495902,131682,83572,48109,3567.1976,36.9146918017662,23.4279143942012,13.4864970754634
"41",41,17289.17353,261579,249360,12207,10949.423907,23.8897500198866,22.7738008974685,1.11485317434792
"42",42,14951.44747,377701,285942,91761,11144.254197,33.891994324903,25.6582445936108,8.23392919597094
