BHI_ID,area,ave_vol,score,min,max
1,6739.5362,8.6479e-11,1.28315951474524e-14,9.28112721057099e-18,8.33180718957228e-13
2,15300.69996,3.85455166666667e-10,2.51919956390457e-14,9.28112721057099e-18,8.33180718957228e-13
3,10369.11323,3.6943154e-09,3.5628074629483e-13,9.28112721057099e-18,8.33180718957228e-13
5,612.66514,2.42204e-11,3.95328515018824e-14,9.28112721057099e-18,8.33180718957228e-13
6,588.38712,1.77363333333333e-10,3.01439863832052e-13,9.28112721057099e-18,8.33180718957228e-13
7,1208.87616,1.43834e-10,1.1898158368844e-13,9.28112721057099e-18,8.33180718957228e-13
8,2079.47971,1.25732e-10,6.04632011533308e-14,9.28112721057099e-18,8.33180718957228e-13
9,1144.29301,2.1866e-10,1.9108742086959e-13,9.28112721057099e-18,8.33180718957228e-13
10,3438.82204,1.2697125e-10,3.69228906070405e-14,9.28112721057099e-18,8.33180718957228e-13
11,4226.44762,3.52139466666667e-09,8.33180718957228e-13,9.28112721057099e-18,8.33180718957228e-13
12,6272.53375,3.38776716666667e-09,5.400954864e-13,9.28112721057099e-18,8.33180718957228e-13
13,7071.49776,1.72552666666667e-09,2.44011484586353e-13,9.28112721057099e-18,8.33180718957228e-13
14,15096.6004,8.86057333333333e-10,5.86925075749725e-14,9.28112721057099e-18,8.33180718957228e-13
15,7152.79836,6.3972e-10,8.94363251699437e-14,9.28112721057099e-18,8.33180718957228e-13
16,2566.81091,2.0007e-11,7.79449702432502e-15,9.28112721057099e-18,8.33180718957228e-13
17,17334.97259,1.32822166666667e-09,7.66209268443191e-14,9.28112721057099e-18,8.33180718957228e-13
18,3682.83573,1.23693333333333e-10,3.3586437843464e-14,9.28112721057099e-18,8.33180718957228e-13
20,21941.00756,4.92403333333333e-10,2.2442147744893e-14,9.28112721057099e-18,8.33180718957228e-13
21,11013.8982,6.73756e-10,6.11732547155738e-14,9.28112721057099e-18,8.33180718957228e-13
24,20977.58487,4.66e-10,2.22141873284196e-14,9.28112721057099e-18,8.33180718957228e-13
25,5414.05646,5.79033333333333e-10,1.06949999064719e-13,9.28112721057099e-18,8.33180718957228e-13
26,27456.05692,2.35124333333333e-10,8.5636598881779e-15,9.28112721057099e-18,8.33180718957228e-13
28,10774.55332,1e-13,9.28112721057099e-18,9.28112721057099e-18,8.33180718957228e-13
29,17728.40167,8.22916666666667e-11,4.64179840904218e-15,9.28112721057099e-18,8.33180718957228e-13
30,9800.24404,4.8426e-10,4.94130552283676e-14,9.28112721057099e-18,8.33180718957228e-13
31,11841.39906,8.08578333333333e-09,6.82840202611442e-13,9.28112721057099e-18,8.33180718957228e-13
32,9549.67733,6.323e-10,6.62116612059394e-14,9.28112721057099e-18,8.33180718957228e-13
34,8426.04463,3.0466e-09,3.61569411720526e-13,9.28112721057099e-18,8.33180718957228e-13
35,2703.05659,7.59e-11,2.80793233411366e-14,9.28112721057099e-18,8.33180718957228e-13
36,12405.68538,7.1124e-10,5.7331777988392e-14,9.28112721057099e-18,8.33180718957228e-13
37,31735.90809,2.203064e-10,6.94186532728895e-15,9.28112721057099e-18,8.33180718957228e-13
38,28136.78846,4e-13,1.42162635429644e-17,9.28112721057099e-18,8.33180718957228e-13
40,4932.99666,2e-12,4.05433074021177e-16,9.28112721057099e-18,8.33180718957228e-13
41,17335.82956,6.81e-10,3.9282804300944e-14,9.28112721057099e-18,8.33180718957228e-13
42,14930.90472,7.8e-10,5.22406387708835e-14,9.28112721057099e-18,8.33180718957228e-13
