"region_id","rgn_name","rgn_title"
0,"GLOBAL","Baltic"
11,"Den - Baltic Proper","Den - Baltic Proper"
12,"Den - Kattegat","Den - Kattegat"
13,"Den - The Sound","Den - The Sound"
14,"Den - Western Baltic","Den - Western Baltic"
24,"Est - Baltic Proper","Est - Baltic Proper"
23,"Est - Gulf of Finland","Est - Gulf of Finland"
25,"Est - Gulf of Riga","Est - Gulf of Riga"
8,"Fin - Archipelago Sea","Fin - Archipelago Sea"
10,"Fin - Baltic Proper","Fin - Baltic Proper"
6,"Fin - Bothnian Bay","Fin - Bothnian Bay"
7,"Fin - Bothnian Sea","Fin - Bothnian Sea"
9,"Fin - Gulf of Finland","Fin - Gulf of Finland"
15,"Ger - Baltic Proper","Ger - Baltic Proper"
16,"Ger - Western Baltic","Ger - Western Baltic"
21,"Lat - Baltic Proper","Lat - Baltic Proper"
22,"Lat - Gulf of Riga","Lat - Gulf of Riga"
20,"Lit - Baltic Proper","Lit - Baltic Proper"
17,"Pol - Baltic Proper","Pol - Baltic Proper"
19,"Rus - Baltic Proper","Rus - Baltic Proper"
18,"Rus - Gulf of Finland","Rus - Gulf of Finland"
3,"Swe - Baltic Proper","Swe - Baltic Proper"
1,"Swe - Bothnian Bay","Swe - Bothnian Bay"
2,"Swe - Bothnian Sea","Swe - Bothnian Sea"
4,"Swe - Kattegat","Swe - Kattegat"
5,"Swe - The Sound","Swe - The Sound"
