Name,Plan,BSPA_ID,mgmt_status,implem_date,BHI_ID,MPA_area_Ha,Date_Est,MPA_Status,mpa_area_rgn
Morups Bank,-0,295,In development,NA,1,567,9.11.2009,Designated,56620
Stora Middelgrund och Röde Bank,NA,296,NA,NA,1,11425,9.11.2009,Designated,56620
Kullaberg-Skälderviken,NA,112,NA,NA,1,4519,30.9.2008,Managed,56620
Kungsbackafjorden,Skoetselplan foer naturreservatet Kungsbackafjorden i Kungsbacka,113,Implemented,15.12.2003,1,7877,30.9.2008,Managed,56620
Fladen,Bevarandeplan foer Fladen,118,Implemented,10.11.2006,1,10395,30.9.2008,Managed,56620
Lilla Middelgrund,Bevarandeplan foer Lilla Middelgrund,119,Implemented,10.11.2006,1,17864,30.9.2008,Managed,56620
Hallands Väderö,NA,194,NA,NA,1,1836,30.9.2008,Managed,56620
Store Middelgrund,Natura 2000 omrade nr. 193 Store Middelgrund,132,Implemented,08.12.0011,1,2137,14.7.2005,Managed,56620
Roskilde Fjord og Jægerspris Nordskov,NA,289,NA,NA,2,14810,16.12.2009,Managed,542305.70019531
Havet og kysten mellem Hundested og Rørvig,NA,253,NA,NA,2,4023,28.8.2009,Managed,542305.70019531
Udby Vig,Natura 2000 omrade nr. 155 Udby Vig,292,Implemented,08.12.0011,2,384,16.12.2009,Managed,542305.70019531
Hov Vig,Natura 2000 omrade nr. 164 Hov Vig,280,Implemented,08.12.0011,2,240,16.12.2009,Managed,542305.70019531
Kobberhage kystarealer,Natura 2000 omrade nr. 231 Kobberhage kystarealer,284,Implemented,08.12.0011,2,792,16.12.2009,Managed,542305.70019531
Jægerspris Skydeterræn,NA,282,NA,NA,2,569,16.12.2009,Managed,542305.70019531
"Ålborg Bugt, østlige del",NA,274,NA,NA,2,177360,16.12.2009,Managed,542305.70019531
Kims Top og den Kinesiske Mur,Natura 2000 omrade nr. 190 Kims Top og den Kinesiske Mur,257,Implemented,08.12.0011,2,26100,10.9.2009,Managed,542305.70019531
Lysegrund,Natura 2000 omrade nr. 207 Lysegrund,260,Implemented,08.12.0011,2,3158,10.9.2009,Managed,542305.70019531
Gilleleje Flak og Tragten,Forslag til Natura 2000-plan 2016-2021 for Gilleleje Flak og Tragten Natura 2000-omrade nr. 195 Habitatomrade H171,279,In development,NA,2,15034,16.12.2009,Designated,542305.70019531
Schultz og Hastens Grund samt Briseis Flak,Natura 2000 omrade nr. 204 Schultz og Hastens Grund samt Briseis Flak,267,Implemented,08.12.0011,2,20710,10.9.2009,Managed,542305.70019531
Ebbeløkke Rev,NA,277,NA,NA,2,140,16.12.2009,Managed,542305.70019531
Kyndby Kyst,Natura 2000 omrade nr. 244 Kyndby Kyst,285,Implemented,08.12.0011,2,360,16.12.2009,Managed,542305.70019531
Stora Middelgrund och Röde Bank,NA,296,NA,NA,2,11425,9.11.2009,Designated,542305.70019531
Hesselø med omliggende stenrev,NA,131,NA,NA,2,4200,14.7.2005,Managed,542305.70019531
"Ålborg Bugt, Randers Fjord and Mariager Fjord, Birdprotection sites",NA,133,NA,NA,2,72197,14.7.2005,Managed,542305.70019531
