country,year,area_total,area_cumulative
Denmark,2005,3612.7770019531,3612.7770019531
Denmark,2009,7568.11,11180.8870019531
Estonia,2009,7192.08,7192.08
Finland,2005,4990.62,4990.62
Finland,2006,807.1,5797.72
Germany,2004,2190.25,2190.25
Germany,2005,835.03,3025.28
Germany,2006,174.34,3199.62
Germany,2008,279.92,3479.54
Germany,2009,2360.3,5839.84
Latvia,2013,4364.06,4364.06
Lithuania,2004,621.62,621.62
Lithuania,2005,140.27,761.89
Lithuania,2009,311.38,1073.27
Lithuania,2013,319.59,1392.86
Poland,2005,1670.4030078125,1670.4030078125
Poland,2009,6381.9239685058,8052.3269763183
Russia,2004,1331.7009960937,1331.7009960937
Russia,2007,63.4464990234,1395.1474951171
Sweden,2008,6783.27,6783.27
Sweden,2009,1103.92,7887.19
Sweden,2011,499.49,8386.68
