BHI_ID,current_area,year,max_area,min_area,pressure_score
1,0,2010,0,0,0
2,0,2010,0,0,0
5,0,2010,0,0,0
6,0,2010,0,0,0
9,0,2010,0,0,0
10,0,2010,0,0,0
11,0,2010,0,0,0
12,0,2010,0,0,0
13,0,2010,0,0,0
14,236,2010,928,1,0.25
15,2398,2010,3833,1377,0.42
16,0,2010,0,0,0
17,575,2010,1670,1,0.34
18,560,2010,564,0,0.99
19,348,2010,381,0,0.91
20,12678,2010,12678,658,1
21,4557,2010,4931,0,0.92
22,3871,2010,4000,0,0.97
23,189,2010,196,0,0.96
24,8575,2010,8596,1379,1
25,1324,2010,1324,0,1
26,12282,2010,12314,1117,1
27,0,2010,0,0,0
28,0,2010,0,0,0
29,9008,2010,9114,900,0.99
30,2126,2010,2180,0,0.98
31,5530,2010,5552,24,1
35,0,2010,0,0,0
36,39,2010,39,0,1
37,0,2010,0,0,0
38,0,2010,0,0,0
39,0,2010,0,0,0
40,0,2010,0,0,0
41,0,2010,0,0,0
42,0,2010,0,0,0
1,0,2011,0,0,0
2,0,2011,0,0,0
5,0,2011,0,0,0
6,0,2011,0,0,0
9,0,2011,0,0,0
10,0,2011,0,0,0
11,0,2011,0,0,0
12,0,2011,0,0,0
13,0,2011,0,0,0
14,474,2011,928,1,0.51
15,2919,2011,3833,1377,0.63
16,0,2011,0,0,0
17,1214,2011,1670,1,0.73
18,564,2011,564,0,1
19,381,2011,381,0,1
20,12675,2011,12678,658,1
21,4931,2011,4931,0,1
22,4000,2011,4000,0,1
23,196,2011,196,0,1
24,8596,2011,8596,1379,1
25,1323,2011,1324,0,1
26,12314,2011,12314,1117,1
27,0,2011,0,0,0
28,0,2011,0,0,0
29,9114,2011,9114,900,1
30,2180,2011,2180,0,1
31,5552,2011,5552,24,1
35,0,2011,0,0,0
36,24,2011,39,0,0.62
37,0,2011,0,0,0
38,0,2011,0,0,0
39,0,2011,0,0,0
40,0,2011,0,0,0
41,0,2011,0,0,0
42,0,2011,0,0,0
1,0,2012,0,0,0
2,0,2012,0,0,0
5,0,2012,0,0,0
6,0,2012,0,0,0
9,0,2012,0,0,0
10,0,2012,0,0,0
11,0,2012,0,0,0
12,0,2012,0,0,0
13,0,2012,0,0,0
14,183,2012,928,1,0.2
15,2090,2012,3833,1377,0.29
16,0,2012,0,0,0
17,383,2012,1670,1,0.23
18,560,2012,564,0,0.99
19,365,2012,381,0,0.96
20,12355,2012,12678,658,0.97
21,4583,2012,4931,0,0.93
22,3573,2012,4000,0,0.89
23,99,2012,196,0,0.51
24,8275,2012,8596,1379,0.96
25,1153,2012,1324,0,0.87
26,11680,2012,12314,1117,0.94
27,0,2012,0,0,0
28,0,2012,0,0,0
29,8858,2012,9114,900,0.97
30,1924,2012,2180,0,0.88
31,5028,2012,5552,24,0.91
35,0,2012,0,0,0
36,1,2012,39,0,0.03
37,0,2012,0,0,0
38,0,2012,0,0,0
39,0,2012,0,0,0
40,0,2012,0,0,0
41,0,2012,0,0,0
42,0,2012,0,0,0
1,0,2013,0,0,0
2,0,2013,0,0,0
5,0,2013,0,0,0
6,0,2013,0,0,0
9,0,2013,0,0,0
10,0,2013,0,0,0
11,0,2013,0,0,0
12,0,2013,0,0,0
13,0,2013,0,0,0
14,160,2013,928,1,0.17
15,2038,2013,3833,1377,0.27
16,0,2013,0,0,0
17,352,2013,1670,1,0.21
18,533,2013,564,0,0.95
19,285,2013,381,0,0.75
20,12447,2013,12678,658,0.98
21,3868,2013,4931,0,0.78
22,3582,2013,4000,0,0.9
23,100,2013,196,0,0.51
24,8354,2013,8596,1379,0.97
25,1209,2013,1324,0,0.91
26,11878,2013,12314,1117,0.96
27,0,2013,0,0,0
28,0,2013,0,0,0
29,8739,2013,9114,900,0.95
30,1946,2013,2180,0,0.89
31,5144,2013,5552,24,0.93
35,0,2013,0,0,0
36,34,2013,39,0,0.87
37,0,2013,0,0,0
38,0,2013,0,0,0
39,0,2013,0,0,0
40,0,2013,0,0,0
41,0,2013,0,0,0
42,0,2013,0,0,0
1,0,2014,0,0,0
2,0,2014,0,0,0
5,0,2014,0,0,0
6,0,2014,0,0,0
9,0,2014,0,0,0
10,0,2014,0,0,0
11,0,2014,0,0,0
12,0,2014,0,0,0
13,0,2014,0,0,0
14,187,2014,928,1,0.2
15,2153,2014,3833,1377,0.32
16,0,2014,0,0,0
17,357,2014,1670,1,0.21
18,31,2014,564,0,0.05
19,67,2014,381,0,0.18
20,12440,2014,12678,658,0.98
21,2218,2014,4931,0,0.45
22,3107,2014,4000,0,0.78
23,102,2014,196,0,0.52
24,8347,2014,8596,1379,0.97
25,1200,2014,1324,0,0.91
26,11878,2014,12314,1117,0.96
27,0,2014,0,0,0
28,0,2014,0,0,0
29,8316,2014,9114,900,0.9
30,1905,2014,2180,0,0.87
31,5131,2014,5552,24,0.92
35,0,2014,0,0,0
36,0,2014,39,0,0
37,0,2014,0,0,0
38,0,2014,0,0,0
39,0,2014,0,0,0
40,0,2014,0,0,0
41,0,2014,0,0,0
42,0,2014,0,0,0
32,282,2010,332,0,0.85
33,29,2010,39,0,0.74
34,2144,2010,2294,0,0.93
32,332,2011,332,0,1
33,39,2011,39,0,1
34,2294,2011,2294,0,1
32,142,2012,332,0,0.43
33,13,2012,39,0,0.33
34,1813,2012,2294,0,0.79
32,168,2013,332,0,0.51
33,5,2013,39,0,0.13
34,1707,2013,2294,0,0.74
32,163,2014,332,0,0.49
33,0,2014,39,0,0
34,1389,2014,2294,0,0.61
